name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"고마워 자숙 가리비살 (냉동), 500g, 1개",,,11900,"(100g당2,380원)",내일(일) 새벽도착 보장,1141,595,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/0d47/461d425d2ceba0b6814fbd35b5547feef0cf031f43a8581816918c002d78.jpg
"사랑해어 반가리비 (냉동), 600g, 1팩",,,14700,"(100g당2,450원)",내일(일) 새벽도착 보장,708,735,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6005253125034494-d0138604-3593-4b42-8fda-efa3f141f273.jpg
"곰곰 손질된 가리비 관자살 (냉동), 200g, 1개",14,9990,8550,"(100g당4,275원)",내일(일) 새벽도착 보장,385,428,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/729116950122772-8510d550-84c3-4db6-836d-42c27a851387.jpg
"비비수산 가리비관자살 (냉동), 1개, 300g",,,7880,"(100g당2,627원)",내일(일) 새벽도착 보장,3,380,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zvqlvggr/863298d294e24b43af751e7a5aa77c1b.jpg
"신선씨푸드 가리비살 (냉동), 500g, 2개",,,9970,(100g당997원),내일(일) 새벽도착 보장,115,499,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/x6vhriko/41dfc884a50c4436a19eebe6c27d7cc8.jpg
"더더착한 가리비살 (냉동), 500g, 1개",,,6400,"(100g당1,280원)",내일(일) 새벽도착 보장,492,320,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5847660585172620-4c6cc4f3-40c5-4ec7-abe5-74861a9da7ef.jpg
"갯마을 자숙 가리비살 (냉동), 1kg, 1개",,,14400,"(100g당1,440원)",내일(일) 새벽도착 보장,52,720,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qpdgzjpx/1e2a25058a94476eae43ae493eb988cd.jpg
"손질 반가리비 (냉동), 180g, 3팩",,,12710,"(100g당2,354원)",내일(일) 새벽도착 보장,44,635,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/31/16/2/4ef8f095-e222-48e3-ab8a-5df795aa9300.jpg
"씨픽 손질 반가리비 (냉동), 180g(5~6마리), 2팩",,,7700,"(100g당2,139원)",내일(일) 새벽도착 보장,18,385,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/bd4rbal7/43b6ce28974d4dfd8e1c4862e2b7ebb3.jpg
"사랑해어 반가리비 21-24미 (냉동), 600g, 1팩",,,14200,"(100g당2,367원)",내일(일) 새벽도착 보장,262,710,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5452452683143393-a5711741-61f2-4901-ba68-470e53c83225.jpg
