name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"못생겨도 맛있는 가지, 2.5kg, 1박스",,,9790,,내일(일) 새벽도착 보장,14,490,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/464727974120392-d549326b-50ea-4aff-9bd4-59afa99db01b.jpg
"곰곰 GAP 가지, 3개입, 1개",12,4480,3900,"(1개당1,300원)",내일(일) 새벽도착 보장,9386,195,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3433108870733-b7877624-27a2-47b3-a3fe-255a0eab2359.jpg
"국내산 GAP 가지, 3개입",13,4490,3900,,내일(일) 새벽도착 보장,6201,195,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276376097111352-41ccde0a-cc82-432d-9dad-3d81faa39891.jpg
"친환경 가지, 2개입, 1개",27,3600,2600,"(1개당1,300원)",내일(일) 새벽도착 보장,1163,130,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/689298502713001-63baf475-709b-498a-b4b1-7bddaeeb16cc.jpg
"곰곰 국내산 가지, 5개입, 1개",19,4970,3980,(1개당796원),내일(일) 새벽도착 보장,4336,199,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3916089989738824-3b1d69e2-4003-4dab-bcbe-01df2d34a98f.jpg
"못생겨도 맛있는 가지, 5개입, 1개",27,5310,3850,(1개당770원),내일(일) 새벽도착 보장,10320,193,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2463105907403095-43763660-0480-4384-b113-f86b74183459.jpg
"국내산 가지, 7개입, 1개",27,7630,5550,(1개당793원),내일(일) 새벽도착 보장,79125,278,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4165660267870754-568460b9-19cf-490f-a5df-e6baaa882bae.jpg
"못생겨도 맛있는 가지, 1박스, 2.5kg",,,9790,"(1개당9,790원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/464727974120392-d549326b-50ea-4aff-9bd4-59afa99db01b.jpg
"국내산 가지, 3입",,,1800,(1개당600원),,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/633690073815995-2b7c9f14-311c-405a-be2c-8b44ecabc15e.jpg
"곰곰 GAP인증 국내산 가지 5입, 1봉",,,4970,,,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/571876740086550-59ce4ef9-3681-4803-9064-8e98e053b3af.jpg
"국내산 가지, 1개",,,6000,(1개당600원),,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2084773115506656-7d2ec4d9-28ad-4475-a297-441db431ea88.jpg
"국내산 GAP 가지, 5개입",2,5980,5860,"(1개당1,172원)",,18,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/601868112970245-9dc852ba-51dc-4723-8603-74bd335d4e38.jpg
"GAP 가지, 1개",2,2810,2750,(1개당917원),,20,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3916368217044800-c7835bb1-64d1-4b02-b4e7-46468bd426bb.jpg
"국내산 GAP 가지, 3개입",13,4490,3900,"(1개당1,300원)",,38,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276376097111352-41ccde0a-cc82-432d-9dad-3d81faa39891.jpg
