name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"해맑은푸드 맛있는 건어물 두절새우 (냉동), 300g, 1개",,,15900,(10g당530원),내일(일) 새벽도착 보장,3238,720,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/25/11/4/4f3a05a5-9ae5-43ae-9bb6-af208a073f9f.jpg
"해통령 디포리 해물 다시팩, 320g, 1개",1,12900,12750,(10g당398원),내일(일) 새벽도착 보장,15148,613,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749543742026287-efe38bef-83a2-41c2-80ce-c8179519e241.jpg
"바다원 고소한 실속형 꽃새우 (냉동), 100g, 1개",12,6900,6030,(10g당603원),내일(일) 새벽도착 보장,1359,266,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1590717424323160-57b3f41e-1f3d-4924-ac12-a967fe58cc55.jpg
"이어수산 국산 보리새우 (냉동), 300g, 1개",,,14850,(10g당495원),내일(일) 새벽도착 보장,971,743,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/24/11/8/4855b43a-59a4-46cb-a138-5f21406e69cf.jpg
"조혜정의멸치연구소 국내산 두절건새우 (냉동), 100g, 1개",,,9980,(10g당998원),내일(일) 새벽도착 보장,100,499,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/08/07/13/2/d3d58aca-d776-48bf-aa64-2c8503a5d155.jpg
"해통령 더 간편한 육수명장, 80g, 2개",2,13220,12900,(10g당806원),내일(일) 새벽도착 보장,24531,545,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/32614944869998-6cd72845-ad5f-463b-8f75-7402b5fd1ba5.jpg
"바다원 간편 국물용팩 꽃게, 90g, 1세트",25,7900,5900,(10g당656원),내일(일) 새벽도착 보장,85,295,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1760882706872680-09924624-b3e7-4681-aaeb-f91126908099.jpg
"바다원 두절새우 (냉동), 100g, 1개",4,10480,9980,(10g당998원),내일(일) 새벽도착 보장,567,499,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3624627390745615-b92c8fbc-3cc5-457b-9404-ec0936d123b4.jpg
"곰곰 진한 국물용 디포리해물 다시팩, 18g, 30개",12,15800,13760,(10g당255원),내일(일) 새벽도착 보장,2061,688,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15752534874832782-fcafb13b-da41-46d7-b7ee-977a96317c61.jpg
"육수의 비법 한알 25개입, 100g, 1개",,,10900,"(10g당1,090원)",내일(일) 새벽도착 보장,1225,520,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/18/18/6/aa13fbbc-f62c-49e6-830c-abcb9b169648.jpg
"해물 다시팩 15개입 (냉동), 225g, 1팩",,,6900,(10g당307원),내일(일) 새벽도착 보장,322,345,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/22/14/0/233d4b72-b1d1-4094-a076-24fd811d99fa.jpg
"사골육수 더 간편한 육수명장 70g 3.5g x 20개 해통령 411274, 1개",29,28500,20000,"(10g당2,857원)",8/30(금)도착 예정,43,1000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9e4a/73b48ef61dfdbe858cfaea7e7598402580f486d94bf3996d1690c3743aff.jpg
"농협 완도 홍새우 (냉동), 100g, 1개",,,12800,"(10g당1,280원)",내일(일) 새벽도착 보장,447,640,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/09/12/3/559e8b53-255b-472d-a9ca-347df0e5eb54.jpg
"해통령 멸치 해물 다시팩, 320g, 1개",,,13120,(10g당410원),내일(일) 새벽도착 보장,6024,656,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/16/16/9/f2438a86-4fa6-42cc-9d04-8846c17f42da.jpg
"조혜정의멸치연구소 황금비율 진한멸치 육수한알 35알, 140g, 1개",7,12900,11900,(10g당850원),내일(일) 새벽도착 보장,9192,595,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/01/20/15/7/9bec59f7-5e8d-4eb4-9218-7c38146e55b6.jpg
"신건호멸치 서해안 상품 햇 건새우 볶음/안주/국물용 (냉동), 1kg, 1박스",,,21900,(10g당219원),내일(일) 새벽도착 보장,1701,1095,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/172432772580495-9ebc55c6-4a40-4c7a-a50f-2cbb1cb3b228.jpg
