name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 데친 고사리, 300g, 1개",4,8390,7990,"(100g당2,663원)",내일(일) 새벽도착 보장,19096,400,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/82543949811859-f2c0e01e-b398-45e6-b4c7-6d8a681c8795.jpg
"친정엄마꾸러미 뚝딱 제주산 고사리 (냉동), 200g, 2개",,,9400,"(100g당2,350원)",내일(일) 새벽도착 보장,472,470,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/29/12/6/9a896d60-41d1-471c-89cc-d9968403c1b9.jpg
"뚝딱 고사리, 500g, 1개",,,13780,"(100g당2,756원)",내일(일) 새벽도착 보장,26,689,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fpizqscm/7ca3574ae0ee46c1ad54e554aec45520.jpg
"나무새 뚝딱 고사리, 400g, 1개",,,15200,"(100g당3,800원)",내일(일) 새벽도착 보장,14,760,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/24/18/7/b1793448-0db6-4d5d-a0c2-685c17793351.jpg
"제주마미 비온뒤 고사리 (냉동), 200g, 1개",,,6400,"(100g당3,200원)",내일(일) 새벽도착 보장,221,320,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/08/03/18/8/aadb27ff-0deb-4398-b85f-66359b67866e.jpg
"곰곰 국내산 데친 고사리, 150g, 1개",,,5690,"(100g당3,793원)",내일(일) 새벽도착 보장,7314,285,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/442309563136890-6bb103f0-751c-4063-99a3-cc2db9a89890.jpg
"친정엄마 국산 데친고사리, 450g, 1개",,,5600,"(100g당1,244원)",내일(일) 새벽도착 보장,5507,280,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/15/11/8/2c8405b3-150c-4ad3-a332-1abc37fc1897.jpg
"뚝딱 고사리, 500g, 1개",,,13780,"(100g당2,756원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fpizqscm/7ca3574ae0ee46c1ad54e554aec45520.jpg
"프롬제주 제주산 햇고사리 (냉동), 300g, 1개",,,10800,"(100g당3,600원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/08/03/18/5/cbd35996-82ac-4a71-a6e4-87df408e11e0.jpg
"친정엄마꾸러미 뚝딱 제주산 고사리 (냉동), 200g, 2개",,,9400,"(100g당2,350원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/29/12/6/9a896d60-41d1-471c-89cc-d9968403c1b9.jpg
"제주마미 비온뒤 고사리 (냉동), 200g, 1개",,,6400,"(100g당3,200원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/08/03/18/8/aadb27ff-0deb-4398-b85f-66359b67866e.jpg
"제주산 고사리 3봉 (냉동), 600g, 1개",,,16400,"(100g당2,733원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/16/10/2/d4f13c04-f0c8-47b5-abea-3192bee2dec0.jpg
"나무새 뚝딱 고사리, 400g, 1개",,,15200,"(100g당3,800원)",,3,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/24/18/7/b1793448-0db6-4d5d-a0c2-685c17793351.jpg
"국내산 공심채, 300g, 1개",55,7960,3580,"(100g당1,193원)",,18,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1498566465847321-c3a4233d-6c58-4b03-9b8a-709a70e5a14b.jpg
"친정엄마 국산 데친고사리, 450g, 1개",,,5600,"(100g당1,244원)",,1,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/15/11/8/2c8405b3-150c-4ad3-a332-1abc37fc1897.jpg
"국내산 데친고사리, 1kg, 1개",1,24430,23990,"(100g당2,399원)",,79,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1390520367707251-95928fc4-5582-4bec-b400-7ee474ab409d.jpg
"곰곰 국내산 데친 고사리, 150g, 1개",,,5690,"(100g당3,793원)",,285,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/442309563136890-6bb103f0-751c-4063-99a3-cc2db9a89890.jpg
"국내산 데친 고사리, 300g, 1개",4,8390,7990,"(100g당2,663원)",,387,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/82543949811859-f2c0e01e-b398-45e6-b4c7-6d8a681c8795.jpg
"프롬제주 제주산 햇고사리 (냉동), 300g, 1개",,,10800,"(100g당3,600원)",,49,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/08/03/18/5/cbd35996-82ac-4a71-a6e4-87df408e11e0.jpg
"제주산 고사리 3봉 (냉동), 600g, 1개",,,16400,"(100g당2,733원)",,169,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/16/10/2/d4f13c04-f0c8-47b5-abea-3192bee2dec0.jpg
