name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"청정원순창 100% 현미 태양초 찰고추장, 1kg, 1개",50,19000,9500,(100g당950원),내일(일) 새벽도착 보장,25291,475,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/0160/fdea28acec2bb7bd17a7e596e1bf75125bbb29b907556549ce7ae2aba30f.jpg
"청정원순창 100% 현미 태양초 찰고추장, 2.8kg, 1개",63,45600,16700,(100g당596원),내일(일) 새벽도착 보장,518,835,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/c5a0/84430ad8e479b3c3f807c9c6908ed83e52fa1c91360894c12c982006476d.jpg
"순창궁 태양초 고추장, 3kg, 1개",2,8900,8700,(100g당290원),내일(일) 새벽도착 보장,419,435,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/d58d/e48fb9de0c678e6b56aaf3bb371450b2fbb7a1465c31b724610e61169ec4.jpg
"순창궁 태양초 골드 고추장, 1kg, 2개",,,10640,(100g당532원),내일(일) 새벽도착 보장,3237,532,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_6_max3k/b55c/838f41b568b9350b91a907521a4a6e138f2ed216b3d24cdc8819c68cbddf.jpg
"청정원순창 100% 현미 골드 태양초 매운 고추장, 2kg, 1개",53,35000,16180,(100g당809원),내일(일) 새벽도착 보장,265,809,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_6_max3k/43f5/9eda16eb7b407737474ea696a8990c8f136ee5a1dc2c88e55565e696adc7.jpg
"무화당 고추장, 250g, 1개",2,12840,12500,"(100g당5,000원)",내일(일) 새벽도착 보장,1619,625,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/230e/2a3194bf336f383975173272bc2eeac5420b508261f33e326d0a8a304594.jpg
"청정원순창 태양초 덜매운 고추장, 1kg, 1개",46,19000,10250,"(100g당1,025원)",내일(일) 새벽도착 보장,902,513,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_1_max3k/9d29/4a845f146f7e294f08d2d8a7e26ad66a763efab3d4304f754b4826ac4b57.jpg
"순창궁 태양초 고추장, 1kg, 1개",,,6550,(100g당655원),내일(일) 새벽도착 보장,133,328,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_5_max3k/3d56/6e30bcbbeee3de453e14d87e4dfcc8fee375bd2efe43e01595b391821bf6.jpg
"청정원순창 우리쌀 고추장, 1kg, 1개",44,26000,14440,"(100g당1,444원)",내일(일) 새벽도착 보장,56,722,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/80de/d28f9cd8168bf825495e4f668f2df8de89fb46c03cbd3daafdd7e930390f.jpg
"한국맥꾸룸 맥 찹쌀 고추장, 500g, 1개",,,18070,"(100g당3,614원)",내일(일) 새벽도착 보장,438,904,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/21/10/6/5cd6c30d-b801-4f0c-bbce-4f3215c2f57d.jpg
"피아골미선씨 찹쌀고추장, 500g, 1개",,,16650,"(100g당3,330원)",내일(일) 새벽도착 보장,426,833,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/601424957076273-ae45f6de-3890-4334-b740-b8551abd722c.jpg
"권기옥 명인 웃말 찹쌀 고추장, 980g, 1개",5,30900,29250,"(100g당2,985원)",내일(일) 새벽도착 보장,122,1463,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/23/10/2/1d20c63d-50e6-47c1-abe4-5b963498c98e.jpg
"샘표 조선고추장, 1kg, 1개",1,8500,8350,(100g당835원),내일(일) 새벽도착 보장,701,418,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_6_max3k/2da3/3ad5a18d5b49e86ad5297098bc70988a368dd189f70238f142c80fbbe2fb.png
"곰곰 찹쌀 태양초 고추장, 1kg, 1개",67,15400,4980,(100g당498원),내일(일) 새벽도착 보장,238,249,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1725544273447585-2c7df6f8-8f14-4b34-be82-718147396ab3.jpg
"권기옥 명인 웃말 매실 고추장, 500g, 1개",,,18950,"(100g당3,790원)",내일(일) 새벽도착 보장,251,840,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/23/10/6/cd3d0155-c6a1-48f1-b1ed-c70066985194.jpg
"샘표 조선 고추장, 2kg, 1개",,,14130,(100g당707원),내일(일) 새벽도착 보장,8,706,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5189839183067393-21750ccb-7a45-4bff-944c-2661492dc0ff.png
"청정원순창 100% 현미 골드 태양초 매운 고추장, 3kg, 1개",56,49000,21380,(100g당713원),내일(일) 새벽도착 보장,9,1069,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8567448819049750-99722be8-f901-4435-840a-4bcb6aea2f36.jpg
"담가 전통 찹쌀고추장, 500g, 1개",3,14500,14000,"(100g당2,800원)",내일(일) 새벽도착 보장,154,625,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/04/14/6/47d2d6cb-0d9e-4b43-866b-0cb7debf3483.jpg
"기순도 딸기고추장, 500g, 1개",,,20500,"(100g당4,100원)",내일(일) 새벽도착 보장,103,1025,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7986907834577419-e1bff6c1-c465-48db-8bcd-585e6905a8de.jpg
"고맙당 비법고추장, 250g, 1개",35,17500,11250,"(100g당4,500원)",내일(일) 새벽도착 보장,89,563,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1050584491453156-d6199d69-3877-4263-a9af-9234c02756a8.jpg
"몽크슈 순창 장인 고추장 with 알룰로스, 200g, 1개",,,9800,"(100g당4,900원)",내일(일) 새벽도착 보장,2,490,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2458865677996722-c6756c86-20b6-429e-95c6-9bef8a8142d8.jpg
"김구원선생 장단콩 전통 고추장, 500g, 1개",,,15000,"(100g당3,000원)",내일(일) 새벽도착 보장,101,750,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/08/15/3/72777cf8-41ed-47f8-9477-09bbd629165c.jpg
"기순도 전통고추장, 230g, 1개",9,10500,9500,"(100g당4,130원)",내일(일) 새벽도착 보장,337,475,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7986755154652574-91e522ec-5d32-4fa2-b01a-1b41d62bc433.jpg
