name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"설화우 1등급 한우 샤브샤브용 (냉장), 300g, 1개",54,26900,12280,"(100g당4,093원)",내일(일) 새벽도착 보장,982,564,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9169052032578251-699e266b-d7eb-4192-a3dc-2afe0418c120.jpg
"전통참한우 1++ 등급 (7) 목심 바로 구이용 (냉동), 1개, 150g",,,13990,"(100g당9,327원)",내일(일) 새벽도착 보장,43,700,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3862469987064692-71b4682e-896e-44b2-9c83-0166241dce82.jpg
"화담우 한우 우둔 설도 혼합 2등급 육전용 (냉동), 300g, 1개",27,25900,18900,"(100g당6,300원)",내일(일) 새벽도착 보장,26,945,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/19/15/4/6b3b8ae2-afc1-40d1-b4db-9061b99f1066.jpg
"횡성명품한우 1등급이상 목심 대패구이 (냉동), 300g, 1개",27,25900,18790,"(100g당6,263원)",내일(일) 새벽도착 보장,6282,830,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/25/15/8/103cca78-3d24-4c8c-82e1-e27746ca924c.jpg
"우미학 돌돌말이 한우 목심 1등급 바로구이 (냉동), 300g, 1개",33,29900,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,24,1000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3274930388822594-ef29b39c-0073-4cd5-b43b-89da6058c216.jpg
"우미학 돌돌말이 한우 차돌박이 1등급 (냉동), 300g, 1개",24,39900,29990,"(100g당9,997원)",내일(일) 새벽도착 보장,36,1500,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1239706656907382-9ffa4c1d-ae94-405f-a29e-7c0057e2a08e.jpg
"근본육 한우 정육 1+등급 불고기용 (냉장), 300g, 1개",10,17990,16100,"(100g당5,367원)",내일(일) 새벽도착 보장,20,805,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/04/14/1/f713100e-f87d-444d-99f0-eaeb006811e0.jpg
"이로우 국내산 무항생제 인증 소고기 등심 불고기용 (냉장), 300g, 1개",13,25900,22350,"(100g당7,450원)",내일(일) 새벽도착 보장,32,1118,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/31/14/6/5eb24845-2dad-4c50-b8b8-dba5cefa883a.jpg
"육감하누 1등급 정육 불고기 (냉장), 300g, 1개",,,15900,"(100g당5,300원)",내일(일) 새벽도착 보장,6,795,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/04/12/9/8/71c1a4e0-05b6-458d-a1c9-dd8c44759f27.jpg
"횡성한우 1등급 이상 얇은 불고기 (냉장), 300g, 1개",22,26990,20980,"(100g당6,993원)",내일(일) 새벽도착 보장,2127,1049,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/918394738040673-ebc83b08-df1a-4b58-93d4-97c75273eda3.jpg
"전통참한우 2등급 불고기용 (냉장), 300g, 1개",13,21900,18990,"(100g당6,330원)",내일(일) 새벽도착 보장,512,950,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/33809159147354-55ac5591-5da9-4300-a9ce-d7b3f3046905.jpg
"농협안심한우 정육 1+등급 불고기용 (냉장), 300g, 1개",41,23900,13990,"(100g당4,663원)",내일(일) 새벽도착 보장,3603,700,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4189679018175446-d909bd41-ca86-48dc-9058-b25a47037097.jpg
"화담우 한우 불고기 (냉동), 500g, 1팩",28,29900,21480,"(100g당4,296원)",내일(일) 새벽도착 보장,473,1074,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4296854088346805-9c7521b7-4c6d-4e38-980f-2cd1b8a7300e.jpg
