name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"목우촌 국내산 소고기 사태 국거리용 (냉장), 300g, 1개",29,18990,13380,"(100g당4,460원)",내일(일) 새벽도착 보장,7085,669,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/997465734706920-754429fc-c645-4ab5-a4e8-28162b765bdc.jpg
"설로인 한우 1++등급 (7) 사태 국거리용 (냉장), 300g, 1개",,,13780,"(100g당4,593원)",내일(일) 새벽도착 보장,204,689,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/17/16/3/ba921d95-9212-4cc3-95d9-dc96d1511b25.jpg
"전통참한우 알사태 1등급 수육용 (냉장), 500g, 1개",,,29900,"(100g당5,980원)",내일(일) 새벽도착 보장,590,1370,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2935489874305001-6f9388bb-ef77-497b-ab13-478601e332e2.jpg
"건화 한우 1+ 등급 사태 (냉장), 300g, 1개",49,25990,13230,"(100g당4,410원)",내일(일) 새벽도착 보장,645,661,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/508881257186262-f0ee20d8-8ebd-45e3-ac9e-e6954b60384d.jpg
"백년미소 국내산 소고기 사태 2등급 국거리용 (냉장), 300g, 1개",40,19990,11940,"(100g당3,980원)",내일(일) 새벽도착 보장,494,597,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/19/5/d09f1c2c-fc50-4089-9f5e-b9970d9f30e6.jpg
"설화우 1등급 한우 사태 국거리용 (냉장), 300g, 1개",41,24900,14640,"(100g당4,880원)",내일(일) 새벽도착 보장,194,732,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/113964085996352-e6072f2e-a6c0-4629-a314-c39593011316.jpg
"전통참한우 사태 덩어리 수육 국거리 장조림용 (냉장), 400g, 1개",29,26990,18990,"(100g당4,748원)",내일(일) 새벽도착 보장,1436,950,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6416268530003300-77b2e34d-6acc-4fd3-83b0-50b8cf6922ef.jpg
"전통참한우 사태 덩어리 1등급 수육 국거리 장조림용 (냉장), 400g, 1개",27,27900,20320,"(100g당5,080원)",내일(일) 새벽도착 보장,373,956,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6415992296333272-d2b5128f-203e-412b-89e5-3315f5c5419c.jpg
"설성목장 무항생제 인증 한우 1+등급 사태 국거리용 (냉장), 300g, 1개",10,14860,13230,"(100g당4,410원)",내일(일) 새벽도착 보장,254,661,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/292983384500699-42563d56-8b99-4956-82ca-ac175413848d.jpg
"횡성한우 1+등급 국거리용 (냉장), 300g, 1개",,,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,19028,910,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1678261229154550-8d4c0cb8-a2d4-44f3-a85a-80f9f7da1741.jpg
"녹색한우 무항생제 사태 덩어리 1+등급 (냉장), 250g, 1개",44,19900,11020,"(100g당4,408원)",내일(일) 새벽도착 보장,253,551,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1408042397489666-306861ec-78b8-4d46-9c8e-653c6020c369.jpg
"곰곰 한우 1+등급 사태 국거리용 (냉장), 300g, 1개",,,11400,"(100g당3,800원)",내일(일) 새벽도착 보장,1232,570,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1512767573093914-48fdcbbf-4c1d-48ce-a9fa-0d945bde93af.jpg
"횡성명품한우 횡성한우 사태 2등급 국거리용 (냉장), 300g, 1개",30,22900,15900,"(100g당5,300원)",내일(일) 새벽도착 보장,145,795,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/15/14/4/b41bf379-b9ea-4425-b2ef-09dde53c6777.jpg
