name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"더 숙성한우 양지 국거리용 (냉장), 250g, 1개",30,19990,13980,"(100g당5,592원)",내일(일) 새벽도착 보장,3285,699,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/09/10/7/a8fe65f1-2fee-4cf2-9cd1-38855a46390e.jpg
"횡성한우 1+등급 차돌박이 (냉동), 250g, 1개",,,25990,"(100g당10,396원)",내일(일) 새벽도착 보장,3235,1300,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1141930462336408-0d4f4f53-23a2-41f8-aefb-b8109edf5baa.jpg
"복선상회 소양지 슬라이스 수육용 (냉동), 600g, 1개",,,39540,"(100g당6,590원)",내일(일) 새벽도착 보장,25,1977,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4148248375508866-d47a62c8-050b-4cff-89f8-589a2420528f.jpg
"금천한우 1등급 차돌박이 구이용 (냉동), 300g, 1개",25,34990,25990,"(100g당8,663원)",내일(일) 새벽도착 보장,71,1300,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/01/17/9/fa88df0b-7426-48f8-a999-8afd30d21529.jpg
"건화 한우 양지 덩어리 1등급 국거리용 (냉장), 300g, 1개",,,24920,"(100g당8,307원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/nkkjwxvx/c7142a9b106846c7a99ae64445d2ae83.jpg
"건화 한우 양지 덩어리 1등급 국거리용 (냉장), 300g, 1개",,,24920,"(100g당8,307원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/nkkjwxvx/c7142a9b106846c7a99ae64445d2ae83.jpg
"전통참한우 리테일팩 양지 1등급 구이용 (냉장), 2kg, 1개",,,72000,"(100g당3,600원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/drwvcrj0/c9b05242bc644d1c92afdc6eb3564337.jpg
"전통참한우 리테일팩 양지 1등급 구이용 (냉장), 1.5kg, 1개",,,54000,"(100g당3,600원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/53zaaymy/59f15146354c4d74939a90468db731ab.jpg
"전통참한우 리테일팩 차돌양지 1등급 국거리 장조림용 (냉장), 2.8kg, 1개",,,84000,"(100g당3,000원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/j5djuoxi/2eb759f6995d4a8b9c2cc48b5e1d39a7.jpg
"전통참한우 리테일팩 차돌양지 1등급 국거리 장조림용 (냉장), 2.9kg, 1개",,,87000,"(100g당3,000원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hp5hojrt/fcab431138404313af1b4daab6f97d75.jpg
"전통참한우 리테일팩 차돌양지 1등급 국거리 장조림용 (냉장), 3kg, 1개",,,90000,"(100g당3,000원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/socb7gke/1bd6e605bd164fe5b37732435c89b4e6.jpg
"전통참한우 리테일팩 양지 1등급 구이용 (냉장), 1.7kg, 1개",,,61200,"(100g당3,600원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/1qr1iqoy/cf7328909c5f4681885b9efb6e21e99a.jpg
"전통참한우 리테일팩 양지 1등급 구이용 (냉장), 1.6kg, 1개",,,57600,"(100g당3,600원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/taxrzcqg/b6f70e6c6a0c45d694e30392913b8e6d.jpg
"전통참한우 리테일팩 양지 1등급 구이용 (냉장), 1.8kg, 1개",,,64800,"(100g당3,600원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cshczwtp/46c140ccfabd48a4b4ac36b3b0303b92.jpg
"전통참한우 리테일팩 차돌양지 1등급 국거리 장조림용 (냉장), 2.5kg, 1개",,,75000,"(100g당3,000원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jxed6mfx/1799a042bd544bc293963715eb182b58.jpg
"전통참한우 리테일팩 양지 1등급 구이용 (냉장), 1.9kg, 1개",,,68400,"(100g당3,600원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rkptmooc/e7027e6a3aa54f849287599b5b69d6a0.jpg
"전통참한우 리테일팩 차돌양지 1등급 국거리 장조림용 (냉장), 2.6kg, 1개",,,78000,"(100g당3,000원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mxkounog/5a3ade1375d046668260fac12174562c.jpg
"전통참한우 리테일팩 차돌양지 1등급 국거리 장조림용 (냉장), 2.7kg, 1개",,,81000,"(100g당3,000원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fralz1hl/f2f40180ea794cb696be73633860947f.jpg
"전통참한우 리테일팩 양지 1등급 구이용 (냉장), 1.8kg, 1개",,,64800,"(100g당3,600원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cshczwtp/46c140ccfabd48a4b4ac36b3b0303b92.jpg
"전통참한우 리테일팩 차돌양지 1등급 국거리 장조림용 (냉장), 2.6kg, 1개",,,78000,"(100g당3,000원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mxkounog/5a3ade1375d046668260fac12174562c.jpg
"복선상회 소양지 슬라이스 수육용 (냉동), 600g, 1개",,,39540,"(100g당6,590원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4148248375508866-d47a62c8-050b-4cff-89f8-589a2420528f.jpg
"더 숙성한우 양지 국거리용 (냉장), 250g, 1개",,,13980,"(100g당5,592원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/09/10/7/a8fe65f1-2fee-4cf2-9cd1-38855a46390e.jpg
"금천한우 1등급 차돌박이 구이용 (냉동), 300g, 1개",,,25990,"(100g당8,663원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/01/17/9/fa88df0b-7426-48f8-a999-8afd30d21529.jpg
"횡성한우 1+등급 차돌박이 (냉동), 250g, 1개",,,25990,"(100g당10,396원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1141930462336408-0d4f4f53-23a2-41f8-aefb-b8109edf5baa.jpg
