name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"중앙씨푸드 국산 숨굴 (냉동), 350g, 1개",,,5990,"(100g당1,711원)",내일(일) 새벽도착 보장,2034,270,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/09/16/4/3a426200-5cb2-478b-a7dc-6f937c878c02.jpg
"신선씨푸드 냉동굴 (냉동), 500g, 2개",,,14900,"(100g당1,490원)",내일(일) 새벽도착 보장,141,745,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0ffbv8gh/001f732cc6734b7a9fb9e69a63adb0e3.jpg
"신선작 생굴 (냉동), 1kg, 1개",,,18000,"(100g당1,800원)",내일(일) 새벽도착 보장,585,810,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1942283778198240-ba29236a-2a57-4725-aae9-05640dafe60c.jpg
"엠수산 국내산 냉동굴 (냉동), 600g, 1개",,,11200,"(100g당1,867원)",내일(일) 새벽도착 보장,3594,560,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/64140673294900-25422008-421d-497d-8276-a1403480f32a.jpg
"아침앤저녁앤 국내산 굴 (냉동), 1kg, 1개",,,16900,"(100g당1,690원)",내일(일) 새벽도착 보장,30,845,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7896788125236473-a9589db6-07bd-496b-a6d5-60a34c420beb.jpg
"신선작 생굴 (냉동), 500g, 1개",,,9400,"(100g당1,880원)",내일(일) 새벽도착 보장,1613,420,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1732133504463408-0601f517-2d72-4ff8-a393-c210d5f98f72.jpg
"삼삼물산 통영굴 (냉동), 300g, 1개",,,6800,"(100g당2,267원)",내일(일) 새벽도착 보장,353,340,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4418606494965685-27f37df9-96bb-4f41-9a53-b49c46a1bc13.jpg
"신선작 냉동생굴 IQF (냉동), 2kg, 1개",,,29900,"(100g당1,495원)",내일(일) 새벽도착 보장,1649,1345,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1768151655708476-0c43a513-356b-4d12-ac38-ae59ffb2d496.jpg
"고고새우 국내산 통영 굴 (냉동), 300g, 2개",,,11900,"(100g당1,983원)",내일(일) 새벽도착 보장,77,595,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/17/17/8/9b1ccca9-f744-423f-b35d-ebe1e4b8cd15.jpg
"바다자리 국산 급랭 통영굴 IQF (냉동), 1개, 400g",,,10300,"(100g당2,575원)",내일(일) 새벽도착 보장,28,515,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/27/10/9/59d7a38e-1940-4732-baea-b99a580cfacb.jpg
