name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"GAP 밀양 깻잎, 500g, 1개",,,14500,"(100g당2,900원)",내일(일) 새벽도착 보장,2310,725,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3389353755013057-1d91c1a3-11d8-4f48-87d2-5356032d4f33.jpg
"깻순, 1kg, 1개",,,12990,"(100g당1,299원)",내일(일) 새벽도착 보장,856,650,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/616904773109228-a78dcb41-af39-421f-a4f6-68171fb2cadf.jpg
"GAP 추부깻잎, 500g, 1개",,,15980,"(100g당3,196원)",내일(일) 새벽도착 보장,143,799,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1339538382418258-5bcf2865-752e-4976-bb91-6089eba7e444.jpg
"국내산 데친 깻잎, 200g, 1개",,,3900,"(100g당1,950원)",내일(일) 새벽도착 보장,751,195,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6073672164465805-5ace52a2-572d-4e0f-9daf-16d24f1cc326.jpg
"국내산 GAP 추부깻순, 200g, 1개",10,3900,3480,"(100g당1,740원)",내일(일) 새벽도착 보장,1193,174,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6918318058686524-4cbf6185-a04b-4f42-bb23-f62c5b305a0c.jpg
"국내산 깻잎&케일, 70g, 1개",,,3690,"(100g당5,271원)",내일(일) 새벽도착 보장,7927,185,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/689755199139149-4619eb5b-887b-4a42-b3e1-590b10947329.jpg
"유기농 깻잎, 50g, 1팩",,,2350,"(100g당4,700원)",내일(일) 새벽도착 보장,3597,118,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1924395793568336-557b738a-4128-4c56-a635-cb029d20921d.jpg
"곰곰 GAP인증 밀양 깻잎, 100g, 1팩",6,3900,3650,"(100g당3,650원)",내일(일) 새벽도착 보장,49440,183,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2186200442624770-8095c56d-1ffe-432d-8022-81faaff1a271.jpg
"GAP 추부 깻잎, 100g, 1팩",,,3980,"(100g당3,980원)",내일(일) 새벽도착 보장,44873,199,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1302174261039632-c0421bf3-7f01-4e6a-a26b-172cad236057.jpg
"곰곰 GAP 깻잎, 60g, 1팩",,,2190,"(100g당3,650원)",내일(일) 새벽도착 보장,93229,110,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1568144396901937-bf5ed93a-f4f6-455d-88d9-3422a9dc12e6.jpg
"[팩] 밀양 깻잎, 100g, 1팩",15,3890,3290,"(100g당3,290원)",내일(일) 새벽도착 보장,16560,165,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7086127392321268-b1033b40-6ef8-4b4a-b84c-c5305d1d16bb.jpg
"유기농 깻잎, 50g, 1팩",,,2350,"(100g당4,700원)",,70,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1924395793568336-557b738a-4128-4c56-a635-cb029d20921d.jpg
"국내산 친환경 깻잎, 150g, 1개",2,5620,5490,"(100g당3,660원)",,94,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4778830609607725-ff43d444-8db3-4bd3-b287-5e9c1635b00a.jpg
"GAP 밀양 깻잎, 1kg, 1개",,,26500,"(100g당2,650원)",,58,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3391359859455750-b30483d9-de31-44c8-a9df-8c0577d0e9cc.jpg
"국내산 친환경 깻잎, 100g, 1개",,,3700,"(100g당3,700원)",,177,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2077722297490102-d00f3a08-761d-4f76-af67-e427ae14d54f.jpg
