name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 무농약 느타리버섯, 1kg, 1개",,,8600,(100g당860원),내일(일) 새벽도착 보장,153810,430,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/bd6d/311e6ff65151a207cc89909673895369ad78beda43f2a1c87bdcde075478.jpg
"국내산 느타리버섯, 2KG, 1개",,,9960,(100g당498원),내일(일) 새벽도착 보장,2699,498,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/d78d/ebcea67971c539adcc0277ba2eeb7c0494add42cfde1e937d5cd7b35c097.jpg
"국내산 애느타리버섯, 2kg, 1개",,,14200,(100g당710원),내일(일) 새벽도착 보장,329,710,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718381971990308-4627a7cc-ebc4-4cbf-88c5-fbfd18de7052.jpg
"국내산 GAP 맛타리버섯, 300g, 1개",5,2340,2220,(100g당740원),내일(일) 새벽도착 보장,5968,111,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/527280622510137-db4d8931-5a94-4333-ad62-b2c24212bfa0.jpg
"곰곰 친환경 참타리버섯, 300g, 1개",,,1930,(100g당643원),내일(일) 새벽도착 보장,9780,96,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7717197333670571-3f18a8d3-391e-46de-89cd-fb0cbc2ef6f8.jpg
"국내산 무농약 느타리버섯, 1kg, 1개",,,8600,(100g당860원),,199,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4186215735597119-f82926d1-56a3-4b82-aaac-4689fbf87f2f.jpg
"곰곰 친환경 참타리버섯, 300g, 1개",,,1930,(100g당643원),,265,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7717197333670571-3f18a8d3-391e-46de-89cd-fb0cbc2ef6f8.jpg
"국내산 왕느타리버섯, 500g, 1개",,,4800,(100g당960원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/148665100889823-033fd3fe-164b-4d3e-addd-7a8c98e71e6c.jpg
"국내산 참맛 느타리버섯, 800g, 1팩",,,3560,(100g당445원),,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/156908234590007-d63758c5-4958-4087-85ee-20b122de8eb8.jpg
"무농약 인증 국내산 고기느타리버섯, 500g, 1개",19,6130,4960,(100g당992원),,8,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/22/10/3/e77557b4-4280-481b-aef9-5dba867c8cc6.jpg
"애느타리버섯(팩) 국내산, 2kg, 1팩",,,12000,,,19,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718381971990308-4627a7cc-ebc4-4cbf-88c5-fbfd18de7052.jpg
"애느타리버섯(팩) 국내산, 2kg, 1팩",,,12000,,,54,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718381971990308-4627a7cc-ebc4-4cbf-88c5-fbfd18de7052.jpg
"국내산 느타리버섯, 2KG, 1개",,,9960,(100g당498원),,162,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/600707303741379-cfeb8695-3f69-42f9-87aa-1f14054fe0a2.jpg
"애느타리버섯(팩) 국내산, 2kg, 1팩",,,12000,,,38,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718381971990308-4627a7cc-ebc4-4cbf-88c5-fbfd18de7052.jpg
"국내산 친환경 고기느타리버섯, 300g, 1개",,,3150,"(100g당1,050원)",,57,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6688872871987986-e9e7d82e-96ff-4ff9-835e-f19ea8002a29.jpg
"국내산 애느타리버섯, 2kg, 1개",,,14200,(100g당710원),,150,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/718381971990308-4627a7cc-ebc4-4cbf-88c5-fbfd18de7052.jpg
"국내산 GAP 맛타리버섯, 1개, 300g",5,2340,2220,(100g당740원),,195,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/527280622510137-db4d8931-5a94-4333-ad62-b2c24212bfa0.jpg
"친환경 느타리버섯, 400g, 1팩",,,3440,(100g당860원),,99,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/958551518402167-5aba0433-5b4f-4e30-9121-cc128b93deba.jpg
"무농약 인증 친환경 고기느타리, 300g, 1개",,,2980,(100g당993원),,405,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/06/15/5/338f52b1-3189-4aea-bc9b-030ddebf3ae6.jpg
"국내산 무농약 느타리버섯, 200g, 1개",,,1720,(100g당860원),,601,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/55093611528352-93bae225-9b6f-4528-adcf-7151fb0dd7ca.jpg
"국내산 무농약 느타리버섯, 500g, 1개",,,4300,(100g당860원),,1401,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2522624495764104-42e4118e-5190-48c8-acb3-d801a5017d61.jpg
"무농약 인증 친환경 고기느타리, 300g, 1개",,,2980,(100g당993원),,11855,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/06/15/5/338f52b1-3189-4aea-bc9b-030ddebf3ae6.jpg
"국내산 친환경 고기느타리버섯, 300g, 1개",20,3750,2990,(100g당997원),,1795,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6688872871987986-e9e7d82e-96ff-4ff9-835e-f19ea8002a29.jpg
"무농약 인증 국내산 고기느타리버섯, 500g, 1개",19,6130,4960,(100g당992원),,1376,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/22/10/3/e77557b4-4280-481b-aef9-5dba867c8cc6.jpg
