name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"금일도 다시마채, 100g, 1개",,,6900,(10g당690원),내일(일) 새벽도착 보장,323,345,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/10/21/14/6/52544f6f-933d-4bf7-bd8b-115f8c30c470.jpg
"다복수산 완도에서 갓 수확한 쌈용 자숙 다시마, 2kg, 1개",,,16000,(10g당80원),모레(월) 새벽도착 보장,461,800,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/20/15/8/a5db7043-da1b-4420-8620-6dfcb57cddb7.jpg
"해맑은번영 간편한 씻어나온 생다시마 (냉동), 200g, 2개",,,7200,(10g당180원),내일(일) 새벽도착 보장,2434,360,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/21/16/8/2b5bfc1a-48b5-45d8-882e-7e40c8c46d38.jpg
"곰곰 깨끗하게 손질한 완도 다시마, 250g, 1개",,,6620,(10g당265원),내일(일) 새벽도착 보장,14,331,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/773913784818195-91f2b23c-17f4-4d63-9024-00adf79af81c.jpg
"완도 햇살받은 뿌리다시마, 70g, 3개",,,9130,(10g당435원),내일(일) 새벽도착 보장,643,456,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/06/19/9/5/5962b588-7c78-4398-bd9f-165398bcf39c.jpg
"어식백세 자른다시마, 1kg, 1개",,,25560,(10g당256원),내일(일) 새벽도착 보장,11,1278,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jqilq9hv/802f5f6a1b224b3e9dd2f839f9260792.jpg
"어식백세 뿌리다시마, 500g, 1개",2,14400,13980,(10g당280원),내일(일) 새벽도착 보장,96,699,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/idspc24v/9ca51b1f86264863974441a959aa2957.jpg
"쌈다시마, 3kg, 1박스",,,8900,(10g당30원),내일(일) 새벽도착 보장,204,445,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/8ea70jmv/8395b133c9764ef49bf447063f388042.jpg
"간편한 각다시마, 140g, 2개입",,,9200,(10g당329원),내일(일) 새벽도착 보장,492,460,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/09/16/6/a36c7eed-70ae-46fc-98af-5405f407eb65.jpg
"해맑은번영 밥다시마, 70g, 2개",,,9500,(10g당679원),내일(일) 새벽도착 보장,14,475,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/07/01/17/3/852c8b28-eade-471a-b3c8-d876c8a092a2.jpg
"품질인증 기장 명품 자른 다시마, 80g, 1개",5,5500,5200,(10g당650원),내일(일) 새벽도착 보장,1,260,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jopv3kpn/2aa1d9b358964b99b7b57342df3a7102.jpg
"반달바닿 한입가득 쌈다시마, 1개, 90g",,,9680,"(10g당1,076원)",내일(일) 새벽도착 보장,31,484,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4439030823902867-b4bab2ba-fd81-421b-8105-2dd62c2623f1.jpg
"주일 고흥 금산 자른 다시마, 300g, 1개",,,9400,(10g당313원),내일(일) 새벽도착 보장,491,470,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3869282814026625-a415f3b9-1cc9-4607-9f29-e42ed9f651c6.jpg
"주일 염장 채다시마, 10kg, 1박스",,,21080,(10g당21원),내일(일) 새벽도착 보장,28,1054,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/02/15/2/79beba41-a0d9-4283-91e0-e6749fc3b7dc.jpg
"해맑은번영 쌈다시마, 150g, 1개",,,8050,(10g당537원),내일(일) 새벽도착 보장,1770,403,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/11/28/8/6/0a1927fb-7197-452e-b62a-7c9c1fb2a50c.jpg
"기장물산 금일도에서 채취한 자른다시마, 150g, 1개",3,8500,8200,(10g당547원),내일(일) 새벽도착 보장,1,410,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/04/05/16/5/a35058e0-3eb4-438a-93de-fecdc0cd6a81.jpg
"주일 염장 쌈다시마, 10kg, 1박스",,,18000,(10g당18원),내일(일) 새벽도착 보장,48,900,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/02/15/9/e24dc51d-b7a8-4288-a502-39540b1b889e.jpg
"일품수제 다시마 튀각, 60g, 3개",2,8900,8700,(10g당483원),내일(일) 새벽도착 보장,749,400,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2435036528673607-3ca4d81d-7faa-4fac-a69b-9739714bf88f.jpg
"주일 무결점 해풍맞은 완도다시마, 250g, 1개",,,6970,(10g당279원),내일(일) 새벽도착 보장,6328,349,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/04/17/2/cd865395-6bcd-4c54-9a6e-bf1200530eac.jpg
