name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"하림 닭가슴살 블랙페퍼 8개입, 800g, 1개",,,15800,"(100g당1,975원)",오늘(일)도착 보장,33130,790,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1574436673017182-144f5fd2-67c8-474e-8693-86e4d2c55515.jpg
"한끼통살 통살 소스 닭가슴살 100g x 14종 세트 (냉동), 1세트",34,47500,30940,,오늘(일)도착 보장,135,1547,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/38f6/dc78d6beb30c5987f87526d907c06c71d33413de2cd1be252ecbc4510943.jpg
"한끼통살 그릴드 닭가슴살 100g x 5종 x 2p 세트 (냉동), 1세트",5,24900,23410,,오늘(일)도착 보장,12640,1170,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749066651551845-151893e1-da1f-45f7-90a6-f837f174229f.jpg
"닭가슴살 양배추쌈 30구 (냉동), 1kg, 1개",6,12700,11900,"(100g당1,190원)",오늘(일)도착 보장,11139,595,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/417c/3f534fbd8e7a37d73ecd4437bab9ea006943cd41667528798f930a7c0f94.jpg
"다향오리 블랙페퍼 닭가슴살, 100g, 1개",,,2800,"(100g당2,800원)",오늘(일)도착 보장,370,140,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1042795991350677-4d813375-d07b-4be4-b607-88132f76ecf1.jpg
"굳닭 닭가슴살 소세지 15팩 스페셜 세트 (냉동), 1세트",,,19900,,오늘(일)도착 보장,6103,995,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/cdec/35f72508a0c3ef0b4d9c7c3967e443a1a87f836cf96096c948b39b6e6d0c.jpg
"곰곰 오리지날 닭가슴살 소시지 (냉동), 100g, 4개",,,6830,"(100g당1,708원)",오늘(일)도착 보장,5115,341,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4770605151310377-d23a5e19-b364-40ef-af15-f0ca5ac1cc90.jpg
"하림 IFF 한입쏙 닭안심 블랙페퍼 (냉동), 800g, 1개",6,10600,9950,"(100g당1,244원)",오늘(일)도착 보장,9034,498,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/309168474410982-4cde27b2-b0bc-4a70-9061-d510eef02b72.jpg
"한끼통살 소스 통살 닭가슴살 7종 x 2개입 세트 1400g (냉동), 1세트",27,44800,32460,,오늘(일)도착 보장,10,1623,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/upcwlanf/207bbc66ef0d4c1da1238b475da272b4.jpg
"한트바커 페퍼그릴 닭가슴살, 900g, 1개",3,15900,15300,"(100g당1,700원)",오늘(일)도착 보장,1896,690,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/32154524919977-b30c4fb2-f973-4a33-b6bf-076f77d590b7.jpg
"곰곰 통살 닭가슴살 데리야끼맛 (냉동), 100g, 10개",27,25000,18090,"(100g당1,809원)",오늘(일)도착 보장,1435,905,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5161357680464030-9bbf81d0-db15-483d-8abe-6f615ad4af12.jpg
"햇살닭 저염훈제닭가슴살 플러스 (냉동), 100g, 10개",,,21000,"(100g당2,100원)",오늘(일)도착 보장,42929,1000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/28/11/5/0fa77540-d4d2-4b73-8236-256c1874911f.jpg
"굽네 소스가 맛있는 닭가슴살 120g 4종 x 2개입 세트 960g (냉동), 1세트",21,29000,22800,,오늘(일)도착 보장,8328,1140,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7710143308152092-00349332-a657-4adc-bb10-3a5bd9d5869c.jpg
"아임닭 닭가슴살 큐브 숯불갈비맛 (냉동), 100g, 1개",,,2300,"(100g당2,300원)",오늘(일)도착 보장,3205,115,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/aee6/6a9902dc496af4be2f9888d07d2176216f22355d5bb7973d4f7a098c126f.jpg
"하림 IFF 핑크솔트 한입 닭가슴살 (냉동), 1개, 1.1kg",,,13340,"(100g당1,213원)",오늘(일)도착 보장,4282,667,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/29/15/7/ed7419cb-bd95-42be-920e-3a9c84ae96af.jpg
"곰곰 닭가슴살 큐브 매콤청양 (냉동), 100g, 5개",36,12990,8200,"(100g당1,640원)",오늘(일)도착 보장,553,410,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/5249/5822c0b29e757c778ff1d4270a8b7e7f382fd0b323d7b3ca3e1ecde15012.jpg
"곰곰 닭가슴살볼 오리지널, 100g, 1개",5,1590,1510,"(100g당1,510원)",오늘(일)도착 보장,1605,70,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4763833208801364-a2bedf9b-a2d9-4e97-96f8-88b2cd761473.jpg
"한끼통살 닭가슴살 허니소이 (냉동), 100g, 1개",,,3200,"(100g당3,200원)",오늘(일)도착 보장,11589,160,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fnwapeyj/f62b5adf0a6646279e8a67616dff2052.jpg
"함께하닭 맛있는 스팀 헬스 닭가슴살 그릴맛 (냉동), 100g, 6개",,,13500,"(100g당2,250원)",오늘(일)도착 보장,354,675,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/5s6q9lhz/cef951f21a324f7884d9379b48c3fb2c.jpg
