name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 친환경 절단대파, 500g, 1개",8,5310,4870,(100g당974원),내일(일) 새벽도착 보장,6026,244,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2077707796032179-5488ba0d-3844-4368-ba08-84c0a80dd6f3.jpg
"국내산 친환경 손질한 흰줄기 대파, 350g, 1개",21,7290,5750,"(100g당1,643원)",내일(일) 새벽도착 보장,5366,288,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/261348745654610-f33217d2-26c9-4bc0-967e-ab946129ae7f.jpg
"그린피아 대파 (냉동), 500g, 1개",,,5600,"(100g당1,120원)",내일(일) 새벽도착 보장,19,280,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ltx8nnvy/1094794ceb194636a8fc1bdef1b7cac4.jpg
"곰곰 친환경 절단대파, 300g, 1개",,,3900,"(100g당1,300원)",내일(일) 새벽도착 보장,8334,195,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/149536237052999-87b6307d-78f1-4c4c-b9cc-e3471465ec57.jpg
"우리땅 유기농 인증 간편대파 (냉동), 150g, 1통",,,2400,"(100g당1,600원)",내일(일) 새벽도착 보장,1614,120,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/14/2/c1c18c34-98f0-4bb7-99f4-32ea84ca00b4.jpg
"국내산 친환경 대파, 500g, 1개",7,3450,3180,(100g당636원),내일(일) 새벽도착 보장,1674,159,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3436662411727832-d888f6b1-b18c-4177-aa99-56098dad5e0a.jpg
"국내산 깐대파, 300g, 1개",4,2960,2820,(100g당940원),내일(일) 새벽도착 보장,8680,141,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/20854411138357-5024e94f-1f4f-40a2-9e99-437d5895ab08.jpg
"국내산 절단 대파, 300g, 1개",14,3480,2980,(100g당993원),내일(일) 새벽도착 보장,17148,149,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2299839664627363-feff7835-11b5-4aa7-b27f-de7b32501b1f.jpg
"국내산 절단 손질대파, 1kg, 1개",10,5600,5000,(100g당500원),내일(일) 새벽도착 보장,93006,250,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/84389409343874-130b2667-e782-4546-b06f-807fbaf69509.jpg
"곰곰 국내산 절단대파, 1kg, 1개",10,5600,5000,(100g당500원),내일(일) 새벽도착 보장,160002,250,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4687795846505328-12ad7d4e-ee22-4c30-9116-e11581963ee5.jpg
