name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"청정원순창 개운하고 담백한 재래식 생된장, 1kg, 1개",50,9100,4550,(100g당455원),내일(일) 새벽도착 보장,5744,228,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/8292/0602fb64a813f49561fd9b5bb9ab718f84361054b5e8c842810180d15579.jpg
"전통식품 인증 맥된장, 450g, 1개",,,13650,"(100g당3,033원)",내일(일) 새벽도착 보장,4903,683,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/f224/7a179c3beef538f1f517cb9fe61f52c6857e291a463cb15a28809b56f31b.jpg
"샘표 국산콩 백일된장, 900g, 1개",,,16420,"(100g당1,824원)",내일(일) 새벽도착 보장,2177,821,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_5_max3k/6450/fb5a2332b0bec7a97a23f4d6c571f2dcf9336e90d77cb5da1fb89ba53dc4.png
"청정원순창 고깃집 된장찌개 양념, 450g, 1개",11,7300,6480,"(100g당1,440원)",내일(일) 새벽도착 보장,147,324,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/29ae/4117c6e565d8b518dc9fc0fa8370ae3db1480c9834d5876d23a4bbe51410.jpg
"담가 우리콩 전통된장, 500g, 1개",,,9600,"(100g당1,920원)",내일(일) 새벽도착 보장,882,430,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/04/14/3/59b8bb20-5426-4e3f-8947-334de065a012.jpg
"청정원순창 개운하고 담백한 재래식 생된장, 500g, 1개",22,4700,3650,(100g당730원),내일(일) 새벽도착 보장,1413,183,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/fa5c/2f8548ad4fe8cfb3c2222713499d2fd795ea1046fae46a85c0fdeb712c9e.jpg
"순창문옥례식품 전통식품 인증 우리콩 된장, 1개, 500g",,,11360,"(100g당2,272원)",내일(일) 새벽도착 보장,56,568,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/03/10/7/74467bab-ee9c-4767-a9f9-25830353a7c5.jpg
"더해담 순창 상황버섯 된장, 2kg, 1개",30,24200,16900,(100g당845원),내일(일) 새벽도착 보장,461,845,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1323296643055851-6844f7b0-f5d6-4200-8579-2983930df6ff.jpg
"샘표 토장, 1.9kg, 1개",48,19890,10300,(100g당542원),내일(일) 새벽도착 보장,224,515,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/547026535553268-966accd9-46ec-4f20-98be-277a3ee019f3.png
"청정원 순창 진한 재래식된장, 2kg, 1개",32,19900,13350,(100g당668원),내일(일) 새벽도착 보장,952,668,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8487298410083406-95656546-30df-4eef-bb46-3defcd8d92a2.jpg
"청정원순창 조개멸치 된장 찌개양념, 450g, 1개",32,8700,5840,"(100g당1,298원)",내일(일) 새벽도착 보장,1493,292,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/e5ea/27baeb4b63f804d7d006fda4b14d027456491b2b0f515215c00b9002f342.jpg
"기순도 전통된장, 500g, 1개",,,14700,"(100g당2,940원)",내일(일) 새벽도착 보장,430,735,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9852222075778491-45a75679-8933-437c-99a8-b0d35c3a5b07.jpg
"올가 우리콩 된장, 500g, 1개",,,15500,"(100g당3,100원)",내일(일) 새벽도착 보장,369,775,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_6_max3k/e117/bcddd6d3113fdfa0d5aa70b701f8dd972d88f7b0ac7288c663bcae0b389c.jpg
"순창궁 재래식 된장, 500g, 1개",,,2450,(100g당490원),내일(일) 새벽도착 보장,279,123,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/65c8/d2530e0d0d16e4690101d1ab32bfa6d80f2f4242380103196675d4eb6ee2.jpg
