name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 냉동 다진마늘, 270g, 1개",6,5310,4980,(10g당184원),내일(일) 새벽도착 보장,18855,249,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7794540010382202-219e65d5-2b99-411a-af76-20134300b15f.jpg
"곰곰 냉동 다진마늘, 1kg, 1개",,,11280,(10g당113원),내일(일) 새벽도착 보장,10382,564,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/605092107039372-a6eefdcf-5496-41de-a538-db82276375ab.png
"국내산 다진마늘 용기 900g, 1통",,,13090,(10g당145원),내일(일) 새벽도착 보장,4270,655,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2358242725049292-e77dad08-cecd-411a-9fe0-3595d7be0cc0.jpg
"곰곰 국산 다진 마늘, 250g, 1개",7,5370,4980,(10g당199원),내일(일) 새벽도착 보장,102515,249,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2911413416399-66f1fedd-21d8-46d1-9bef-fce4a69d0146.jpg
"맑은물에 의성 다진마늘, 600g, 1개",,,18000,(10g당300원),내일(일) 새벽도착 보장,8246,900,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3483918320549202-15af5ba2-a4d3-4071-a9c5-182cf858cfb8.jpg
"대정농협 다진마늘 (냉동), 1kg, 1개",15,13100,11090,(10g당111원),내일(일) 새벽도착 보장,103,555,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pq1houvb/d1aa9306c8ad47da940bed40c7f23d7b.jpg
"다진마늘 (냉동), 1kg, 5팩",,,11450,(10g당23원),내일(일) 새벽도착 보장,707,573,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/27/16/3/a2c2ca2c-ed22-4b37-a3cc-bc15edda450c.jpg
"국내산 다진마늘 용기 400g, 1통",,,7980,(10g당200원),내일(일) 새벽도착 보장,2250,399,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2359418734916834-78763e55-6e5e-472d-8425-6aab9116acb1.jpg
"친정엄마꾸러미 뚝딱! 다진마늘 한스푼 280g + 청양고추 400g + 대파 500g 세트 (냉동), 1세트",,,15900,,내일(일) 새벽도착 보장,474,795,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/197597516303175-73ef6eed-ce4f-4c86-8586-6daeeb4e77c3.jpg
"풀무원 다진마늘 용기, 260g, 1개",16,8980,7490,(10g당288원),내일(일) 새벽도착 보장,8890,375,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/874679501166324-e26a5e68-b200-4b07-962d-1ac1d7f322b9.jpg
"친정엄마꾸러미 다진마늘 (냉동), 800g, 1개",,,11760,(10g당147원),내일(일) 새벽도착 보장,3022,588,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/774639096656688-4a7b95d5-1beb-40fc-9bb0-c71c54d79342.jpg
"곰곰 다진마늘 (냉동), 600g, 1개",,,8310,(10g당139원),내일(일) 새벽도착 보장,13,415,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/513617423482476-19772ecb-9589-493f-a7d7-6a4d1bae2937.jpg
"가나 다진마늘, 250g, 1개",,,5880,(10g당235원),내일(일) 새벽도착 보장,75,294,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3044502092755901-d0d5b08c-e5db-4b77-9e41-04917b97ddd9.jpg
"국내산 다진마늘, 200g, 1통",,,5640,(10g당282원),내일(일) 새벽도착 보장,8324,282,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2177212093140658-4cfc939a-f42d-431f-971c-bed68a172656.jpg
"그린피아 냉동 다진마늘 (냉동), 270g, 1개",,,4990,(10g당185원),내일(일) 새벽도착 보장,2078,250,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/574834285103754-da4b93e8-c5f6-49cb-9419-7038ba19e74e.jpg
