name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"비비고 왕교자 (냉동), 1.4kg, 1개",17,13980,11500,,오늘(일)도착 보장,134704,575,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/561747534289413-f181cbd4-c668-40e4-9b0f-b85832e0980f.jpg
"해태제과 고향만두 (냉동), 1.8kg, 1개",,,14200,(100g당789원),오늘(일)도착 보장,66188,710,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/910a/f9eebb7257a1446d855119d011c0b0d49a134c5033891744e2c4e283cf8b.jpg
"더미식 육즙고기교자 (냉동), 1050g, 1개",11,13840,12250,"(100g당1,167원)",오늘(일)도착 보장,6412,495,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pqogkfgh/ba7a147a6dcd4629b107d11bcf02ec11.jpg
"풀무원 얇은피 꽉찬속 김치만두 (냉동), 1kg, 1개",15,11850,9970,(100g당997원),오늘(일)도착 보장,58032,499,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6517664829226436-b0c040bb-4dc3-4106-99d7-fb6d787b219b.jpg
"곰곰 얇은피 고기 만두(냉동), 1kg, 1개",,,7850,(100g당785원),오늘(일)도착 보장,32412,393,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5122437749042857-24efdfbb-935e-4740-a7f5-5a8d6d5bdddd.jpg
"풀무원 얇은피 꽉찬속 고기만두 (냉동), 1kg, 1개",15,11850,9970,(100g당997원),오늘(일)도착 보장,71029,499,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7470600545577392-7de38fb8-dbf3-4888-995d-e0ec165da3e5.jpg
"곰곰 얇은피 김치 만두(냉동), 1kg, 1개",,,7850,(100g당785원),오늘(일)도착 보장,12098,393,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/ce11/a55d705d3beade487c2068f86b44f2d836c42675e98f9f2a6a7d53b1cdc8.jpg
"오뚜기 X.O.교자 새우&홍게살 (냉동), 1008g, 1개",11,10480,9310,(100g당924원),오늘(일)도착 보장,13907,465,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/115976031792035-d1ee8fbd-e169-430d-9c9f-8995d0910542.jpg
"비비고 군만두 (냉동), 450g, 2개입",16,9480,7900,(100g당878원),오늘(일)도착 보장,15904,395,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1219338350742579-954d0323-5831-4582-b823-cdbb267e7926.jpg
"곰곰 교자만두 (냉동), 1.35kg, 1개",,,6580,(100g당487원),오늘(일)도착 보장,15713,329,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/bdd7/ccc8da3c98995652497d145f8602dc01702cb5253622b8cb07b659498fd2.jpg
"풀무원 얄피꽉찬 육즙 진한 교자 (냉동), 1320g, 1개",38,15640,9640,(100g당730원),오늘(일)도착 보장,1785,482,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/440479831790492-5747ca10-856a-4265-a702-c42ecc7ed231.jpg
"동원 개성감자만두 (냉동), 1.9kg, 1개",,,13150,(100g당692원),오늘(일)도착 보장,13169,658,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/e313/154897550a56389ab357039df19c02171d66c259847918ec5ad0160b88a6.jpg
"오뚜기 바삭한 잡채군만두 (냉동), 1350g, 1개",10,11800,10520,(100g당779원),오늘(일)도착 보장,8007,526,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1843021382408543-24fc3359-9ff0-416f-afff-2ae052df2473.jpg
"굽네 닭가슴살만두 180g x 3p + 김치만두 180g x 3p 세트 (냉동), 1세트",,,15900,,오늘(일)도착 보장,16261,795,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/384769504911913-7df66302-ef5f-47c2-ac82-ae28d6322a28.jpg
"투명 옹심이 물만두 (냉동), 1000g, 1개",,,9800,(100g당980원),오늘(일)도착 보장,2932,490,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/07/22/18/9/67571212-1f37-4d80-bdf2-38a952204198.jpg
"풀무원 얄피꽉찬 쌀 물만두 (냉동), 1000g, 1개",14,10480,8980,(100g당898원),오늘(일)도착 보장,23097,449,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/878123044725723-83f8b2eb-935b-487d-968a-9d88a9bc51cb.jpg
"동원 딤섬 새우 하가우 (냉동), 300g, 4개",9,16960,15280,"(100g당1,273원)",오늘(일)도착 보장,7379,764,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/26/17/5/7d580c89-223c-4cbe-af9a-aaf706450de5.jpg
"고향만두 300g + 잡채가득 300g 세트 (냉동), 1세트",14,5750,4940,,오늘(일)도착 보장,1425,247,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rqnsbt5s/439731f7819d487bbb9bd4cd500010ff.jpg
"동원 개성 왕만두 (냉동), 2.24kg, 1개",3,18620,17990,(100g당803원),오늘(일)도착 보장,12897,900,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3827497805647705-5c57344c-4de9-4720-81df-bea660e377ca.jpg
"얇피 통통 김치잎새만두 (냉동), 1400g, 1봉",,,8400,(100g당600원),오늘(일)도착 보장,1019,420,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hrimx5pn/a19af3761d884dfcb5007001239446f4.jpg
"오뚜기 진짬뽕만두 (냉동), 396g, 2개",,,9980,"(100g당1,260원)",오늘(일)도착 보장,337,499,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/11/12/4/290e9536-8d50-4ba7-b15d-8d81c5493175.jpg
"비비고 김치왕교자 (냉동), 420g, 2개입",15,9480,8050,(100g당958원),오늘(일)도착 보장,29278,403,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2192540606870725-ca3e9367-c686-48f6-b2f2-88b438396a35.jpg
"풀무원 메밀 지짐만두 (냉동), 400g, 2개",15,9480,7980,(100g당998원),오늘(일)도착 보장,6718,399,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1535498705635082-dfba3152-d610-4d79-a7c4-3297a42b452d.jpg
"곰곰 왕교자 (냉동), 1.4kg, 1개",5,11130,10570,(100g당755원),오늘(일)도착 보장,6947,529,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4762317480806636-c131b8ac-b1fb-4d51-8f6a-576c7a44ea33.jpg
"오뚜기 바삭한 찹쌀군만두 (냉동), 1350g, 1개",21,12700,9920,(100g당735원),오늘(일)도착 보장,11194,496,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3016355212592459-3535a663-8e24-4a7b-9b6d-9a8b64cd0351.jpg
"베트남 밀가루 봇 반바오 BOT BANH BAO 2개, 800g, 1개",,,5250,(100g당656원),모레(화)도착 예정,196,263,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/de8b/4459e9e7e4b9b972f8793c02a870ec6dd02622774285c5652348bd85bf68.jpg
"풀무원 고기지짐 만두 (냉동), 300g, 2개",29,7090,4980,(100g당830원),오늘(일)도착 보장,234,249,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/c39a/fc6bebac599c7a0d75e2476df7e112dae7213aba04189611129f064b5f99.jpg
"곰곰 김치왕만두 (냉동), 1.05kg, 1개",,,7260,(100g당691원),오늘(일)도착 보장,27698,363,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3279266256772994-fe01d8dd-396c-422a-b06d-31c7b883c14d.jpg
"한만두 짬뽕만두 (냉동), 1kg, 1개",1,11500,11300,"(100g당1,130원)",오늘(일)도착 보장,1063,565,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/987184820713700-9740f8d9-c90e-4800-a2a8-586bfb0d92f5.jpg
"더미식 김치교자 (냉동), 1050g, 1개",4,13750,13080,"(100g당1,246원)",오늘(일)도착 보장,2828,654,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0yljqghq/6622cfc21c184f83ab37ddc7ef9186ee.jpg
"비비고 물만두 (냉동), 370g, 2개입",20,9480,7580,"(100g당1,024원)",오늘(일)도착 보장,37084,379,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2367775413028867-6df431c5-116b-47e5-932a-bcf854af9ead.jpg
"곰곰 얇은피 고기 만두 (냉동), 400g, 1개",51,6990,3390,(100g당848원),오늘(일)도착 보장,83,170,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1150165073969232-79047a04-4b4a-4ad9-9ed8-3aab8bdaa8c8.jpg
"얇피 통통 고기잎새만두 (냉동), 1400g, 1봉",,,8400,(100g당600원),오늘(일)도착 보장,436,420,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0mq9e5y0/5922c380e2214f31b3d72e4f93b8df7b.jpg
"곰곰 야끼만두 (냉동), 1.204kg, 1개",2,8070,7880,(100g당654원),오늘(일)도착 보장,124,394,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1051399648080673-4d43fbca-0dc0-4c8b-8828-898e59cd18c9.jpg
"푸르온 신 고추잡채군만두 (냉동), 1000g, 1개",,,6500,(100g당650원),오늘(일)도착 보장,685,325,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1921875837269315-1c0d8d43-33ad-4654-927d-a82586822b35.jpg
"신세계푸드 호텔컬렉션 에센셜 호만두 명란왕교자 (냉동), 1050g, 1개",,,10900,"(100g당1,038원)",오늘(일)도착 보장,1697,545,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/202088817696778-3ef3e9bc-c578-49da-a20c-3d9b3b2a8fa4.jpg
"한품 고기통통만두 (냉동), 180g, 5개",,,12250,"(100g당1,361원)",오늘(일)도착 보장,2718,613,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/01/12/1/9114e087-631b-4294-94fa-175fa72100f9.jpg
"곰곰 갈비만두, 490g, 1팩",,,4410,(100g당900원),오늘(일)도착 보장,4299,220,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2867065853333977-de148c58-41be-459d-8ee1-3e6639f78861.jpg
"비비고 통새우 만두 (냉동), 200g, 1개",24,7980,5990,"(100g당2,995원)",오늘(일)도착 보장,13,300,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fbqwbock/38c0cde7631942239e5e2833284d5690.jpg
