name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"오뚜기 콕콕콕 스파게티, 120g, 12개",,,14160,(100g당983원),내일(월) 새벽도착 보장,304,708,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3229696288394086-e27df527-cff1-459d-8c46-46ab727c0ce3.png
"바릴라 스파게티, 1kg, 3개",,,12100,(100g당403원),오늘(일)도착 보장,37,605,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4872873723690290-a7f071ba-4343-40af-8ecf-19f5faa2d775.jpg
"청정원 멸치 쌀국수, 92g, 6개",2,13000,12740,"(100g당2,308원)",오늘(일)도착 보장,23,637,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1759130094978276-c7d4cf7b-3d41-48f4-8891-beb60bc6cff6.jpg
"미주라 통밀 스파게티, 500g, 2개",12,12500,10880,"(100g당1,088원)",오늘(일)도착 보장,1131,544,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1618330813795571-33a38246-9e41-4d1b-8db2-b7eedd4cffcf.jpg
"오뚜기옛날 자른당면, 1kg, 1개",6,11000,10320,"(100g당1,032원)",오늘(일)도착 보장,29324,516,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/9040/37f3a2bafef003f027fb87479b3816125dc20e09da43e556ff48fb0a93d8.jpg
"고메공방 들기름 막국수, 286g, 1개",27,14400,10500,"(100g당3,671원)",오늘(일)도착 보장,178,525,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/551741570383227-b8e1ff5e-d26c-44f0-a99c-e50e6d5bf32c.jpg
"화미 실속찰당면, 1개, 14kg",3,42400,41030,(100g당293원),오늘(일)도착 보장,5,2051,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/614825887290840-440e0cd6-e68b-4ab9-9584-149a04c77625.jpg
"오뚜기옛날 국수 소면, 10kg, 1개",2,25590,24840,(100g당248원),오늘(일)도착 보장,6,1242,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/eyfwxdgy/f33c7f67b3c24a6d892c55e0d9901aae.jpg
"화미 화미랑면, 1개, 14kg",2,44680,43500,(100g당311원),내일(월) 새벽도착 보장,39,2175,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/615485524952492-d0e7c39f-f9ef-4b63-b934-21d2d75dcd33.jpg
"오뚜기옛날 국수 중면, 3kg, 1개",17,10880,8980,(100g당299원),내일(월) 새벽도착 보장,571,449,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_2_max3k/937b/1c4857d2ab861b51c42a5ee61e3a21068a45f9dbd96eb94fbe3e94a82153.JPG
