name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"조혜정의 멸치연구소 볶음용 멸치 (냉동), 500g, 1개",,,11990,(10g당240원),내일(일) 새벽도착 보장,1162,590,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/875233003753832-d0877343-a1b5-4085-93bd-2b6a586577ae.jpg
"바다원 안심이력제 볶음용 남해안 어린이멸치 (냉동), 150g, 1개",15,7900,6640,(10g당443원),내일(일) 새벽도착 보장,5359,302,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3735106365085255-fdf5bb4d-496d-4442-8a64-871b1abb0ae2.jpg
"이어수산 볶음용 멸치 (냉동), 300g, 1개",10,9990,8940,(10g당298원),내일(일) 새벽도착 보장,19850,447,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5476586375827155-aec3cc61-6977-4f93-809a-fe193933f353.jpg
"이어수산 통영 산지 직거래 국물용 멸치 (냉동), 500g, 1봉",,,9970,(10g당199원),내일(일) 새벽도착 보장,4168,474,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/09/14/7/71789089-962d-4577-b1ee-8a216db2c623.jpg
"해맑은푸드 볶음용 지리멸치 (냉동), 300g, 1개",,,10900,(10g당363원),내일(일) 새벽도착 보장,1234,545,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/29/11/8/cd4851cb-bba1-42b6-bcea-308754c1c600.jpg
"신건호멸치 직접잡은 태안 햇 고바멸치 실속형 안주 조림용 (냉동), 1.5kg, 1개",6,19830,18450,(10g당123원),내일(일) 새벽도착 보장,4149,923,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/25/18/6/4c4b3988-67c2-406a-8811-8ae56c745427.jpg
"신건호멸치 고추장 멸치 조림 안주용 (냉동), 500g, 1개",,,14220,(10g당284원),내일(일) 새벽도착 보장,1840,711,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/01/17/6/ab23316b-d969-4e2c-a256-b65dddb8a2ef.jpg
"바다원 남해안 볶음조림용 멸치 (냉동), 150g, 1개",25,8900,6590,(10g당439원),내일(일) 새벽도착 보장,1252,290,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/18/14/6/a1952837-c6a6-43ae-9efc-155d310c31bd.jpg
"곰곰 국내산 볶음조림용 멸치 (냉동), 200g, 1개",38,9990,6160,(10g당308원),내일(일) 새벽도착 보장,237,308,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3577147873676778-250ba14d-79a0-48ef-9b7b-764f52503917.jpg
"바다원 안심이력제 국물용 멸치 (냉동), 500g, 1개",8,13900,12700,(10g당254원),내일(일) 새벽도착 보장,1827,535,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/12/12/1/9fca15ae-8306-4afe-b4c7-8c2f6cd9987b.jpg
"신건호멸치 다용도 상급 중멸치 조림 육수용 (냉동), 1kg, 1박스",,,18000,(10g당180원),내일(일) 새벽도착 보장,311,900,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/08/16/3/5d3ce636-979e-45f0-9810-1dd0d8fe4518.jpg
"신건호멸치 조림 반찬용 볶음용 멸치 (냉동), 500g, 1팩",,,15980,(10g당320원),내일(일) 새벽도착 보장,906,799,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/08/16/4/322d7fd5-1fd9-4ea2-9bc6-a4a1253cd76f.jpg
"바다원 국내산 안심 이력제 볶음용 멸치 (냉동), 150g, 2개",2,13800,13500,(10g당450원),내일(일) 새벽도착 보장,6324,550,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2441657294768885-1f825b94-d3b5-4b25-b248-2fe0bb6a0498.jpg
"완도소안농협 멸치(세멸), 500g, 1개",,,21900,(10g당438원),내일(일) 새벽도착 보장,4218,1095,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3862854450816862-3b255ac7-a21f-44cf-a251-d29502d769c0.jpg
"신건호멸치 국산 햇 왕다시멸치 상급 국물용 (냉동), 1.5kg, 1박스",,,25640,(10g당171원),내일(일) 새벽도착 보장,3343,1282,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_5_max3k/391a/62aa6dca5a4792d80fec95c5b0d2e432f27f8e6e88dd2b4c1fda43600d7d.jpg
"곰곰 국산 볶음용 멸치 500g, 1개",2,13590,13210,(10g당264원),내일(일) 새벽도착 보장,6835,660,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7125123598329519-b7e00b36-aec5-4654-a2b3-952683800c41.jpg
"조혜정의멸치연구소 실속형 볶음멸치 (냉동), 1.5kg, 1개",,,26900,(10g당179원),내일(일) 새벽도착 보장,,1345,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/08/07/13/2/f14a383a-6cb5-44ad-aa2b-3f5975c704e0.jpg
"완도소안농협 멸치(소멸), 500g, 1박스",,,21490,(10g당430원),내일(일) 새벽도착 보장,490,1075,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3863966390338813-6bf919f5-ff18-47f5-96ee-467c69375c53.jpg
"신건호멸치 국내산 손질 다시멸치 볶음 안주 국물용 (냉동), 300g, 1개",,,13600,(10g당453원),내일(일) 새벽도착 보장,206,680,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/01/17/1/d499ddea-3c93-46dd-b78f-42cff675fd4b.jpg
"완도소안농협 멸치(소멸), 300g, 1개",,,17100,(10g당570원),내일(일) 새벽도착 보장,875,855,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/16/16/8/e9451711-5b7c-414f-9b27-dc14201363d8.jpg
"신건호멸치 직접잡은 실속형 볶음용 햇 지리멸치 (냉동), 1.5kg, 1박스",,,27900,(10g당186원),내일(일) 새벽도착 보장,958,1395,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/25/18/3/ce5609b2-317e-4016-8017-a2ab7eeee4d5.jpg
"조혜정의멸치연구소 실속형 조림 안주 고바멸치 (냉동), 1.5kg, 1개",,,22800,(10g당152원),내일(일) 새벽도착 보장,,1140,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/08/07/13/0/9f94c56f-8a85-44f2-8d90-c137a4f201b7.jpg
"8단계 선별한 어린이 볶음용 멸치 (냉동), 300g, 1개",,,10990,(10g당366원),내일(일) 새벽도착 보장,218,525,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/06/23/11/1/a70e398c-f4ae-4dfc-b942-34dc9a135412.jpg
"이어수산 남해안 조림용 멸치 (냉동), 400g, 1봉",10,11500,10320,(10g당258원),내일(일) 새벽도착 보장,1328,516,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/29/18/0/2f43408f-52f1-4151-8991-03add1e5de6a.jpg
"완도소안농협 멸치(세멸), 300g, 1개",,,15300,(10g당510원),내일(일) 새벽도착 보장,3027,765,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/09/12/5/d755de20-3919-40cb-b426-0007425940ff.jpg
"바다원 실속형 국물용 멸치 상급 (냉동), 300g, 1개",14,6900,5880,(10g당196원),내일(일) 새벽도착 보장,1915,294,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/08/15/7/2d488a10-165c-4fa2-a528-ac17b106ce91.jpg
"청해명가 수산물이력제 통영멸치 볶음용, 200g, 1개",33,13500,8930,(10g당447원),내일(일) 새벽도착 보장,1426,446,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/10/12/9/56fff380-ce2e-4ffd-b87a-0382908c6ddb.jpg
"조혜정의멸치연구소 일품 건어물 국물 멸치 (냉동), 1kg, 1개",,,20350,(10g당204원),내일(일) 새벽도착 보장,683,1018,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/08/23/15/6/0fefd9a2-e9e8-4c64-bc2e-fb55b847f22b.jpg
"짜지않아 건강한 어린이멸치 (냉동), 300g, 1개",16,16820,14100,(10g당470원),내일(일) 새벽도착 보장,6590,705,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/665302454955151-a47820be-fe8f-4aad-9d97-76bbde227410.jpg
"조혜정의멸치연구소 국산 손질 멸치, 150g, 1개",,,9990,(10g당666원),내일(일) 새벽도착 보장,342,500,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/01/17/13/9/a2e85b70-7218-4c65-9cf0-d93166cdaf07.jpg
"신건호멸치 국내산 통영 상품 다시멸치 국물 육수용 (냉동), 500g, 1개",,,10900,(10g당218원),내일(일) 새벽도착 보장,687,545,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/01/17/0/4f144e20-750d-49db-a15a-fb23b0e8c469.jpg
"8단계 선별한 조림용 멸치 (냉동), 300g, 1개",,,8990,(10g당300원),내일(일) 새벽도착 보장,10,450,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/06/23/11/1/a5a8c7c2-1747-421f-9891-86de4374fee3.jpg
"남해안 햇 국물용멸치 주바 (냉동), 1.5kg, 1박스",,,25900,(10g당173원),내일(일) 새벽도착 보장,6300,1270,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/17/10/2/1264e340-3438-49e9-a15b-7602cf16b910.jpg
"청해명가 사랑가득 멸치 볶음용, 150g, 1개",,,6380,(10g당425원),내일(일) 새벽도착 보장,1470,319,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/21/11/2/3d29d11c-ca83-438c-828e-c8fa0f8502d8.jpg
"곰곰 남해안 국물용 멸치, 400g, 1개",,,7070,(10g당177원),내일(일) 새벽도착 보장,683,354,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/68406354683232-f53331f3-8291-4d20-adba-3260133ffe5a.jpg
"청해명가 수산물이력제 통영멸치 국물용, 200g, 1개",61,12600,4800,(10g당240원),내일(일) 새벽도착 보장,1770,240,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/10/12/3/4a819d99-2501-4621-8f8d-cbf2636af0e2.jpg
"주일 40년 외길 중부시장 김종풍 고추장멸치 (냉동), 560g, 1개",,,11500,(10g당198원),내일(일) 새벽도착 보장,762,575,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/12/07/18/1/0d860359-96f5-43b7-8cf0-4e1f1fd5e47c.jpg
"무풍지대 끝맛이 깨끗한 순수멸치 볶음조림용 100g + 담백하고 개운한맛 국물멸치 120g (냉동), 1세트",,,11180,,내일(일) 새벽도착 보장,10,559,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/393093842336149-7ff1e7d4-ff8d-48c4-8a1c-7a8df2d9284f.jpg
조혜정의멸치연구소 국산 손질 멸치 150g 1개,,,20000,"(10g당1,333원)",9/5도착 예정,,1000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7230/4489fe0b02d647d4c01ce2d8bf17f317ff9b60d588d86a90a0d16605c780.jpg
"어식백세 볶음 조림 멸치 (냉동), 100g, 1개",,,3480,(10g당348원),내일(일) 새벽도착 보장,54,174,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/opmcqgjg/6d5288a107804ec0843e43f75af80a67.jpg
"바다원 국내산 안심 이력제 볶음조림용 멸치 (냉동), 150g, 2개",,,12600,(10g당420원),내일(일) 새벽도착 보장,1649,630,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2441597983624253-092e0b26-bec7-4e19-9321-557056e11bb7.jpg
"신건호멸치 어린이 잔멸치 볶음 조림용 (냉동), 1.5kg, 1박스",,,34000,(10g당227원),내일(일) 새벽도착 보장,763,1700,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/08/16/2/7bad704f-8333-4053-8ddd-af90edfbd342.jpg
"이어수산 볶음조림용 멸치 (냉동), 500g, 1봉",17,15980,13230,(10g당265원),내일(일) 새벽도착 보장,855,636,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/10/17/1/a224d0b6-d994-455c-aff7-cd31eead1469.jpg
"바다원 남해안 볶음용 멸치 (냉동), 150g, 1개",29,9900,6990,(10g당466원),내일(일) 새벽도착 보장,546,350,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/18/14/0/df5b7a31-4678-43d8-8626-4356b8c4deeb.jpg
"청해명가 수산물이력제 통영멸치 조림용, 200g, 1개",22,12700,9900,(10g당495원),내일(일) 새벽도착 보장,928,495,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/10/12/6/0f55a6cd-fafd-4e81-a6ff-9f0f22fa067f.jpg
"신건호멸치 직접잡은 상급 볶음용 햇 지리가이리멸치 (냉동), 1.5kg, 1박스",1,30830,30500,(10g당203원),내일(일) 새벽도착 보장,120,1525,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/25/18/9/7cbe7045-4c3b-4809-8c28-666b727d2d8e.jpg
"어식백세 국물멸치 (냉동), 300g, 1개",,,4980,(10g당166원),내일(일) 새벽도착 보장,30,249,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/tnrqzcqv/a2ba35ff3dca4db0a65847afcb2795b6.jpg
"이어수산 한려수어 남해안 볶음용 멸치 지리세멸치 (냉동), 1.5kg, 1개",,,38000,(10g당253원),내일(일) 새벽도착 보장,162,1900,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/06/16/8/c72be18d-2f02-43c7-aa38-af6783cb8709.jpg
"바다원 안심이력제 국물용 멸치 (냉동), 150g, 2개",,,7500,(10g당250원),내일(일) 새벽도착 보장,8,375,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/27/17/5/faf3de75-d2fb-411a-a51a-a41eafd7530b.jpg
"우리아이튼튼 밥멸치 (냉동), 100g, 1개",2,4400,4300,(10g당430원),내일(일) 새벽도착 보장,43,215,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/sp67ynzt/8d03afeed0594c94b6a9e4a837a82644.jpg
"조혜정의멸치연구소 고추장에 찍어먹는 햇 삼천포멸치 (냉동), 200g, 1개",,,9980,(10g당499원),내일(일) 새벽도착 보장,13,499,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jirmnjuk/1f254ab185144bcab5f5dddf26eafd9a.jpg
"무풍지대 염도 0.3% 깨끗하고 짜지않은 저염멸치 볶음용 150g + 볶음조림용 150g (냉동), 1세트",,,22400,,내일(일) 새벽도착 보장,12,1120,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/473672251229461-a225c5dd-ce2d-4a91-b145-f41c8403118b.jpg
"8단계 선별한 국물용 멸치 (냉동), 300g, 1개",,,7290,(10g당243원),내일(일) 새벽도착 보장,8,365,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/06/23/11/9/ae022a45-6cfd-4bd3-9ba8-41886592b217.jpg
"이어수산 정치망 볶음조림용 멸치 (냉동), 250g, 1팩",,,14500,(10g당580원),내일(일) 새벽도착 보장,1198,725,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/22/11/8/2dc415a8-b140-4300-a361-ad2eef37f1ed.jpg
"청해명가 시그니쳐 통영여수 명산지멸치 (냉동), 150g, 2개",,,12800,(10g당427원),내일(일) 새벽도착 보장,173,640,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/08/27/11/2/0b995d28-56b2-44df-af9d-78d0b8944c69.jpg
"무풍지대 끝맛이 깨끗한 순수 멸치 볶음조림용 (냉동), 100g, 1개",,,5590,(10g당559원),내일(일) 새벽도착 보장,3,280,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/10/15/7/58468434-a25e-4974-bec8-5b0e3c589f57.jpg
"청해명가 사랑가득멸치 국물용, 150g, 1개",,,3500,(10g당233원),내일(일) 새벽도착 보장,149,175,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/21/11/5/5ca571e9-1e90-4b4a-9f96-f3f2632a63ed.jpg
"조혜정의멸치연구소 볶음조림용 멸치 (냉동), 300g, 1개",3,14200,13740,(10g당458원),내일(일) 새벽도착 보장,434,687,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/08/4294879802/b49c7a8d-9aa6-4f92-bfda-b7d2bd447ee1.jpg
"청해명가 수산물이력제 통영멸치 볶음조림용, 200g, 1개",,,10100,(10g당505원),내일(일) 새벽도착 보장,360,505,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/10/12/5/88bba5a5-db0b-43c4-b5fb-79695dc79283.jpg
"신건호멸치 통영 햇 다시멸치 국물/육수용 (냉동), 1.5kg, 1박스",,,19900,(10g당133원),내일(일) 새벽도착 보장,6031,995,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/25/18/0/063efabb-2425-4691-98cf-5c5670617061.jpg
