name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"엠수산 the 푸짐한 손질 동태 (냉동), 1.3kg, 1개",14,9980,8490,(100g당653원),내일(일) 새벽도착 보장,3052,425,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/ee45/4606f3cdc86a3a78da32c9113c79a9549a6f00c334df919c94d524042ccd.jpg
"The푸짐한 프리미엄 가시제거 동태살 전감 (냉동), 454g, 1팩",,,10900,"(100g당2,401원)",내일(일) 새벽도착 보장,36,495,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/vfyz2k3r/51e69d58765d460f988249948d9e3f8e.jpg
"풀스쿡 네모동태살 동태전용 약 50개입 (냉동), 1kg, 1개",,,25900,"(100g당2,590원)",내일(일) 새벽도착 보장,4,1295,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/06/18/0/7055adf9-ae13-41db-b02e-6dd35505c038.jpg
"사랑해어 가시제거 어린이 순살 명태 (냉동), 450g, 1개",,,10420,"(100g당2,316원)",내일(일) 새벽도착 보장,237,521,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/20/16/8/3adf143b-8387-4896-8cb8-c8f319c0dfb3.jpg
"풀스키친 네모동태살 생선까스용 약 25개입 (냉동), 1kg, 1개",,,25900,"(100g당2,590원)",내일(일) 새벽도착 보장,4,1295,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/06/18/8/0f514761-8021-47a6-95b3-6c08b1cf285e.jpg
"신선해어 코다리 소 (냉동), 2kg(소), 1개",,,22900,"(100g당1,145원)",내일(일) 새벽도착 보장,400,1145,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/18/15/9/55e72df2-f152-4f2b-a5e9-e149214a20a6.jpg
"서풍 동태전 (냉동), 400g, 1개",,,7950,"(100g당1,988원)",내일(일) 새벽도착 보장,5231,398,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/08/4301363220/86c678df-98ca-465f-bd5c-e07bb919292d.jpg
"풀스키친 라임담은 동태 토막 탕용 (냉동), 1kg(40g 토막), 1개",,,10900,"(100g당1,090원)",내일(일) 새벽도착 보장,10,545,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/935232560655808-a0c2e907-b46c-449e-b90c-7e3a16cdd15f.jpg
"사랑해어 먹기편한 네모동태살 (냉동), 1kg, 1개",,,13900,"(100g당1,390원)",내일(일) 새벽도착 보장,92,695,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/616235347500587-c452e34f-56af-4294-b377-cff4b7ae1a31.jpg
"풀스키친 라임담은 동태살 탕용 (냉동), 1kg(14토막), 1개",,,17900,"(100g당1,790원)",내일(일) 새벽도착 보장,7,895,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/d24ojdcf/315705b3677b409aaebee4d06ad6c35b.jpg
