name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"한돈 목심 구이용 (냉장), 1kg, 1개",30,34110,23600,"(100g당2,360원)",오늘(일)도착 보장,6118,1180,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3474279832466736-bd2bda58-3104-4bc1-a5f9-fc118684c654.jpg
"도드람 한돈 1등급 목심 구이용 (냉장), 1kg, 1개",14,33500,28490,"(100g당2,849원)",오늘(일)도착 보장,33625,1400,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/31521118488460-2614e788-0fb0-4fbc-b803-14a727225600.jpg
"선진포크 한돈 1등급이상 목심 구이용 (냉장), 1kg, 1팩",7,27900,25900,"(100g당2,590원)",오늘(일)도착 보장,2859,1245,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1679861798410597-a19f488e-c420-4cee-8a7b-2c197a8e9d6a.jpg
"곰곰 한돈 목심 보쌈용, 500g, 1개",37,22990,14480,"(100g당2,896원)",오늘(일)도착 보장,1569,724,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_0_max3k/b410/c4411ca47a7fa521f401683634cfb72d493c234e76d9b7a59d50f43a7a99.jpg
"곰곰 한돈 목심 구이용 (냉장), 500g(냉장), 1개",50,22990,11440,"(100g당2,288원)",오늘(일)도착 보장,6187,572,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3390215068411370-a0577f03-377a-43e8-81e3-667cf8168a9c.jpg
"포크밸리 한돈 1등급이상 목심 구이용 (냉장), 1kg, 1팩",15,31900,26800,"(100g당2,680원)",오늘(일)도착 보장,13584,1340,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4957777053524508-43635497-1657-40a2-9440-9df4698b94e9.jpg
"설성목장 한돈 무항생제 목심 구이용 (냉장), 400g, 1개",28,16800,12020,"(100g당3,005원)",오늘(일)도착 보장,3176,601,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/31939210964894-fbc84183-2847-4657-aa37-1d7deb28564c.jpg
"곰곰 한돈 1등급 목살 (냉장), 1kg, 1개",8,25920,23710,"(100g당2,371원)",오늘(일)도착 보장,4952,1185,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1549021848715347-0a055403-f157-4e98-916a-e88ebeb2af06.jpg
"도드람 한돈 1등급 목심 보쌈용 (냉장), 1kg, 1팩",8,32220,29480,"(100g당2,948원)",오늘(일)도착 보장,237,1474,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/33575019199714-8311cc71-2312-4d8d-8271-09e507b91a0e.jpg
"돈마루 한돈 목심 구이용 (냉장), 500g, 1개",23,18900,14460,"(100g당2,892원)",오늘(일)도착 보장,9243,699,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1742096392947316-53263527-6d9f-4cfc-9fd2-58b6b4aa82ab.jpg
"하이포크 한돈 목심 구이용 (냉장), 500g, 1개",11,16110,14240,"(100g당2,848원)",오늘(일)도착 보장,5801,707,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1105086692119062-5a1ab4f6-7b07-4965-9dbc-6778b0bab5be.jpg
"설성목장 한돈 무항생제 대패 목심 구이용(냉동), 500g, 1개",,,13410,"(100g당2,682원)",오늘(일)도착 보장,1628,670,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3716015408604302-622d9afb-d39f-40e9-af61-10dab87603f7.jpg
"포크빌 한돈 목심 구이용 (냉장), 1kg, 1개",10,27900,25000,"(100g당2,500원)",오늘(일)도착 보장,2222,1225,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3887088662923355-13a07b04-25d9-4cad-9bcd-d9583d66ee33.jpg
"도드람 한돈 1등급 목심 스테이크용 (냉장), 1kg, 1개",8,33980,31080,"(100g당3,108원)",오늘(일)도착 보장,283,1554,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/110205564527248-627eff6e-e179-4be1-a98e-d9121768a486.jpg
"도드람 한돈 1등급 목심 보쌈용 (냉장), 500g, 1개",8,17720,16210,"(100g당3,242원)",오늘(일)도착 보장,591,810,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/140521782539825-63c33262-b062-4815-ba21-134d6b94aa9d.jpg
"돈마루 한돈 목심 보쌈용 (냉장), 500g, 1개",8,16110,14740,"(100g당2,948원)",오늘(일)도착 보장,1850,737,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3050354731202387-6ac55b04-f800-4f08-af52-724bfdb7c1e1.jpg
"목우촌 한돈 대패 목심 구이용 (냉동), 800g, 1개",2,19290,18900,"(100g당2,363원)",오늘(일)도착 보장,873,945,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3746827394141697-8d99a09e-e2fc-4bbd-a907-091218251513.jpg
"빌라스포크 한돈 무항생제 얇은 목심 구이용 (냉장), 500g, 1개",18,19110,15570,"(100g당3,114원)",오늘(일)도착 보장,312,779,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/113785398196705-b6108091-0e59-4b61-8701-114f75440687.jpg
"돈마루 한돈 두꺼운 목심 구이용 (냉장), 1kg, 1개",8,29290,26800,"(100g당2,680원)",오늘(일)도착 보장,337,1340,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3616608716300408-5681b928-502b-462f-a48f-2b2d5041be32.jpg
"생생포크 한돈 무항생제 목심 구이용 (냉장), 500g, 1팩",31,22790,15570,"(100g당3,114원)",오늘(일)도착 보장,463,779,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3783912025938685-00216aa1-8c14-4dea-8174-4ce8bfe31046.jpg
"포크밸리 한돈 대패 목심 구이용 (냉동), 500g, 1팩",10,15900,14300,"(100g당2,860원)",오늘(일)도착 보장,8121,575,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/334024632104993-ee156d9a-b1fd-477c-8843-9ea9503af613.jpg
"포크빌 한돈 목심 수육용 (냉장), 1kg, 1개",8,29290,26800,"(100g당2,680원)",오늘(일)도착 보장,828,1340,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/72431231144356-64fffdff-f905-484e-bbca-50ecaf318084.jpg
"생생포크 한돈 목심 구이용(냉장), 1kg, 1팩",22,34560,26800,"(100g당2,680원)",오늘(일)도착 보장,4365,1340,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1653954442833116-2f43251e-308e-48b6-b733-38cb4466a2e0.jpg
"저온숙성 한돈 목심 구이용 (냉장), 400g, 1개",,,10900,"(100g당2,725원)",내일(월) 새벽도착 보장,1,545,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0kj9hhil/154939322e63475baffe292bbb1e4a55.jpg
"빌라스포크 한돈 무항생제 목심 구이용 (냉장), 500g, 1개",17,23000,18900,"(100g당3,780원)",오늘(일)도착 보장,139,945,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/551909068106614-a19f64ca-4f89-482c-b1c1-687da776e900.jpg
"생생포크 한돈 무항생제 1등급 목심 찌개용 (냉장), 500g, 1개",17,21590,17710,"(100g당3,542원)",오늘(일)도착 보장,332,885,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1920073945991260-4386126d-4c59-499d-84fa-01f64ce05fb3.jpg
"선진포크 한돈 대패 목심 (냉동), 1kg, 1개",,,22000,"(100g당2,200원)",오늘(일)도착 보장,350,1100,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/08/15/0/dcb7b237-6246-4677-8e70-4cf456b17706.jpg
