name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"바다림 서해안 산지직송 생물 갯벌 참바지락 (냉장), 1kg, 1개",,,8900,(100g당890원),모레(월) 새벽도착 보장,3930,445,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/03/11/6/25f06cd2-3ad8-4f86-b6bb-7da884e6347b.jpg
"바지락살 (냉장), 200g, 1팩",7,11900,11060,"(100g당5,530원)",내일(일) 새벽도착 보장,14459,553,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/32596309852638-a7f23e80-f8ae-4fca-85a0-89f9fa69471b.jpg
"비비수산 자숙 바지락살 (냉동), 400g, 1개",,,6660,"(100g당1,665원)",내일(일) 새벽도착 보장,2043,283,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/25/14/0/6886ce69-c424-4988-92f3-f936f20b617a.jpg
"어부가보낸선물 알알이 왕바지락살 (냉동), 250g, 1개",,,12500,"(100g당5,000원)",내일(일) 새벽도착 보장,8,625,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jsd49jms/21f30ad9d65f4c73b3d049cf757d740d.jpg
"신선작 자숙 바지락살 (냉동), 500g, 1개",,,5600,"(100g당1,120원)",내일(일) 새벽도착 보장,1733,250,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1770577608627109-2ff5cef3-1014-4d5b-b322-a35c7a3a24cd.jpg
"올망 바지락살 (냉장), 1개, 300g",,,18160,"(100g당6,053원)",내일(일) 새벽도착 보장,1,883,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/8bcwqnsv/7380596ef1c44176ad248389bf8214f0.jpg
"알찬해 자숙 바지락살 (냉동), 240g, 1개",,,7150,(10g당298원),내일(일) 새벽도착 보장,3687,358,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4448826059043576-4efa418b-13d8-49a5-a938-a2f03f1a046a.jpg
"사랑해어 국산 바지락살 (냉동), 100g, 5개",,,26300,"(100g당5,260원)",내일(일) 새벽도착 보장,1053,1315,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/703543291124204-5bf91c09-f97d-4529-aee3-ef4737d714cc.jpg
"더더착한 자숙 바지락살 (냉동), 500g, 1개",,,5900,"(100g당1,180원)",내일(일) 새벽도착 보장,1196,295,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/28/12/9/dbd5969c-2872-4764-a55c-8f830df0115c.jpg
"단디프레시 안면도 단지 참바지락, 1kg, 1개",19,13980,11260,"(100g당1,126원)",내일(일) 새벽도착 보장,4579,563,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/583364508779432-ddece94e-c1e4-4eae-a4ea-6b4e14f547e6.jpg
"바다자리 국산 급랭 물바지락 (냉동), 1개, 400g",,,5500,"(100g당1,375원)",내일(일) 새벽도착 보장,129,275,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/27/10/6/e9318651-f77a-4aa5-b9b6-899bc15b1ff4.jpg
"피바지락 (냉동), 1개, 200g",,,1990,(100g당995원),내일(일) 새벽도착 보장,,100,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ve6wsvrm/0dc877fb563b4b518741c833e73ef16e.jpg
"바다자리 국산 해감한 급랭 물바지락 (냉동), 1kg, 1팩",,,10400,"(100g당1,040원)",내일(일) 새벽도착 보장,888,520,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1860705728243310-07c8f916-8b9c-43ba-9652-8d50e934f125.jpg
"씨픽 충분히 해감한 피바지락 (냉동), 500g(60마리 내외), 2팩",,,8300,(100g당830원),내일(일) 새벽도착 보장,15,415,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qlrqznht/1e5efdc9a0ff4ac0bfe8ba2d110dcd8f.jpg
