name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 부추, 1박스, 4kg",,,23500,(100g당588원),내일(일) 새벽도착 보장,12,1175,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/367799301227204-0a44fdef-a295-4a07-946f-ee7533baccac.jpg
"영양부추, 200g, 1개",,,5960,"(100g당2,980원)",내일(일) 새벽도착 보장,5696,298,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6332557314078805-6eabcb77-af8e-4e33-bd39-c6a5e1f20a3a.jpg
"김해 대동 부추, 300g, 1개",,,3780,"(100g당1,260원)",내일(일) 새벽도착 보장,35837,189,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276058616402327-3b5d9f2e-9f6b-458e-a2b3-8f006ba82761.jpg
"국내산 부추, 600g, 1봉",,,5700,(100g당950원),내일(일) 새벽도착 보장,94481,285,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7117806661614523-8a499d7d-dc9f-49ec-9bee-991a8294bf5f.jpg
"국내산 유기농 부추, 200g, 1개",19,3760,3040,"(100g당1,520원)",내일(일) 새벽도착 보장,5537,152,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/71356719524018-f2fc5714-1389-4180-9354-487676447ef1.jpg
"국내산 GAP 부추, 250g, 1개",,,3720,"(100g당1,488원)",내일(일) 새벽도착 보장,31915,186,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276396372727115-0e1cef3f-aa88-40a1-827e-efdbded5f8bc.jpg
"국내산 무농약 부추, 300g, 1개",23,3720,2850,(100g당950원),내일(일) 새벽도착 보장,3585,143,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8316830723620907-2ecf6392-d8e4-41d0-9eee-6c5bc187cb42.jpg
"국내산 부추, 150g, 1봉",2,1990,1950,"(100g당1,300원)",내일(일) 새벽도착 보장,7299,98,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1496637333384451-cab98571-2ca6-4d50-8b3f-c643ce269f73.jpg
"국내산 손질 부추, 100g, 1개",,,1990,"(100g당1,990원)",내일(일) 새벽도착 보장,52080,100,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/161007727245743-78fe549a-6708-4cc6-b8e6-2d6155ba1f5c.jpg
"국내산 부추, 1kg, 1개",4,9900,9500,(100g당950원),,250,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/736310319333702-973f985d-19b9-4f91-8982-b59a28493128.jpg
"국내산 양평 부추, 1개, 300g",,,3880,"(100g당1,293원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/367741090109953-e40fbb10-ca3f-405f-839c-67c9f1c57d07.jpg
"친환경 영양부추, 100g, 1개",5,5290,4990,"(100g당4,990원)",,8,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1681191069458828-3fc5dcd4-08e8-4d62-a5b0-ab8506d082db.jpg
"곰곰 부추, 1개, 300g",28,2740,1950,(100g당650원),,18,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7771660565902-822e1fa7-50ed-450a-9990-f0eaeba53128.jpg
"영양부추, 100g, 1개",,,2980,"(100g당2,980원)",,98,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/75193701233156-02a5017d-b543-4d11-9086-469b13c619c9.jpg
"곰곰 국내산 손질부추, 100g, 1개",,,1280,"(100g당1,280원)",,66,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1794672252782217-2b9c32db-fce4-46e0-97ae-a90073cf014c.jpg
"국내산 부추, 600g, 1봉",,,5700,(100g당950원),,22,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7117806661614523-8a499d7d-dc9f-49ec-9bee-991a8294bf5f.jpg
"곰곰 국내산 영양부추, 100g, 1개",61,5990,2290,"(100g당2,290원)",,151,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6118155231274223-a000ad8b-4b0b-4250-9208-653556beda0f.jpg
"국내산 유기농 부추, 200g, 1개",19,3760,3040,"(100g당1,520원)",,108,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/71356719524018-f2fc5714-1389-4180-9354-487676447ef1.jpg
"국내산 무농약 부추, 300g, 1개",23,3720,2850,(100g당950원),,121,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8316830723620907-2ecf6392-d8e4-41d0-9eee-6c5bc187cb42.jpg
"곰곰 국내산 영양부추, 200g, 1개",58,11990,5000,"(100g당2,500원)",,95,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3929799321122924-793f7221-29b1-4604-b379-e28b12c7fbd7.jpg
"국내산 부추, 1박스, 4kg",,,23500,(100g당588원),,2,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/367799301227204-0a44fdef-a295-4a07-946f-ee7533baccac.jpg
"영양부추, 200g, 1개",,,5960,"(100g당2,980원)",,182,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6332557314078805-6eabcb77-af8e-4e33-bd39-c6a5e1f20a3a.jpg
"국내산 친환경 부추, 200g, 1개",28,2640,1900,(100g당950원),,170,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3654396611311268-57ef8745-360b-4192-afa3-46a2709a4a55.jpg
"국내산 손질 부추, 100g, 1개",,,1990,"(100g당1,990원)",,335,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/161007727245743-78fe549a-6708-4cc6-b8e6-2d6155ba1f5c.jpg
"국내산 부추, 1봉, 150g",2,1990,1950,"(100g당1,300원)",,124,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1496637333384451-cab98571-2ca6-4d50-8b3f-c643ce269f73.jpg
"곰곰 부추, 1개, 300g",28,2740,1950,(100g당650원),,391,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/12651297855432975-8b3c9763-ba70-4401-a903-28a98867cc26.jpg
"국내산 GAP 부추, 250g, 1개",,,3720,"(100g당1,488원)",,475,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/276396372727115-0e1cef3f-aa88-40a1-827e-efdbded5f8bc.jpg
"국내산 부추, 500g, 1개",4,4950,4750,(100g당950원),,509,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6074362902118239-a2aa9f3a-d288-41df-816e-86cdb1f99108.jpg
"국내산 부추, 300g, 1개",4,2970,2850,(100g당950원),,796,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/87258259065903-4c0cd329-795d-471f-b3ba-4c669a79da6e.jpg
