name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"우리땅 유기농 인증 간편 브로콜리 (냉동), 100g, 1통",,,3500,"(1개당3,500원)",내일(일) 새벽도착 보장,178,175,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/14/5/c672296c-240a-49dc-bec2-47982f8e226b.jpg
"국내산 친환경 브로콜리, 2개입, 1개",,,9250,"(1개당4,625원)",내일(일) 새벽도착 보장,9465,463,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1367623943679714-e873b09e-cdc8-48b3-b3cd-066333a94e93.jpg
"식재료마당발 중국산 브로컬리 (냉동), 1kg, 1개",,,5790,"(1개당5,790원)",내일(일) 새벽도착 보장,55,290,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/r5mydubf/ff36dff93dd84660a892cd35a4773d21.jpg
"세미원 브로콜리 (냉동), 1kg, 2팩",11,10570,9330,"(1개당4,665원)",내일(일) 새벽도착 보장,3702,466,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1363166108620648-25e5ac5e-f266-4364-b488-92a37f5ea1a2.jpg
"더맛있는 브로콜리 (냉동), 1kg, 1개입, 1개",,,6490,"(1개당6,490원)",내일(일) 새벽도착 보장,300,325,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ysjctpw1/93bf53a861374bb3ae364d733b996b43.jpg
"중국산 브로콜리 (냉동), 1kg, 1개",,,4900,"(1개당4,900원)",내일(일) 새벽도착 보장,603,245,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/05/15/4/d08c40b8-165e-478c-ab0d-f0745ef89683.jpg
"국내산 유기농 브로콜리, 1개입, 1개",,,5300,"(1개당5,300원)",내일(일) 새벽도착 보장,2632,265,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/945704128941835-ef682a81-0769-4ce4-a730-3bd1f0aed0d4.jpg
"국내산 손질브로콜리, 300g, 1개",,,4330,"(100g당1,443원)",내일(일) 새벽도착 보장,22588,216,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/694042376483248-2ffab0c8-e030-42c6-b927-dcbc98f42b04.jpg
"국내산 손질 브로콜리, 150g, 1개",,,2590,"(100g당1,727원)",내일(일) 새벽도착 보장,7184,130,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7642241443241807-c5c1864e-b0c7-493e-8d35-d63d2061ccc7.jpg
"국내산 브로콜리, 2개입, 1개",,,5790,"(1개당2,895원)",내일(일) 새벽도착 보장,128540,290,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6539184090367957-5d4b8623-bd82-495f-84c7-141be0c6a73b.jpg
"친환경 국내산 손질 브로콜리, 150g, 1개",13,4290,3690,"(100g당2,460원)",,2888,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/100890686856538-158878fd-d622-4978-b572-b4351f7c283b.jpg
"중국산 브로콜리, 190g, 1입",15,2590,2190,"(1개당2,190원)",,132,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7046619030628778-4686e3c9-2852-4336-bd98-e78308c7b10b.jpg
"더맛있는 브로콜리 (냉동), 1kg, 1개입, 1개",,,6490,"(1개당6,490원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ysjctpw1/93bf53a861374bb3ae364d733b996b43.jpg
"식재료마당발 중국산 브로컬리 (냉동), 1kg, 5개",,,21300,"(1개당4,260원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ne6os09h/fe72d5f767d8477abadf1e20a99f0184.jpg
"식재료마당발 중국산 브로컬리 (냉동), 1kg, 1개",,,5790,"(1개당5,790원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/r5mydubf/ff36dff93dd84660a892cd35a4773d21.jpg
"식재료마당발 중국산 브로컬리 (냉동), 1kg, 2개",,,9580,"(1개당4,790원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/4llotkcf/679e539c240140458bcf9a3875fd6434.jpg
"브로콜리 (냉동), 1kg, 2개",,,10630,"(1개당5,315원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/28/15/2/78a9cad0-f46e-41b0-9807-8879a23efccd.jpg
"중국산 브로콜리 (냉동), 1kg, 1개",,,4900,"(1개당4,900원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/05/15/4/d08c40b8-165e-478c-ab0d-f0745ef89683.jpg
"세미원 브로콜리 (냉동), 1kg, 2팩",11,10570,9330,"(1개당4,665원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1363166108620648-25e5ac5e-f266-4364-b488-92a37f5ea1a2.jpg
"우리땅 유기농 인증 간편 브로콜리 (냉동), 100g, 1통",,,3500,"(1개당3,500원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/14/5/c672296c-240a-49dc-bec2-47982f8e226b.jpg
"ardo 유기가공식품인증 브로콜리 (냉동), 600g, 1개",,,6990,"(1개당6,990원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/06/16/9/5b3fe89a-a0af-4e6b-bec9-8ddc7603c93e.jpg
"곰곰 친환경 브로컬리, 1입",,,4000,"(1개당4,000원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/85758201262437-ab63a043-9105-4923-97e0-b01cfa4e2363.jpg
"ardo 유기가공식품 인증 브로콜리 (냉동), 2.5kg, 1개",,,23390,"(1개당23,390원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/31/17/4/2ef22251-af7f-4ebb-b0e6-effd80257a8f.jpg
"중국산 브로콜리, 4입",,,7190,"(1개당1,798원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/102972184739381-d18975c7-8a7f-43f1-b31b-68fe278db5a7.jpg
"우리땅 유기농 인증 간편 브로콜리 (냉동), 100g, 3개",,,9460,"(100g당3,153원)",,13,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/12/15/8/420efcde-73d4-4b1d-abb9-9c8d8aaccf26.jpg
