name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 비트, 2kg, 1개",,,7980,(100g당399원),내일(일) 새벽도착 보장,6391,399,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3464658409702799-5ca22fe6-9bae-4048-9467-3b036e5f563c.jpg
"곰곰 국내산 레드비트, 3kg, 1개",2,8700,8490,(100g당283원),내일(일) 새벽도착 보장,488,425,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/986771665452215-39d296c2-b94e-4754-a912-9d83a76451bb.jpg
"국내산 유기농 비트, 1.5kg, 1개",,,8410,(100g당561원),내일(일) 새벽도착 보장,4146,420,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/85030389115161-de481c2b-d2bd-4e0c-8ac9-f39d9b701cb3.jpg
"제주도 친환경 비트, 1kg, 1개",12,6410,5610,(100g당561원),내일(일) 새벽도착 보장,4457,280,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1303672318470278-1b41d39d-e589-4228-ba68-afc7ebdf8590.jpg
"국내산 비트(대), 500g, 1개입, 1개",35,4000,2580,"(1개당2,580원)",내일(일) 새벽도착 보장,7,129,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2095439850668452-438ad5b2-9c6f-4a08-b4a8-7ee72d31a978.jpg
"곰곰 주스용 비트, 1kg, 1개",,,3990,(100g당399원),내일(일) 새벽도착 보장,14484,200,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/150357597978360-6e768111-14eb-4364-adca-49c1fc46049f.jpg
"국내산 비트, 1입, 1개",,,1990,"(1개당1,990원)",내일(일) 새벽도착 보장,2032,100,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9777098283384488-2ec21c01-2805-4327-9171-4ec4dd86c075.jpg
"국내산 비트, 3kg, 1개",,,8970,"(1개당8,970원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/efolddvx/2f4ad376af6f4e4cbe52531b0bec8d19.png
"국내산 비트, 3kg, 1개",,,8970,"(1개당8,970원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/efolddvx/2f4ad376af6f4e4cbe52531b0bec8d19.png
"국내산 레드비트, 1.2kg, 1봉",,,3970,(100g당331원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/20806414246969-5b605272-df2b-4240-9be8-f57f84147a7c.jpg
"유기농 제주 비트, 1kg, 1개",,,5990,"(1개당5,990원)",,16,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/680159004597722-1a034296-6a97-42f5-abbc-47ae632600e0.jpg
"제주도 친환경 비트, 1kg, 1개",12,6410,5610,(100g당561원),,89,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1303672318470278-1b41d39d-e589-4228-ba68-afc7ebdf8590.jpg
"곰곰 친환경 비트, 1.2kg, 1개",,,6730,(100g당561원),,94,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3041455307889573-eaee34c0-bdbc-4215-bd72-e9f7c23fa4d8.jpg
"친환경 비트, 1.2kg, 1개",,,5400,"(1개당5,400원)",,33,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3913935801427332-a35e6ece-d559-4742-8c0b-9e1d71f6af4d.jpg
"국내산 유기농 비트, 1.5kg, 1개",,,8410,(100g당561원),,84,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/85030389115161-de481c2b-d2bd-4e0c-8ac9-f39d9b701cb3.jpg
"국내산 비트(대), 500g, 1개입, 1개",35,4000,2580,"(1개당2,580원)",,4,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2095439850668452-438ad5b2-9c6f-4a08-b4a8-7ee72d31a978.jpg
"주스용 세척비트, 1kg, 1개",14,3490,3000,"(1개당3,000원)",,123,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/558186388461295-216e7da9-d023-4a12-9616-adb3c96463ed.jpg
"국내산 비트, 1개",,,1990,"(1개당1,990원)",,104,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9777098283384488-2ec21c01-2805-4327-9171-4ec4dd86c075.jpg
"곰곰 국내산 레드비트, 3kg, 1개",2,8700,8490,,,55,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/986771665452215-39d296c2-b94e-4754-a912-9d83a76451bb.jpg
"국내산 비트, 1kg, 1개",5,3690,3490,"(1개당3,490원)",,159,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/629773789821877-84cae6fa-162d-4a51-9eae-21cabf328ae6.jpg
"곰곰 주스용 비트, 1kg, 1개",,,3990,(100g당399원),,218,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/150357597978360-6e768111-14eb-4364-adca-49c1fc46049f.jpg
