name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"도드람 한돈 1등급 삼겹살 구이용 (냉장), 1kg, 1개",25,38000,28490,"(100g당2,849원)",오늘(일)도착 보장,77486,1400,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/379878154366950-db62165d-8c9d-4e7c-b9ea-a3c33b62d77a.jpg
"한돈 삼겹살 구이용 (냉장), 1kg, 1개",37,37530,23300,"(100g당2,330원)",오늘(일)도착 보장,10088,1165,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1320601085767831-d9cb2b2b-4db2-4316-b34c-0981ec57b130.jpg
"선진포크 한돈 1등급이상 삼겹살 구이용 (냉장), 1kg, 1팩",28,36000,25900,"(100g당2,590원)",오늘(일)도착 보장,9297,1245,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/92244718409244-cf14c977-2a91-4ac7-a8a9-0acacca018ef.jpg
"생생포크 한돈 무항생제 1등급 칼집 삼겹살 구이용 (냉장), 500g, 1개",42,24600,14170,"(100g당2,834원)",오늘(일)도착 보장,2628,709,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1919458194467693-fd42304c-adbe-408b-8bde-ddc08f653bb4.jpg
"곰곰 한돈 1등급 삼겹살 구이용 (냉장), 1kg, 1개",8,27820,25460,"(100g당2,546원)",오늘(일)도착 보장,17243,1273,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/c266/172c8db8dd7b9cdac504f5f810351eed2ff8afc3a51e9e715c685856d9a1.jpg
"곰곰 한돈 삼겹살 수육용 (냉장), 1000g, 1개",11,28520,25290,"(100g당2,529원)",오늘(일)도착 보장,16269,1265,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/95e7/61661b6a4b29ca7548029e00a9aa0f8f516cc52f08a151129380c2eb75b3.jpg
"생생포크 한돈 삼겹살 수육용 (냉장), 1kg, 1팩",23,34560,26300,"(100g당2,630원)",오늘(일)도착 보장,11445,1265,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3215086342864274-91e32d38-8f4c-4222-befc-1c9df646fffb.jpg
"곰곰 한돈 삼겹살 구이용 (냉장), 600g, 1개",23,20900,15910,"(100g당2,652원)",오늘(일)도착 보장,20587,795,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1149619104908448-9ee1ecdd-7f3f-4029-be28-96bdefb752a3.jpg
"포크밸리 한돈 1등급이상 삼겹살 구이용 (냉장), 1kg, 1팩",29,38000,26800,"(100g당2,680원)",오늘(일)도착 보장,12879,1340,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8831294030578089-1afb68e0-d94d-41c9-9a35-b7fecc255dd2.jpg
"생생포크 한돈 1등급 삼겹살 구이용(냉장), 1kg, 1개",28,37410,26800,"(100g당2,680원)",오늘(일)도착 보장,25005,1335,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2610097328558122-12bdbaea-6c07-42cf-adc6-ec317769af8d.jpg
"포크빌 한돈 삼겹살 구이용 (냉장), 1kg, 1개",26,33900,25000,"(100g당2,500원)",오늘(일)도착 보장,3502,1225,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/111504247173940-69aaa3f6-8f7f-4bf7-bb06-d7f463d3bc78.jpg
"선진포크 한돈 오겹살 수육용 (냉장), 1kg, 1개",11,29290,25900,"(100g당2,590원)",오늘(일)도착 보장,1892,1245,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1354733685618025-9f6f3075-2575-4d76-ac0f-d3e0dc2a9688.jpg
"도드람한돈 복고삼겹살 구이용 (냉동), 600g, 1팩",26,19900,14640,"(100g당2,440원)",오늘(일)도착 보장,8968,732,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3107691804270973-a9f5eb51-be0a-46ba-9e7c-eb4da4a1fa41.jpg
"포크밸리 한돈 대패 삼겹살 구이용 (냉동), 500g, 1팩",24,15900,11990,"(100g당2,398원)",오늘(일)도착 보장,3287,600,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10830145645091487-376a72e1-5a6d-47ec-97b9-6589587ad20c.jpg
"선진포크 한돈 생대패 삼겹살 구이용 (냉장), 400g, 1개",8,13590,12430,"(100g당3,108원)",오늘(일)도착 보장,1611,596,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/04/14/8/f6edb643-28b1-448e-9cc5-31c38c38ae22.jpg
"파머스팩 한돈 뼈없는 얇은삼겹살 구이용 무연골 (냉장), 600g, 1개",44,31650,17680,"(100g당2,947원)",오늘(일)도착 보장,6997,884,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/681704876955194-d4610f6f-760c-418b-b513-24866a0550f2.jpg
"돈마루 한돈 삼겹살 구이용 (냉장), 500g, 1개",25,19900,14740,"(100g당2,948원)",오늘(일)도착 보장,20791,737,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8505586986468569-90fc2e2a-2c16-4d53-b540-6252a33c5759.jpg
"포크빌 한돈 얇은 삼겹살 구이용 (냉장), 1kg, 1개",20,33900,26800,"(100g당2,680원)",오늘(일)도착 보장,850,1340,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/70413562036889-da139a1c-983e-48e5-aff8-904bffe8db72.jpg
"도드람한돈 1등급 칼집 삼겹살 구이용 (냉장), 1kg, 1개",2,31900,31080,"(100g당3,108원)",오늘(일)도착 보장,7458,1554,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1381385634603980-66321cf7-07d0-4083-a25e-6dc3329b7bee.jpg
"선진포크 한돈 오겹살 구이용 (냉장), 1kg, 1개",6,27700,25900,"(100g당2,590원)",오늘(일)도착 보장,2097,1245,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1241738944055151-f0183f25-1ef8-4c95-ac11-584cf65e1108.jpg
"돈마루 한돈 삼겹살 보쌈용 (냉장), 500g, 1개",36,23300,14740,"(100g당2,948원)",오늘(일)도착 보장,6689,737,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8505394978784515-4eae3fa2-1152-4410-94ac-6bd0eb45f7cb.jpg
"한돈 삼겹살 수육용 (냉장), 600g, 1개",8,18360,16790,"(100g당2,798원)",오늘(일)도착 보장,1435,840,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/2a3e/3ce3f2597174715ab7d0650084ca97990fe51b0a5473460c73de34c673b6.jpg
"선진포크한돈 시그니처 삼겹살 (냉장), 500g, 1개",8,18600,17010,"(100g당3,402원)",오늘(일)도착 보장,407,800,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1082026729621789-059f7c5e-f0db-452d-a69e-76528d67c0e6.jpg
"하이포크 삼겹살 구이용 (냉장), 500g, 1팩",11,16110,14240,"(100g당2,848원)",오늘(일)도착 보장,9741,707,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1591831106521649-e9e2cbed-74ff-47fc-9a8a-9210604095ee.jpg
"도드람한돈 꽃삼겹살 구이용 (냉동), 1kg, 1개",,,27430,"(100g당2,743원)",오늘(일)도착 보장,802,1371,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1120304026675614-c4404941-4ec8-4864-807f-3ae87c0d9e61.jpg
"도드람 한돈 삼겹살 500g 목심 500g 반반팩 구이용 (냉장), 1kg, 1팩",10,32900,29480,"(100g당2,948원)",오늘(일)도착 보장,5379,1474,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/522073817844-3eed2794-377a-4540-80b6-de28ce819719.jpg
"목우촌 프로포크 한돈팩 삼겹살 보쌈/수육용 (냉장), 1kg, 1팩",20,33900,26800,"(100g당2,680원)",오늘(일)도착 보장,1843,1340,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1789540906402843-3f518eb6-19c0-4e0b-9646-f882563e027f.jpg
"도드람한돈 캔돈 삼겹살 (냉장), 300g, 1개",,,11900,"(100g당3,967원)",오늘(일)도착 보장,33,595,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/e5ad/ef3120435fb3044d00888c99e1753d269e5993470c0330e09f26143b60ab.jpg
"목우촌 프로포크 한돈팩 삼겹살 구이용 (냉장), 1kg, 1팩",15,31900,26800,"(100g당2,680원)",오늘(일)도착 보장,2480,1340,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/265903452457768-f619cc40-f222-4c34-ba5f-0004614d6de0.jpg
"파머스팩 한돈 삼겹살 수육용 (냉장), 600g, 1개",8,18450,16880,"(100g당2,813원)",오늘(일)도착 보장,323,844,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/10/10/0/bade157c-60ab-48ec-abfa-f0d04e2f5281.jpg
"곰곰 1등급 두꺼운 삼겹살 구이용 (냉장), 1kg, 1개",8,31380,28710,"(100g당2,871원)",오늘(일)도착 보장,3083,1435,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/585658356686915-b3c46ff3-85cd-4ef6-9083-5f784851fda0.jpg
"목우촌 한돈 옛날 삼겹살 구이용 (냉동), 800g, 1개",,,20700,"(100g당2,588원)",오늘(일)도착 보장,350,1035,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1090366731172835-864be463-cec3-457e-b0e2-f78cca53c8ae.jpg
