name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"어부심 산지직송 산채로 포장한 신안군수 품질보증 생물새우, 1kg(30~40미), 1개",40,39900,23900,"(100g당2,390원)",모레(월) 새벽도착 보장,2826,995,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/577698607710702-6c89dbc5-c5e3-4950-92fa-decd2b016682.jpg
"곰곰 냉동 흰다리 새우살, 300g(24~33미), 1개",36,10900,6890,"(100g당2,297원)",내일(일) 새벽도착 보장,84367,345,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/7c48/c979e53c84a9dc9727481e7b11084715d4cedafbdab85f99f7e86139bfd9.jpg
"피시원 산지직송 갓 잡은 제철 생물새우, 1박스, 750g(30~38미)",20,27500,22000,"(100g당2,933원)",모레(월) 새벽도착 보장,12,930,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fi4cxvjy/4970e17bee1b4265a06a7de053d0affd.jpg
"프라이드 흰다리 새우살 (냉동), 900g, 1개",18,24400,19900,"(100g당2,211원)",내일(일) 새벽도착 보장,34357,990,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/32401523907208-fb6320ba-84e4-4aef-b2d9-534266d3e1b3.jpg
"곰곰 흰다리 새우, 1000g, 1개",20,21900,17510,"(100g당1,751원)",내일(일) 새벽도착 보장,896,875,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/163941948939686-dfe2d35f-19bf-48c8-88f6-d2b463025891.jpg
"바다몰 자연산 아르헨티나 붉은새우 이지필 (냉동), 600g(특대), 1봉",,,25650,"(100g당4,275원)",내일(일) 새벽도착 보장,1875,1200,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/8a78/9b683fcc68ad9a7414359dc8c08422484967ca42a6294ad98575bc076577.jpg
"FIVESTAR 말레이시아산 블랙타이거 얼룩 새우 (냉동), 500g(20미), 1개",,,12550,"(100g당2,510원)",내일(일) 새벽도착 보장,445,628,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/87e3/07816d74315580849418bb28f689f1fbd3db36bf4a8c558c0bd1a2f89fc3.jpg
"오프라이스 생새우살 51~70미 (냉동), 510g(중), 1팩",23,13900,10590,"(100g당2,076원)",내일(일) 새벽도착 보장,9163,530,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1105084747423674-e5b75902-cfc4-4ae1-b44c-ecbc9b2ae168.jpg
"곰곰 흰다리 새우, 200g(특대), 1개",29,7900,5590,"(100g당2,795원)",내일(일) 새벽도착 보장,685,280,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/9935/32f7c0a847af79d1bb0dc7c5c1d85c6672a4e45512d2736248c67eb62818.jpg
"비비수산 킹타이거새우 (냉동), 310g(1미), 1개",,,33900,"(100g당10,935원)",내일(일) 새벽도착 보장,800,1695,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1337344216655499-87a54951-e43a-4229-946e-88218939291a.jpg
