name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"셰프의장 최인선 셰프의 양념 순살꽃게장 (냉동), 350g, 1통",24,25000,19000,"(100g당5,429원)",내일(일) 새벽도착 보장,8904,900,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/105811220648093-83560f60-f36d-4498-bcda-100423208993.jpg
"국내산 암꽃게로 갓 담근 간장게장, 1개, 1.8kg",22,47380,36900,"(100g당2,050원)",모레(월) 새벽도착 보장,2682,1845,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/22/15/1/ecdd97b9-45c9-4c9a-8f82-6a209a410a5b.jpg
"바담바담 순살 양념게장 (냉동), 1개, 200g",8,11860,10900,"(100g당5,450원)",내일(일) 새벽도착 보장,3317,486,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/883032833814463-a01d658a-c064-45c4-a016-ddfcaf664f24.jpg
"초록햇살 간장 깐 새우장 (냉동), 1kg, 1개",,,21900,"(100g당2,190원)",내일(일) 새벽도착 보장,7584,985,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5289260493063486-b6870f4f-aae6-46bd-9363-dc42eeb1ddae.jpg
"믿음게장 간장깐새우장 (냉동), 500g, 1개",,,13600,"(100g당2,720원)",내일(일) 새벽도착 보장,1229,680,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/519345441572677-c91646f7-cb80-422f-9d89-a276507a4671.jpg
"초록햇살 국내산 간장게장, 1.2kg, 1통",,,28320,"(100g당2,360원)",내일(일) 새벽도착 보장,3540,1416,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2288162396088441-45d62b07-39f5-4530-a926-b08f7779f3d5.jpg
"셰프의장 최인선 셰프의 간장 순살꽃게장 (냉동), 250g, 1통",28,18830,13500,"(100g당5,400원)",내일(일) 새벽도착 보장,3304,625,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/105958205004542-0adbd67d-af66-4746-9f30-0b70eb5ac220.jpg
"최인선 셰프의 함초품은 군산 꽃게살 양념게장 (냉동), 120g, 1통",,,13640,"(100g당11,367원)",내일(일) 새벽도착 보장,379,682,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9268442149671973-34ac0464-2614-4e30-9a97-66b2ef22ad7b.jpg
"국내산 햇꽃게로 갓 담근 양념게장, 1kg, 1개",20,38630,30900,"(100g당3,090원)",모레(월) 새벽도착 보장,777,1495,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/22/15/9/35278fee-2919-4f69-bb0b-2bdc444e96d9.jpg
"이금선명인 순살 간장 꽃게장 (냉동), 250g, 1개",15,15900,13500,"(100g당5,400원)",내일(일) 새벽도착 보장,170,675,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/14/16/8/dfbce7c8-a4e0-4f80-a625-76914ad6e432.jpg
"초록햇살 양념게장 (냉동), 1kg, 1개",5,32600,30900,"(100g당3,090원)",내일(일) 새벽도착 보장,986,1545,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4860690055080851-5fac6d0f-3320-4601-89d7-c5fc28df1b2b.jpg
"바담바담 순살 간장게장 (냉동), 1개, 200g",6,11700,10910,"(100g당5,455원)",내일(일) 새벽도착 보장,2192,491,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/14/16/7/7ccc4360-fb29-4d1a-b07a-a7744a590a44.jpg
"은하수산 양념 꽃게장, 1kg, 1개",,,28900,"(100g당2,890원)",내일(일) 새벽도착 보장,500,1445,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9182391178530137-34efce1b-e61c-4dd3-9073-ca31a5f6f037.jpg
