name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"맑은물에 아삭통통 숙주나물, 1박스, 2kg",,,5900,(100g당295원),오늘(일)도착 보장,4515,295,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/02/11/1/36b44d9b-5b8a-4a31-b755-1ebf5069f862.jpg
"곰곰 대용량 숙주나물, 2kg, 1박스",,,5590,(100g당280원),오늘(일)도착 보장,795,280,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2454690454818986-b5a9ccc2-c8c0-4569-abf3-2fed1c337967.jpg
"나무새 고사리, 500g, 1개",,,18000,"(100g당3,600원)",오늘(일)도착 보장,3,900,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/y6bhqg2x/19cd71879d2d4b378e312b45cf71d461.jpg
"맑은물에 통통한 숙주나물, 3.5kg, 1박스",,,7500,(100g당214원),오늘(일)도착 보장,3667,338,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/21/17/9/ed8c7b67-d795-4ec5-ac58-c7a4d6f7a000.jpg
"곰곰 숙주나물, 3.5kg, 1박스",,,7270,(100g당208원),오늘(일)도착 보장,32,364,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3480083746058800-ab9c32ad-d959-4a29-baf3-ad1d5493a32f.jpg
"나무새 토란줄기, 500g, 1개",,,9700,"(100g당1,940원)",오늘(일)도착 보장,2,485,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ijnoxhso/071a3cba7cec4b74a0f3e352be1f0036.jpg
"맑은물에 참좋은 국산 숙주나물, 500g, 1개",,,4480,(100g당896원),오늘(일)도착 보장,18960,224,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6851806585165016-0500aeb1-3b4f-475e-9226-0ede170b6b9a.jpg
"청정원 요리용 숙주나물, 350g, 1개",15,2910,2450,(100g당700원),오늘(일)도착 보장,157,123,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/kzzlmqxr/6ac79b7275d447c2bd5fdc3bcb328ede.jpg
"곰곰 무농약 인증 국산콩 어린이 콩나물, 200g, 1개",,,1640,(100g당820원),오늘(일)도착 보장,104,82,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1257196655201263-b1883ea6-2b48-4224-bc4f-7c8ff78d4bcc.jpg
"곰곰 특등급 국산콩 무농약 콩나물, 340g, 1개",,,2030,(100g당597원),오늘(일)도착 보장,116,101,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1251964912399004-c9412b89-b701-421c-a8e4-8e241f7f98ff.jpg
