name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 시금치, 400g, 1개",,,15360,"(100g당3,840원)",내일(일) 새벽도착 보장,93507,768,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1050186143648076-e938f043-d871-4feb-a1e1-4836e7514e44.jpg
"곰곰 국내산 GAP 시금치, 220g, 1개",,,7750,"(100g당3,523원)",내일(일) 새벽도착 보장,18647,388,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3625556102222710-8cc1eaf5-f076-44f9-8c1b-a36df3af7a03.jpg
"시금치 (냉동), 1kg, 2개",,,8400,(100g당420원),내일(일) 새벽도착 보장,69,420,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/28/15/7/816b17cb-f345-4d63-9248-d02010212306.jpg
"중국산 시금치 (냉동), 1kg, 1개",,,4790,(100g당479원),내일(일) 새벽도착 보장,241,240,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/05/15/7/515bb49f-3288-438c-b51d-bd5ef8482263.jpg
"곰곰 시금치, 300g, 1개",,,11520,"(100g당3,840원)",내일(일) 새벽도착 보장,39629,576,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/29400661142120-ead107fa-4ecf-49de-8351-dce264a21edb.jpg
"국내산 친환경 시금치, 200g, 1개",,,9990,,내일(일) 새벽도착 보장,2386,500,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1757299184072287-4ae0191f-df1f-4477-9560-a6ed5145a31b.jpg
"우리땅 유기가공식품 인증 데친 시금치 (냉동), 250g, 1팩",,,4400,"(100g당1,760원)",,187,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/4wkoxrly/7a4ca0b7288748b491c3ab2dd013dcb8.jpg
"친환경 인증 베이비 시금치, 100g, 1개",9,3990,3600,"(100g당3,600원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1752919220427210-d0698eb4-24ac-4ed1-b0ee-ad067bc10543.jpg
"우리땅 유기가공식품 인증 데친 시금치 (냉동), 250g, 1팩",,,4400,"(100g당1,760원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/4wkoxrly/7a4ca0b7288748b491c3ab2dd013dcb8.jpg
"우리땅 유기가공식품 인증 데친 시금치 (냉동), 250g, 2팩",,,8400,"(100g당1,680원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/yy9xdh4k/7c1b16a2f02f4153a6979d91c8c19a6f.jpg
"시금치 (냉동), 1kg, 2개",,,8400,(100g당420원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/28/15/7/816b17cb-f345-4d63-9248-d02010212306.jpg
"곰곰 신안 비금도 시금치, 200g, 1봉",36,3980,2510,,,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6143103809484841-53e63eca-a9de-4e54-bbe0-14363b8ff131.jpg
"중국산 시금치 (냉동), 1kg, 1개",,,4790,(100g당479원),,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/05/15/7/515bb49f-3288-438c-b51d-bd5ef8482263.jpg
