name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"피양파 국내산(소), 3kg, 1개",25,8890,6650,(100g당222원),내일(일) 새벽도착 보장,9747,333,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/632906786441277-576f468e-cbcc-4074-ab11-8ee4e2826442.jpg
"유기농 양파 (햇), 3kg, 1개",,,12490,(100g당416원),내일(일) 새벽도착 보장,5420,625,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/985357743666481-654e0d7e-f0a2-4ea1-911d-dd972a6e82a8.jpg
"국내산 깐 양파, 1kg, 1개",,,7980,(100g당798원),내일(일) 새벽도착 보장,11546,399,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1366888984429741-d5886073-8888-4732-baba-7f71bcfe928b.jpg
"곰곰 국내산 깐양파, 1kg, 1개",29,7980,5600,(100g당560원),내일(일) 새벽도착 보장,21234,280,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/18175292341173-f1ff94fd-f990-4f4c-96c0-39c29e6d08e0.jpg
"국내산 양파(짱아찌용), 3kg, 1개",,,7990,(100g당266원),내일(일) 새벽도착 보장,8431,400,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6429480906656776-89fe56a9-41a7-46ff-acd8-324b3a1da62a.jpg
"곰곰 국내산 왕양파, 3kg, 1개",18,9800,7990,(100g당266원),내일(일) 새벽도착 보장,5636,400,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2255463948754998-cb5322f4-447b-4fa4-aac4-9e998a84934c.jpg
"국내산 자색 양파, 1.5kg, 1개",,,5970,(100g당398원),내일(일) 새벽도착 보장,6258,299,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/983784156107167-826e1a3d-0e11-4364-bc39-b3677ee4da77.jpg
"무안 깐양파, 1kg, 1개",27,8290,5990,(100g당599원),내일(일) 새벽도착 보장,3721,300,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/83244687792764-7fd5de15-e551-4aa0-b7c0-782abfa216b6.jpg
"창녕 깐양파, 500g, 1개",,,4490,(100g당898원),내일(일) 새벽도착 보장,18479,225,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/188846492340870-1f216b7d-ffc9-4117-b41c-3e8f7c9ad155.jpg
"국내산 친환경 깐양파, 300g, 1개",,,4630,"(100g당1,543원)",내일(일) 새벽도착 보장,6139,231,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/63fe/bac9e16f4d3d6c00e6cae6248de7f2348d37f7a828e7e115f7bd1427c493.jpg
"국내산 양파(소), 1.5kg, 1개",25,3990,2990,(100g당199원),내일(일) 새벽도착 보장,75428,150,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5991591014437176-d97da5cf-f4fa-41a2-b396-967341a68c62.jpg
"곰곰 친환경 양파, 1.5kg, 1개",22,5400,4180,(100g당279원),내일(일) 새벽도착 보장,18863,209,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/19985968486798-1f49e416-bf4d-4c18-99ab-be7f74c37578.jpg
"국내산 친환경 양파 (햇), 1.5kg, 1개",8,5400,4960,(100g당331원),내일(일) 새벽도착 보장,2684,248,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2982530837731452-c8298537-9018-4c94-8028-e68f246ab9b8.jpg
"곰곰 양파 깍둑썰기, 300g, 1개",3,2490,2400,(100g당800원),내일(일) 새벽도착 보장,1461,120,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/125644598653925-f269be4b-b0e8-4a65-bb08-e0c445b97cd9.jpg
"합천 깐 양파, 1kg, 1개",46,7980,4280,(100g당428원),내일(일) 새벽도착 보장,6718,214,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/576a/690848575accdc4abda925dea489675aae5ffadb6f8ba0b0954d70846185.jpg
"친환경 한끼 양파, 400g, 1개",28,2750,1980,(100g당495원),내일(일) 새벽도착 보장,40,99,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1039819340559677-90859ca0-1b15-4792-9cfa-7101c91c3b6e.jpg
"한끼 양파, 300g, 1개",28,2080,1490,(100g당497원),내일(일) 새벽도착 보장,20919,75,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2954582077796858-e8924151-0c04-4d13-9c6c-f478da6b80dc.jpg
"국내산 친환경 양파 (햇), 800g, 1개",7,2850,2650,(100g당331원),내일(일) 새벽도착 보장,7071,133,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2851113866613696-5e8c70e6-8e94-46de-815c-e58e2239d8c6.jpg
