name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"밀양 연근, 500g, 1개",,,8690,"(100g당1,738원)",내일(일) 새벽도착 보장,4293,435,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5976355285973097-c7b370eb-b787-4ee4-8096-b9c853da1205.jpg
"국내산 연근, 1kg, 1개",12,13310,11630,"(100g당1,163원)",내일(일) 새벽도착 보장,6485,581,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4594070362867723-ce67017a-8ec4-4733-9af5-e94a9743501b.jpg
"무농약 인증 웰팜넷 데친 연근채 (냉동), 300g, 1개",,,7900,"(100g당2,633원)",내일(일) 새벽도착 보장,6,395,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rgjixfbu/db1ae0dd5a664ec49f24f18c91e12393.jpg
"자숙연근, 500g, 1봉",,,15310,"(100g당3,062원)",내일(일) 새벽도착 보장,649,765,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1643459152669275-b698fcda-ab33-471b-a8b8-850ac5c65f05.jpg
"무농약 인증 웰팜넷 데친 연근채 (냉동), 300g, 1개",,,7900,"(100g당2,633원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rgjixfbu/db1ae0dd5a664ec49f24f18c91e12393.jpg
"자숙연근, 500g, 1봉",,,15310,"(100g당3,062원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1643459152669275-b698fcda-ab33-471b-a8b8-850ac5c65f05.jpg
"밀양 햇연근, 1kg, 1개",,,11190,"(100g당1,119원)",,7,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/15/8/ed5648db-fe7b-44cf-b2cc-0e82356eed78.jpg
"밀양 햇 연근, 1kg, 1개",,,14990,"(100g당1,499원)",,126,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/20884317479829-769db80f-106f-495e-8d60-0fea07324af3.jpg
"친환경 세척 연근, 500g, 1개",37,6690,4200,,,84,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/136067370441558-b2af1d07-a5e7-4ab3-be55-588ffa57b8e5.jpg
"나무새 연근채, 1kg, 1개",,,19900,"(100g당1,990원)",,25,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/12/18/9/45f5b1e2-d9fc-4f72-8d50-6f47c792d6dd.jpg
"밀양 연근, 500g, 1개",,,4890,(100g당978원),,57,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5976355285973097-c7b370eb-b787-4ee4-8096-b9c853da1205.jpg
"국내산 연근채, 1kg, 1봉",,,18290,"(100g당1,829원)",,87,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2717458556595447-aa7cbba5-fc21-4e73-bc14-a4fd3f4f64c1.jpg
"국내산 연근채, 500g, 1봉",,,9830,"(100g당1,966원)",,151,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/82529290196865-322db494-96fc-4fd9-8205-4ea24b3f7fb4.jpg
"국내산 연근, 1kg, 1개",12,13310,11630,"(100g당1,163원)",,182,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4594070362867723-ce67017a-8ec4-4733-9af5-e94a9743501b.jpg
"나무새 연근채, 1kg, 1개",,,19900,"(100g당1,990원)",,146,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/12/18/9/45f5b1e2-d9fc-4f72-8d50-6f47c792d6dd.jpg
"밀양 햇연근, 1kg, 1개",,,11190,"(100g당1,119원)",,4690,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/15/8/ed5648db-fe7b-44cf-b2cc-0e82356eed78.jpg
