name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"바이킹마켓 갓 손질한 노르웨이산 생연어 필렛 (냉장), 1kg, 1개",29,56820,39990,"(100g당3,999원)",모레(월) 새벽도착 보장,4590,1975,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/07/17/2/16cc5bbd-9f88-4738-b0fb-4b9c0ef7a9f5.jpg
"동원 노르웨이 생연어, 500g, 1개",20,34900,27800,"(100g당5,560원)",내일(일) 새벽도착 보장,20061,1390,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8404232268283431-e74f58d2-fb61-422a-9f1d-428920a36cbe.jpg
"동원 항공직송 노르웨이 생연어 (냉장), 1kg, 1개",29,56820,39990,"(100g당3,999원)",내일(일) 새벽도착 보장,2759,1995,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1744240651265564-ab5c6b56-2be6-4685-a6a7-8d3b246d3b71.jpg
"한번도 얼리지 않은 항공직송 노르웨이 생 연어, 600g, 1개",15,36790,30990,"(100g당5,165원)",8/31(토)새벽 도착 보장,12698,1550,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1225938211332170-65fff15a-0ad3-4a8e-a25b-6a660766b824.jpg
"은하수산 노르웨이 연어 가마 구이 머릿살, 700g, 1팩",,,7900,"(100g당1,129원)",내일(일) 새벽도착 보장,1192,395,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/12/02/13/2/ffc11031-4ef2-430c-a9d9-5803cf019404.jpg
"동원 노르웨이 두툼한 생연어회, 200g, 1개",5,17900,16900,"(100g당8,450원)",내일(일) 새벽도착 보장,6860,795,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1594354173313669-1b0ded27-337c-4cde-8a9b-fbe30935d997.jpg
"곰곰 훈제 연어 슬라이스 (냉동), 500g, 1개",12,17300,15110,"(100g당3,022원)",내일(일) 새벽도착 보장,1105,755,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/469554850497633-5955827f-d367-4cbb-81f4-da2f287f6f75.jpg
"곰곰 순살 연어 (냉동), 300g, 1개",2,12980,12640,"(100g당4,213원)",내일(일) 새벽도착 보장,5472,632,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1204789953307288-65f15f3b-bb80-433a-9dc0-13e2666e1356.jpg
"동원 연어훈제 슬라이스 (냉동), 700g, 1팩",7,25900,23920,"(100g당3,417원)",내일(일) 새벽도착 보장,18155,1196,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749356323205584-492090c3-edb2-4331-a1ae-37e773e2c3b7.jpg
"쌜모네키친 노르웨이산 오로라 생연어 횟감 (냉장), 300g, 1개",,,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,34,950,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xf4d670u/378045c18a3e48af98145c8af0410ec1.jpg
"은하수산 노르웨이 숙성한 연어회, 200g, 1개",,,19690,"(100g당9,845원)",내일(일) 새벽도착 보장,29037,900,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4159015680148833-f71c5b21-55a4-4c3c-99b9-c8b465e2bc77.jpg
"노르웨이산 엠앤엠씨 생연어 필렛 (냉장), 300g, 1개",26,21900,15990,"(100g당5,330원)",내일(일) 새벽도착 보장,201,775,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cxiz95w8/b8ad97fb92844b8fab9eb860934da8ac.jpg
"올바른 수산 냉동 연어 스테이크 (냉동), 350g, 1팩",,,9980,"(100g당2,851원)",내일(일) 새벽도착 보장,1098,424,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1148783924411443-cb68fb8c-8227-43dc-89c8-d03c5e6af876.jpg
"곰곰 생연어 (냉장), 300g, 1팩",32,26690,17990,"(100g당5,997원)",내일(일) 새벽도착 보장,1147,900,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3145701712910020-7db0914b-ecc5-45f7-adad-b3a9ea78cd0b.jpg
"블루 노르웨이 생연어, 400g, 1개",7,27900,25900,"(100g당6,475원)",내일(일) 새벽도착 보장,3760,1295,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/01/17/8/b5535ca8-dd59-4c5d-bc91-f5b8f0e81711.jpg
"훈제연어 슬라이스 (냉동), 500g, 1개",12,18550,16200,"(100g당3,240원)",내일(일) 새벽도착 보장,14061,760,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2261758543960577-9e1c7aac-09b7-4fbb-91b2-efac02b3cb4a.jpg
"오젠 노르웨이 훈제 연어 슬라이스 (냉동), 1kg, 1개",26,47800,34900,"(100g당3,490원)",내일(일) 새벽도착 보장,8809,1745,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/08/4096129526/4afbedef-3fc3-4c40-89b8-9987c8057531.jpg
