name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"올리타리아 엑스트라버진 올리브유 오일, 1L, 1개",29,48900,34310,"(100ml당3,431원)",내일(일) 새벽도착 보장,13364,1715,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/36054649261063-ac290e3e-862c-47e2-bb29-911df30dc6aa.jpg
"아몰리바 포마스 올리브오일, 1L, 1개",35,23000,14900,"(100ml당1,490원)",내일(일) 새벽도착 보장,4837,745,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2194208297139401-f4e95122-d5ec-4b49-9382-09da3c595d3a.png
"해표 식용유, 500ml, 1개",3,3240,3130,(100ml당626원),내일(일) 새벽도착 보장,16709,156,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/521151641444939-3425dad3-4f8a-4fac-9338-b304f7063fee.jpg
"폰타나 엑스트라 버진 올리브유 마라스카, 500ml, 1개",,,17900,"(100ml당3,580원)",내일(일) 새벽도착 보장,5876,895,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7887488461446675-ee599bbd-26ab-4878-8054-6732f8b2dfcf.jpg
"폰타나 엑스트라 버진 올리브유 도리카, 500ml, 1개",27,24340,17700,"(100ml당3,540원)",내일(일) 새벽도착 보장,922,885,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7277058355369358-6d28745a-3c68-4589-a0a6-4b5ae2ccb227.jpg
"시에라데유티엘 엑스트라버진 올리브오일, 1L, 1개",30,37000,25900,"(100ml당2,590원)",내일(일) 새벽도착 보장,10150,1295,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/452227997894460-391450e5-b913-477e-9dd7-585093c62a1e.jpg
"곰곰 바쏘 엑스트라버진 올리브오일, 1L, 1개",,,27490,"(100ml당2,749원)",내일(일) 새벽도착 보장,4823,1375,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/156533657457294-d4688a50-779f-4253-b37e-75ef141f3155.jpg
"엘레네가도 유기농 엑스트라버진 냉압착 올리브오일, 500ml, 1개",25,35000,26180,"(100ml당5,236원)",내일(일) 새벽도착 보장,507,1309,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1643801463813642-4d7ffee2-1165-43ba-b73e-8e849edde04d.jpg
"해표 카놀라유, 900ml, 1개",2,4750,4610,(100ml당512원),내일(일) 새벽도착 보장,4104,230,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/456737099784497-b97d3491-46d3-4246-ac2c-af74fba50913.jpg
"청정원 포도씨유, 900ml, 1개",53,20640,9500,"(100ml당1,056원)",내일(일) 새벽도착 보장,2550,475,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9613307295057813-c611ab22-6730-4290-b2b7-0bc8089f6ed0.jpg
"오뚜기 옛날 참기름, 450ml, 1개",6,6980,6540,(10ml당145원),내일(일) 새벽도착 보장,8638,327,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/639566258658461-2ba703d9-9542-4193-81b6-9cd727ec1b99.jpg
"페페브루노 아보카도 오일, 1개, 1L",2,20900,20400,"(100ml당2,040원)",내일(일) 새벽도착 보장,127,1020,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/eclq8zko/aacd39383cb6488fb5783f509dde59ff.jpg
"오뚜기 옛날 참기름, 500ml, 1개",2,7280,7100,(10ml당142원),내일(일) 새벽도착 보장,848,355,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/39825140779715-16434178-58b4-4f09-b09f-7a9c0d421bcd.jpg
"청정원 카놀라유, 500ml, 1개",36,5140,3240,(100ml당648원),내일(일) 새벽도착 보장,110,162,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3237229844840208-488b1b05-e2d5-4173-ac7f-307c5c137a27.jpg
"이리아다 칼라마타 엑스트라버진 실버틴 올리브오일, 500ml, 1개",17,26320,21600,"(100ml당4,320원)",내일(일) 새벽도착 보장,18,1080,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/15/23/8/ab878d25-6727-470a-9bd1-99f888670593.jpg
"리지 100% PURE 현미유, 1개, 500ml",,,6680,"(100ml당1,336원)",내일(일) 새벽도착 보장,493,334,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/39904716541092-243fb0a1-a34c-4ffe-828a-85694b235791.jpg
"네츄라바이오푸즈 엑스트라버진 아보카도 오일, 1L, 1개",,,27500,"(100ml당2,750원)",내일(일) 새벽도착 보장,600,1375,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/106245490365051-f599f983-6bb2-46bc-8603-5b95609a315d.jpg
"오뚜기 고소한 참기름 병, 320ml, 1개",20,9380,7450,(10ml당233원),내일(일) 새벽도착 보장,2121,373,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1673117901373851-11e9747b-a169-455d-8e65-7bc8c1470268.png
"데체코 플루타토 엑스트라 버진 올리브오일, 750ml, 1개",2,30000,29150,"(100ml당3,887원)",내일(일) 새벽도착 보장,4,1458,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/535161317533339-4b32cc5a-b2a3-4681-b79d-b200fc4a679b.jpg
"해표 포도씨유, 900ml, 1개",1,7700,7600,(100ml당844원),내일(일) 새벽도착 보장,681,380,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8411370832945295-f4cad018-1082-421b-9e09-5e4e35306d2b.jpg
"만토바 아보카도 오일 스프레이, 200ml, 1개",16,19150,15980,"(100ml당7,990원)",내일(일) 새벽도착 보장,68,799,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/70977281752009-e0199157-c076-48ed-b558-395ce27f54c3.jpg
"파르키오니 엑스트라 버진 올리브 오일, 1L, 1개",40,54000,31990,"(100ml당3,199원)",내일(일) 새벽도착 보장,1100,1600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4339583597700978-316aedf4-961b-416a-9c68-328cd1bfc7d2.jpg
"향유상회 진한 참바른 저온압착 참기름, 350ml, 1개",31,19690,13530,(10ml당387원),내일(일) 새벽도착 보장,1426,676,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4074910900684242-3ed02292-e05b-47e9-bb5e-0243355d2bf8.jpg
"아우아카틀 엑스트라버진 아보카도오일, 250ml, 1개",6,10500,9790,"(100ml당3,916원)",내일(일) 새벽도착 보장,9,490,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2445167874495064-3f2f0862-d2d1-4cc1-8b8f-63165987dcb9.jpg
"사조해표 옥수수유, 1.8L, 1개",5,7800,7400,(100ml당411원),내일(일) 새벽도착 보장,101,370,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/28/3000080436/06cdab2e-1299-442a-8ac5-5f5715544df2.jpg
"해표 고소한 참기름, 1개, 55ml",,,2090,(10ml당380원),내일(일) 새벽도착 보장,242,105,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/474897735824634-d4958936-ddfd-44d5-93b8-5938ac185df1.jpg
"청정원 카놀라유, 900ml, 1개",33,8100,5370,(100ml당597원),내일(일) 새벽도착 보장,2392,269,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8398283247422338-1eaddb9f-1050-498b-b20e-028b7a06fda6.png
"티케이 현미영양가득 현미유, 500ml, 1개",,,6830,"(100ml당1,366원)",내일(일) 새벽도착 보장,161,341,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/107053801839841-ec0604e8-b1fc-435c-b670-7dffac675caa.jpg
"오뚜기 고소한 참기름 캔, 500ml, 1개",23,13980,10690,"(100ml당2,138원)",내일(일) 새벽도착 보장,2092,535,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2976145705103958-dea81571-9ce9-48a0-9175-f0d1e72600fc.jpg
"청정원 고소한 건강생각 참기름, 1개, 160ml",17,5920,4900,(10ml당306원),내일(일) 새벽도착 보장,126,245,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3811706942917689-8a2c635a-0ebd-40b7-b5d3-c2dd0eda95ce.jpg
"올리타리아 포도씨유, 1L, 1개",31,17300,11900,"(100ml당1,190원)",내일(일) 새벽도착 보장,2473,595,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/199994948305089-b2112c2a-fc50-4eb9-b464-4d1903cb7fcd.jpg
"모니니 안포라 퓨어올리브오일, 1L, 1개",5,30980,29130,"(100ml당2,913원)",내일(일) 새벽도착 보장,584,1456,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/07/17/3000068425/372b8750-5084-40df-9056-dab762e33d7d.jpg
"산루카스 엑스트라버진 아보카도오일, 1L, 1개",,,24980,"(100ml당2,498원)",내일(일) 새벽도착 보장,2111,1249,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4280225672892042-ce788c2e-2db2-45f4-a550-86a664f81383.jpg
"에스파놀라 아보카도오일 스프레이형, 200ml, 1개",13,15600,13500,"(100ml당6,750원)",내일(일) 새벽도착 보장,464,675,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/965406282611143-26681863-5820-442a-b6ef-1a334b8bdc48.jpg
"해표 참진한 들기름, 320ml, 1개",,,8330,(10ml당260원),내일(일) 새벽도착 보장,503,416,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/338408797573843-daac46b1-505e-4aaa-965b-4524d8b11ab2.jpg
"오뚜기 옛날참기름, 320ml, 1개",,,6300,(10ml당197원),내일(일) 새벽도착 보장,803,315,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/40472205226272-37e35d3f-beaf-472c-b7e0-a752c616391e.jpg
"올리타리아 포도씨유, 500ml, 1개",25,10480,7780,"(100ml당1,556원)",내일(일) 새벽도착 보장,234,389,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/519527166006256-1de91e13-ae15-48b5-8b09-129e13856279.jpg
"오뚜기 옛 날 참기름, 350ml, 1개",,,6050,(10ml당173원),내일(일) 새벽도착 보장,44,303,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/82310658701705-8d73d5ab-bff2-434a-abe1-c0b0a4c5541c.jpg
"솔레르로메로 유기농 엑스트라버진 올리브오일, 250ml, 1개",15,22000,18690,"(100ml당7,476원)",내일(일) 새벽도착 보장,159,935,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/183989107895299-379966ad-23b6-49a5-abfd-2447ac7b7731.jpg
"솔레르로메로 유기농 엑스트라 버진 올리브 오일, 500ml, 1개",18,34000,27790,"(100ml당5,558원)",내일(일) 새벽도착 보장,20,1390,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1567841708684890-01be1eb3-798e-40f9-a23d-182a7ce05135.jpg
"해표 해바라기유, 1개, 900ml",4,6590,6300,(100ml당700원),내일(일) 새벽도착 보장,99,315,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1220654357942837-6e8c2c3a-cc75-4875-91f6-5617d8456337.jpg
"올리타리아 송로버섯향 엑스트라버진 올리브유, 250ml, 1개",10,13700,12310,"(100ml당4,924원)",내일(일) 새벽도착 보장,222,615,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/603841325453905-0a201b2c-9996-4ab0-a8db-4862ab4605e7.jpg
