name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"오바다 국내산 손질오징어 (냉동), 700g(5~6미), 1개",,,22400,"(100g당3,200원)",내일(일) 새벽도착 보장,36355,1120,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1105214885154990-970c7479-83d1-4d7a-9305-4492954e5449.jpg
"곰곰 국산 개별포장 손질오징어, 1kg, 1개",27,27990,20360,"(100g당2,036원)",내일(일) 새벽도착 보장,31214,1018,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/586556464060684-1e9d9789-2394-4770-b58d-3f1d387d1b6b.jpg
"곰곰 손질 통오징어, 320g(2미), 1팩",17,8290,6840,"(100g당2,138원)",내일(일) 새벽도착 보장,5777,342,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2346511831386259-a0c515ff-6825-4573-913d-6bcddd6fdfa9.jpg
"빅마마 손질 오징어 (냉동), 650g(5미), 1개",33,18100,12060,"(100g당1,855원)",내일(일) 새벽도착 보장,33,603,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/3whspr1d/02e5bba0475041d18f7499f908ca7991.jpg
"곰곰 손질 오징어, 400g, 1개",20,11290,8980,"(100g당2,245원)",내일(일) 새벽도착 보장,1402,449,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1458132945354100-1992a380-9d2e-4ba5-ab94-8e5f09a2bc3a.jpg
"김씨밥 손질 오징어 (냉동), 500g, 1개",31,12900,8900,"(100g당1,780원)",내일(일) 새벽도착 보장,248,440,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/284719760642503-063a8d4f-1e9f-4164-a516-6388087bd07f.jpg
"국내산 오징어슬라이스 (냉동), 400g, 1개",,,8390,"(100g당2,098원)",내일(일) 새벽도착 보장,4391,420,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/09/14/14/3/5e38b765-b835-4292-89fc-cf642b5f5db3.jpg
"곰곰 손질 오징어 슬라이스 (냉동), 1kg, 1개",21,10290,8090,(100g당809원),내일(일) 새벽도착 보장,136,405,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/731372035075612-d665faeb-6e1f-486f-9ce9-0260f7fa83ab.jpg
"The더착한 오징어 슬라이스 (냉동), 2kg, 1개",,,15500,(100g당775원),내일(일) 새벽도착 보장,2049,775,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4765750245330841-292d5910-167e-4e41-8920-8e431525966a.jpg
"김씨밥 깔끔하게 손질한 오징어 (냉동), 300g(2~3미), 1개",19,7990,6450,"(100g당2,150원)",내일(일) 새벽도착 보장,1084,323,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/29/10/3/c2729d06-d7ad-45d9-a883-9a667bac6904.jpg
