name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"달콤한 옥수수, 500g, 4팩",,,11960,(100g당598원),내일(일) 새벽도착 보장,4867,598,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/17/10/9/844dcdfe-ccdd-4e55-9e15-ffb4a56b572d.jpg
"아침 노랑 옥수수 (냉동), 2kg, 1박스",,,8900,(100g당445원),내일(일) 새벽도착 보장,1028,445,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/j78zc10f/3632a9bf4b8e49cb9a76b68b5532541e.jpg
"이더스 아이스 찐옥수수 (냉동), 100g, 10개입, 1개",,,9900,(1개당990원),내일(일) 새벽도착 보장,83,495,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rhazenxd/ed92a10826b1452980b09be925701df3.jpg
"국내산 찰옥수수 10입 (냉동), 1.3kg, 1개",,,15900,"(100g당1,223원)",내일(일) 새벽도착 보장,164,795,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/26/16/0/da9f98e0-e283-40fc-bcf5-3103cfa6c917.jpg
"국내산 손질 흑찰옥수수, 600g, 1개, 3개입",9,8790,7990,"(1개당2,663원)",내일(일) 새벽도착 보장,11,400,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/25811434159896-95be9310-4ff3-4a44-8c80-90344195a43b.jpg
"국내산 손질 초당옥수수, 2개, 1개입",13,5990,5190,"(1개당2,595원)",내일(일) 새벽도착 보장,25,260,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/826341617963785-85bd0544-c21e-4600-8f83-754d39c3c467.jpg
"삶은 옥수수 (냉동), 1kg, 1개",,,7900,"(1개당2,633원)",내일(일) 새벽도착 보장,568,395,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/17/17/6/7598102b-c536-4e80-9747-3937b6d0461a.jpg
"알록이 옥수수 (냉동), 1kg, 1개",,,7900,"(1개당7,900원)",내일(일) 새벽도착 보장,2797,395,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/4bf3/d213a7a48fd4086d403a72390d78f5a13d0ec47a36ce5f4d96baf9bfe2a4.jpg
"슈퍼스위트콘 (냉동), 1kg, 1개, 1개",,,7900,"(1개당7,900원)",내일(일) 새벽도착 보장,6749,395,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3035667690993261-6195edc1-5c87-4029-9452-b48dbedb29f9.jpg
"푸드야 절단옥수수 (냉동), 1kg, 1팩",,,7400,"(1개당7,400원)",내일(일) 새벽도착 보장,632,370,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/11/17/8/1b13c70f-04f4-4466-bb8c-1278adabc16c.jpg
"먹기편한 절단 초당옥수수, 450g, 1개",28,8990,6400,"(1개당6,400원)",내일(일) 새벽도착 보장,521,320,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/f3ec/300c31525082ae34e7679659d4e1ea6bfadf72edd33dc68643b2904fe4dd.jpg
"초당 옥수수, 2개입, 1개",33,5990,3990,"(1개당1,995원)",내일(일) 새벽도착 보장,14737,200,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5234770686551947-94e0d87c-ce6d-4abb-b733-1c5533ee16cf.jpg
"국내산 손질 초당옥수수, 10개, 1개입",11,27980,24900,"(1개당2,490원)",,1,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/467816096803211-720fc118-eba4-4d0f-816c-933a5ff28a04.jpg
"미백찰옥수수, 5개입",20,6990,5590,"(1개당1,118원)",,575,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/8533/75c5fed65a77ba100831aef58c844e6af2fad6a51f9cacd763e09206f10e.jpg
"국내산 손질된 찰옥수수 10입 세트, 1000g, 1세트",,,19990,"(100g당1,999원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2197646057763817-fb4e385c-4dc4-4dee-b4a9-e49a87451a31.jpg
"국내산 손질된 찰옥수수 5입 세트, 500g, 1세트",,,11190,"(100g당2,238원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2162715624452629-bff0eb7d-4993-4ba5-aaab-3a127d806e91.jpg
"국내산 손질된 찰옥수수 2입 세트, 200g, 1세트",,,4990,"(100g당2,495원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2162678182582007-b90499b2-ae6d-4ce9-b0a8-b1b79fc776be.jpg
"국내산 손질 초당옥수수, 5개, 1개입",7,13990,12990,"(1개당2,598원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/465108940293390-97823659-8da6-47a8-bd36-1b1714446649.jpg
"국내산 찰옥수수, 2000g, 1개, 10개입",38,13690,8370,(1개당837원),,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/25749456664344-618f8ab6-fc5b-4fc2-b848-a06292d328a5.jpg
"국내산 찰옥수수, 400g, 1개, 2개입",20,3190,2550,"(1개당1,275원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/137229657239341-0f8ef470-1d6f-460e-9ac8-5df2e0cfaefc.jpg
"슈퍼 스위트 콘 (냉동), 1개, 12kg",,,70800,(100g당590원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xw9jafi1/8bae0a209a8e48bcae31d848a9c4f242.jpg
"kc 노랑옥수수, 2개, 500g, 2개입",,,6720,"(1개당1,680원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/07/15/6/f6ac32e2-a648-4379-a4e7-f510a8029be5.jpg
