name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 우엉, 1kg, 1개",,,8260,(100g당826원),내일(일) 새벽도착 보장,14980,413,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187558900694118-3956168c-4ada-4033-8446-07b320664610.jpg
"곰곰 국내산 우엉, 1kg, 1개",,,8700,(100g당870원),내일(일) 새벽도착 보장,1215,435,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7366535650626122-f00472e1-99fc-4cc5-83a8-14d7c83bb76b.jpg
"국내산 자숙우엉, 700g, 1봉",,,14300,"(100g당2,043원)",내일(일) 새벽도착 보장,1126,715,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/23/13/7/fd04b08e-a9f2-4911-8eab-f57ec91c9dea.jpg
"국내산 친환경 우엉, 500g, 1개",,,7250,"(100g당1,450원)",내일(일) 새벽도착 보장,1264,363,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6074137204417604-e837b7be-a132-41a1-98d7-a64fcbab1979.jpg
"국내산 안동 우엉, 1.5kg, 1개",9,20000,18190,"(100g당1,213원)",내일(일) 새벽도착 보장,651,720,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1390533019387122-fdbd48ff-9f81-401f-9f1d-71421c8b8887.jpg
"매홍 착한상점 씻어나온 볶음우엉, 220g, 1봉",19,16000,12900,"(100g당5,864원)",내일(일) 새벽도착 보장,26,645,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/26/10/3/9ca1ff04-378b-47e8-bde4-793b6c21a1c9.jpg
"국내산 우엉, 300g, 1개",,,3000,"(100g당1,000원)",,93,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187644874003128-b30bee1f-b651-4aaf-991e-5ef5e62b4fb2.jpg
"국내산 자숙우엉, 700g, 1봉",,,14300,"(100g당2,043원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/23/13/7/fd04b08e-a9f2-4911-8eab-f57ec91c9dea.jpg
"국내산 세척우엉, 500g, 1봉",,,4850,(100g당970원),,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187613883869514-fc133f94-eab3-481c-83d7-7e7687b2f716.jpg
"못생겨도 맛있는 우엉, 1개, 2kg",,,13900,(100g당695원),,4,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/392831749132898-d6c159c7-464b-4ade-ae1d-ecd00c635205.jpg
"매홍 착한상점 씻어나온 볶음우엉, 220g, 1봉",,,12900,"(100g당5,864원)",,9,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/26/10/3/9ca1ff04-378b-47e8-bde4-793b6c21a1c9.jpg
"나무새 우엉채, 1kg, 1개",,,15880,"(100g당1,588원)",,33,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/12/18/9/afd6bab0-d960-4cfc-ac8d-e90e903e2df6.jpg
"국내산 우엉, 1kg, 1개",,,8260,(100g당826원),,125,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187558900694118-3956168c-4ada-4033-8446-07b320664610.jpg
"국내산 우엉, 500g, 1개",,,4350,(100g당870원),,164,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13922513639278-ae97ec0a-c7dd-4336-a892-b59f6756cdb5.jpg
"국내산 우엉채, 1kg, 1개",,,18990,"(100g당1,899원)",,167,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2717396378905865-642ce444-ec8c-486d-9dfe-f537d9dab14b.jpg
"국내산 친환경 우엉, 500g, 1개",,,7250,"(100g당1,450원)",,240,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6074137204417604-e837b7be-a132-41a1-98d7-a64fcbab1979.jpg
"국내산 안동 우엉, 1.5kg, 1개",,,18190,"(100g당1,213원)",,237,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1390533019387122-fdbd48ff-9f81-401f-9f1d-71421c8b8887.jpg
"국내산 우엉채, 500g, 1개",16,12000,9970,"(100g당1,994원)",,264,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/82514136938308-991a3035-4da7-436e-b4f8-46027cddbb79.jpg
"곰곰 국내산 우엉, 1kg, 1개",,,8700,(100g당870원),,235,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7366535650626122-f00472e1-99fc-4cc5-83a8-14d7c83bb76b.jpg
"못생겨도 맛있는 우엉, 2kg, 1개",,,13900,(100g당695원),,6,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/392831749132898-d6c159c7-464b-4ade-ae1d-ecd00c635205.jpg
"나무새 우엉채, 1kg, 1개",,,15880,"(100g당1,588원)",,357,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/12/18/9/afd6bab0-d960-4cfc-ac8d-e90e903e2df6.jpg
