name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"주문진어시장건어물 백진미 오징어채 (냉동), 1개, 400g",,,12780,(10g당320원),내일(일) 새벽도착 보장,25887,639,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3502349931978253-39674556-9a4e-4349-a2ea-40e234e16a12.jpg
"해맑은푸드 조미오징어채 실속형진미채, 400g, 1개",,,10900,(10g당273원),내일(일) 새벽도착 보장,1467,535,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/305452742693524-c007439f-25ec-4769-abc5-0296a296a65a.jpg
"해맑은푸드 백진미채 (냉동), 1kg, 1개",1,27900,27470,(10g당275원),내일(일) 새벽도착 보장,28724,1374,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/18/17/2/440fe2ee-f0e5-4bea-a671-0d8e884c775d.jpg
"우리두리건어물_HACCP_부드러운홍진미채, 500g, 1개",,,16960,(10g당339원),내일(일) 새벽도착 보장,2448,848,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/09/02/17/9/69161428-f491-4370-b8f2-4ba3e303449f.jpg
"오싱싱주문진 백진미 오징어채 (냉동), 300g, 1개",,,12440,(10g당415원),내일(일) 새벽도착 보장,3505,622,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/14/16/2/dfb2567b-3ed9-4024-a43c-d3cd49fcfef2.jpg
"곰곰 백진미채, 500g, 1개",13,17080,14690,(10g당294원),내일(일) 새벽도착 보장,3010,735,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/20020668906626-e48d6fbd-1d02-46c4-ab5a-66986449772a.jpg
"우리두리건어물_HACCP_부드러운진미채, 1kg, 1개",,,27400,(10g당274원),내일(일) 새벽도착 보장,14942,1370,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/09/02/17/9/c01df3b2-56c3-4a8b-b6a6-748ab457f0ff.jpg
"주문진어시장건어물 맛진미 오징어채 (냉동), 300g, 1개",,,10990,(10g당366원),내일(일) 새벽도착 보장,2362,545,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/05/11/13/9/c55dc0b1-e542-4859-bcaa-a1b275244af2.jpg
"해맑은푸드 오징어실채 (냉동), 500g, 1개",,,17900,(10g당358원),내일(일) 새벽도착 보장,3667,895,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/29/11/9/75b3d192-09d4-449f-8f62-f86b3a2b4018.jpg
"해맑은푸드 홍진미채 (냉동), 400g, 1개",7,13900,12900,(10g당323원),내일(일) 새벽도착 보장,4407,645,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/121218096399149-b64fd3f2-04ad-4934-9c62-a2c7cb00906c.jpg
