name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"GAP 깐쪽파, 500g, 1개",,,16970,"(100g당3,394원)",내일(일) 새벽도착 보장,5386,849,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/ce35/02e6f94edbd6d0e8d32cf6cd25adac2697c77706a7062bdcf8510d647b0b.jpg
"깐쪽파 국내산, 1kg, 1개",,,32000,"(100g당3,200원)",내일(일) 새벽도착 보장,31525,1600,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/e19a/12f64880fbcdaac04a6a8f9108309526e8385fc0a3a1eaec97e641664b16.jpg
"국내산 흙쪽파, 500g, 1개",7,8100,7470,"(100g당1,494원)",내일(일) 새벽도착 보장,18180,374,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/74707324955125-39947013-99ae-4f35-821c-f6b9f09218e2.jpg
"GAP 깐쪽파, 500g, 1개",,,16970,"(100g당3,394원)",,60,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8316767342865144-0f5c2bc2-9bde-4425-b64d-8cfc572b8a65.jpg
"국내산 깐실파, 200g, 1봉",,,3050,"(100g당1,525원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4148906283759924-486b4056-e1c2-4496-b5c3-f42487e3d3a0.jpg
"곰곰 국내산 흙쪽파, 1kg, 1개",,,9960,(100g당996원),,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2109748203642081-2b9cafa7-b2df-4d17-adb7-e30e0c199d89.jpg
"국내산 깐쪽파, 500g, 1개",29,10620,7470,"(100g당1,494원)",,35,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4246900268890-0c26d968-6cdc-4a29-ab06-e849123bf396.jpg
"친환경 제주 깐쪽파, 500g, 1개",24,9800,7400,,,29,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6147712066937676-6543ce2b-740c-40f4-ab36-fa8a79a0092e.jpg
"국내산 흙실파, 300g, 1봉",,,5000,"(100g당1,667원)",,8,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4887203331750665-d980e4cb-3962-4038-a477-4890a3ae0f73.jpg
"국내산 흙쪽파, 1kg, 1개",,,10760,"(100g당1,076원)",,144,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/993614765809911-04da65de-f8f1-4ee9-bd43-2f2f75b66d4d.jpg
"깐쪽파 국내산, 1kg, 1개",,,32000,"(100g당3,200원)",,161,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/984308637645913-055080a1-83a7-47d4-b761-19e16fc35894.jpg
"제주 깐쪽파, 200g, 1팩",27,3990,2900,,,29,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8306122260205841-1f8bcaf0-c82c-4593-8358-0d66b5f12c10.jpg
"국내산 실파, 200g, 1개",,,4980,"(100g당2,490원)",,47,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5131438350770185-ba6c060f-ac9f-4b34-b7ac-b521c6caf68e.jpg
"국내산 흙쪽파, 500g, 1개",7,8100,7470,"(100g당1,494원)",,319,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/74707324955125-39947013-99ae-4f35-821c-f6b9f09218e2.jpg
"곰곰 국내산 깐쪽파, 200g, 1개",24,3980,2990,"(100g당1,495원)",,313,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5340582607221734-ddfe778a-3776-4132-bfdf-d534fddc8e42.jpg
"곰곰 국내산 흙쪽파, 500g, 1개",,,6490,"(100g당1,298원)",,375,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6669324409941801-781b5f1a-c61d-4e73-90e6-342fbfe9d356.jpg
"국내산 깐쪽파, 200g, 1개",,,6400,"(100g당3,200원)",,347,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4215368233178-d1de6af8-4daf-49ae-a225-d7061754098e.jpg
"국내산 실파, 200g, 1개",,,4980,"(100g당2,490원)",,2805,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5131438350770185-ba6c060f-ac9f-4b34-b7ac-b521c6caf68e.jpg
