name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"동원 참치 황다랑어 통뱃살 (냉동), 300g, 1개",18,17900,14610,"(100g당4,870원)",내일(일) 새벽도착 보장,468,730,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1702581946165782-212eb795-6380-44f2-89bc-346b860ebfc2.jpg
"곰곰 참치회 가다랑어 속살 (냉동), 250g, 2개",22,26900,20970,"(100g당4,194원)",내일(일) 새벽도착 보장,97,1049,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1068081220249042-e07fef9b-0c53-47bb-b558-4eae0f9f7c6b.jpg
"곰곰 황다랑어 통뱃살 (냉동), 300g, 1팩",10,14440,12990,"(100g당4,330원)",내일(일) 새벽도착 보장,130,650,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/768886974935861-72303d2b-cbd0-4a88-b98a-4375dd34e1a7.jpg
"동원 바로먹는 참치회 참다랑어 (냉동), 150g, 1개",,,20900,"(100g당13,933원)",내일(일) 새벽도착 보장,31,1045,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rpwe03v2/2fcbe77373b4409f9bdca791a8c228cc.jpg
"황다랑어 뱃살 슬라이스 (냉동), 200g, 1개",,,13990,"(100g당6,995원)",내일(일) 새벽도착 보장,2,700,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ue0vysww/7755ff75f40246eb8f25f7172659fe7e.jpg
"또또마켓 황새치 뱃살 블럭 (냉동), 200g, 1개",,,24570,"(100g당12,285원)",내일(일) 새벽도착 보장,53,1229,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/2/df43c79c-2e51-4253-83c1-b719237bd808.jpg
"또또마켓 참다랑어 속살 슬라이스 (냉동), 150g, 1개",,,22000,"(100g당14,667원)",내일(일) 새벽도착 보장,32,1100,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/9/a64d9742-39b8-4779-983a-1244e73920cb.jpg
"동원산업 참치회 참다랑어 200g x 2개 + 황다랑어 200g x 2개 실속 세트 (냉동), 1세트",,,118000,,9/12(목)새벽 도착 보장,2,5900,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zzg8kqho/29e2b01295e44835bce4b9467e44d9ad.jpg
"또또마켓 눈다랑어 뱃살 블럭 (냉동), 200g, 1개",,,17600,"(100g당8,800원)",내일(일) 새벽도착 보장,110,880,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/5/2696f69d-f676-4225-8560-63b11b76cbd9.jpg
"아라보감 참치회 참다랑어 뱃살 100g + 눈다랑어 속살 200g 세트 (냉동), 300g, 1세트",,,33900,,내일(일) 새벽도착 보장,11,1695,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/bgrl0kci/e6e366e46438451383aae9a874a5c868.jpg
"동원 참치회 참다랑어 중뱃살 (냉동), 500g, 1개",,,59400,"(100g당11,880원)",내일(일) 새벽도착 보장,28,2970,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/21/14/0/d001b78c-4070-4904-bb1a-bf02be3c7475.jpg
"동원 바로먹는 참치회 눈다랑어 (냉동), 150g, 1팩",,,13800,"(100g당9,200원)",내일(일) 새벽도착 보장,44,690,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/efxumvez/dfc315d13977419c810a54d233cfdb2e.jpg
"참다랑어 뱃살 블럭 (냉동), 150g, 1개",,,31990,"(100g당21,327원)",내일(일) 새벽도착 보장,,1600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/566240636948505-b03abe34-d21e-42da-bb62-9325f150a492.jpg
"또또마켓 황새치 뱃살 슬라이스 (냉동), 200g, 1개",,,31370,"(100g당15,685원)",내일(일) 새벽도착 보장,37,1569,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/0/9a11192e-2c17-4e4d-8174-8386f0407669.jpg
"또또마켓 참다랑어 뱃살 슬라이스 (냉동), 150g, 1개",,,38520,"(100g당25,680원)",내일(일) 새벽도착 보장,38,1926,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/4/ef4132f6-4576-494f-b4f6-cd161752bfc6.jpg
"동원 참치회 참다랑어 뱃살 700g + 눈다랑어 속살 200g x 4팩 특호 세트 (냉동), 1세트",10,400000,359000,,9/12(목)새벽 도착 보장,2,17950,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/29/17/7/8652530c-6708-47c7-bed9-4a13e0c667dd.jpg
"또또마켓 참다랑어 속살 블럭 (냉동), 150g, 1개",,,17900,"(100g당11,933원)",내일(일) 새벽도착 보장,69,895,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/0/00dc53ea-a515-4999-b16f-331c98213487.jpg
"아라보감 참치회 참다랑어 뱃살 100g + 참다랑어 등살 200g 세트 (냉동), 300g, 1세트",,,40900,,내일(일) 새벽도착 보장,3,2045,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/tdk1n79z/61f7f1919c0c425c902bc0091f0c8047.jpg
"또또마켓 눈다랑어 뱃살 슬라이스 (냉동), 200g, 1개",,,18000,"(100g당9,000원)",내일(일) 새벽도착 보장,219,900,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/4/6c899e0a-3ee1-4dcf-b305-4bb89e0cfd0f.jpg
"동원 참치회 참다랑어 가마도로 (냉동), 500g, 1개",,,76800,"(100g당15,360원)",내일(일) 새벽도착 보장,7,3840,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/21/14/7/fd85d6e6-daab-4cd8-896f-fcdca905cefc.jpg
"황다랑어 뱃살 블럭 (냉동), 200g, 1개",,,11900,"(100g당5,950원)",내일(일) 새벽도착 보장,1,595,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ehlytzyz/b0201dde835e49f781f22e8bc20994b4.jpg
"또또마켓 눈다랑어 등살 블럭 (냉동), 200g, 1개",,,11870,"(100g당5,935원)",내일(일) 새벽도착 보장,76,594,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/9/d8c2978b-01e8-4f85-8be9-79e45ca150f6.jpg
"또또마켓 눈다랑어 등살 슬라이스 (냉동), 200g, 1개",,,13900,"(100g당6,950원)",내일(일) 새벽도착 보장,106,695,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/9/1e070693-84b2-4a38-9303-ca5a2218828f.jpg
"또또마켓 황새치 등살 슬라이스 (냉동), 200g, 1개",,,12900,"(100g당6,450원)",내일(일) 새벽도착 보장,40,645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/6/75bd919a-3886-41f4-b678-42e0cb739b20.jpg
"아라보감 참치회 참다랑어 뱃살 100g + 황새치 속살 200g 세트 (냉동), 300g, 1세트",,,30900,,내일(일) 새벽도착 보장,10,1545,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/md7edtdr/beecb04d804b452ea6d8823b2c5aa711.jpg
"황다랑어 뱃살 블럭 (냉동), 200g, 1개",,,11900,"(100g당5,950원)",,4,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ehlytzyz/b0201dde835e49f781f22e8bc20994b4.jpg
"또또마켓 참다랑어 뱃살 슬라이스 (냉동), 150g, 1개",,,38520,"(100g당25,680원)",,30,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/08/10/4/ef4132f6-4576-494f-b4f6-cd161752bfc6.jpg
"동원참치 황다랑어 속살 (냉동), 300g, 1개",,,16900,"(100g당5,633원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ozkq3q82/c85129465917468ba40a866bc49d6e31.jpg
"동원참치회 다랑어 속살 (냉동), 380g, 1개",,,16900,"(100g당4,447원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/5klbrqks/cf82a958873e4a858b5bd3bce7c107db.jpg
"동원참치회 다랑어 속살 (냉동), 380g, 1개",,,16900,"(100g당4,447원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/5klbrqks/cf82a958873e4a858b5bd3bce7c107db.jpg
"동원참치 황다랑어 속살 (냉동), 300g, 1개",,,16900,"(100g당5,633원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ozkq3q82/c85129465917468ba40a866bc49d6e31.jpg
"곰곰 황다랑어 통뱃살 (냉동), 300g, 1팩",17,14440,11900,"(100g당3,967원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/768886974935861-72303d2b-cbd0-4a88-b98a-4375dd34e1a7.jpg
"아라보감 참치회 참다랑어 뱃살 100g + 황새치 속살 200g 세트 (냉동), 300g, 1세트",,,30900,,,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/md7edtdr/beecb04d804b452ea6d8823b2c5aa711.jpg
"아라보감 참치회 참다랑어 뱃살 100g + 참다랑어 등살 200g 세트 (냉동), 300g, 1세트",,,40900,,,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/tdk1n79z/61f7f1919c0c425c902bc0091f0c8047.jpg
"아라보감 참치회 참다랑어 뱃살 100g + 눈다랑어 속살 200g 세트 (냉동), 300g, 1세트",,,33900,,,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/bgrl0kci/e6e366e46438451383aae9a874a5c868.jpg
"아라보감 홈마카세 모듬참치회 참다랑어 뱃살 100g + 황새치 속살 200g 세트 (냉장), 300g, 1세트",,,27900,,,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/j3m2rjxb/f44572723dba4f6ba4288cb7c41326e7.jpg
"아라보감 홈마카세 모듬참치회 참다랑어 뱃살 100g + 눈다랑어 속살 200g 세트 (냉장), 300g, 1세트",,,30900,,,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/9pvo5jno/810056e5ea2242a097222a07d281678b.jpg
"아라보감 홈마카세 모듬참치회 참다랑어 뱃살 100g + 참다랑어 등살 200g 세트 (냉장), 300g, 1세트",,,35900,,,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jbfwzyja/206b1ab013314f719c97f27dc33f98d9.jpg
"동원 바로먹는 참치회 참다랑어 (냉동), 150g, 1개",,,20900,"(100g당13,933원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/rpwe03v2/2fcbe77373b4409f9bdca791a8c228cc.jpg
