name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"동원 라이트 스탠다드 참치, 85g, 8개",15,14400,12140,(10g당179원),오늘(일)도착 보장,60336,607,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/39895399538651-5c48dbab-2331-4f86-8344-ed7d1d6e1e64.jpg
"동원 고추 참치, 85g, 8개",5,13390,12620,(10g당186원),오늘(일)도착 보장,16394,631,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9433273109317199-1ae5b952-ecb0-4801-a822-1359ab70c176.jpg
"리챔 오리지널, 340g, 4개",2,15000,14660,(10g당108원),오늘(일)도착 보장,10538,733,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/25/3000471481/dff1052b-73ab-409e-88af-11d5bea3aa94.JPG
"리챔 더블라이트 200g, 6개",5,15240,14450,(10g당120원),내일(월) 새벽도착 보장,185,723,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/9mnwwih1/3a908703b4a74679b420c7edc1ef764d.jpg
"사조 마일드참치 안심따개, 135g, 4개",3,7980,7680,(10g당142원),오늘(일)도착 보장,2980,384,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8447446275321928-13ff8753-563b-4096-8c08-dac6767e7a9b.jpg
"리챔 더블라이트, 600g, 1개",6,8370,7850,(10g당131원),오늘(일)도착 보장,491,393,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/dghvapxy/8b8002b52d1a457289594ba402eb2912.jpg
"롯데햄 부드럽고 담백한 런천미트, 1.8kg, 1개",,,17400,(10g당97원),내일(월) 새벽도착 보장,105,870,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/23/21/8/79125604-84ef-4acf-b871-f4b2fc2512a8.jpg
"튤립푸드 덴마크 튤립햄 클래식, 1.02kg, 1개",,,12300,(10g당121원),오늘(일)도착 보장,539,615,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3554374460916491-0bc54a1b-3589-4743-9e93-871e34fd9f08.jpg
"본죽 쇠고기 장조림, 120g, 3개",3,14700,14120,(10g당392원),내일(월) 새벽도착 보장,306,706,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1758653028478571-e6945227-ffbb-49ab-bb59-843480a39a33.jpg
"사조오양 안심팜, 200g, 4개",2,10700,10400,(10g당130원),오늘(일)도착 보장,1835,520,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/06/18/16/3/21b8eacb-ef4c-4694-b594-e116a601ff9c.jpg
"바로드숑 아침 연어스테이크, 100g, 6개",58,69000,28800,(10g당480원),오늘(일)도착 보장,7,1440,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/543962447369201-c0995d1b-e709-490c-8521-e6f4732c4e9a.jpg
"리오마레 올리브 오일 참치, 80g, 3개",5,9980,9390,(10g당391원),오늘(일)도착 보장,304,470,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7532759311610193-cc7f4d06-ba7b-4130-8912-79631b119829.jpg
"마다마올리바 그린 카스텔베트라노 올리브절임, 575g, 1개",20,13000,10400,(10g당181원),오늘(일)도착 보장,219,520,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/666616963756083-e38167af-717b-4d2e-883b-68d36d689896.jpg
"사조 고추참치 안심따개, 12개, 100g",,,16500,(10g당138원),오늘(일)도착 보장,819,825,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4476818868881328-5855b1e3-2094-4e40-9bd9-466f07cedfbe.jpg
"양반 볶음김치, 80g, 8개",,,9800,"(100g당1,531원)",내일(월) 새벽도착 보장,97,490,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/341875590527770-501a025c-e7d9-476e-a8cf-5a5c7e7db376.jpg
"리오산토 할라페뇨 슬라이스, 950g, 1개",31,11680,7980,(10g당84원),오늘(일)도착 보장,367,399,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/70890927920285-2921229e-4a31-42ae-8a05-1319b2c3e4b5.jpg
"오뚜기 가벼운 참치 더마일드, 100g, 4개",,,7890,(10g당197원),오늘(일)도착 보장,190,395,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/j20pho8v/a270daa224ba4e8987a30d2fd0fca37d.jpg
