name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 청경채, 1kg, 1개",,,8870,(100g당887원),내일(일) 새벽도착 보장,17238,444,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/604766380531350-63d13572-e227-4830-b65b-21fc647e4f38.jpg
"곰곰 청경채, 600g, 1봉",11,6000,5330,(100g당888원),내일(일) 새벽도착 보장,89731,266,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1490810843296932-ce376044-2cc9-4844-9c5c-30a951d1c8e8.jpg
"곰곰 국내산 청경채, 1개, 2kg",26,18660,13800,(100g당690원),내일(일) 새벽도착 보장,448,645,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4178207906162682-d35d6ca0-1097-4129-ae51-fe478cfa2263.jpg
"국내산 청경채, 1개, 300g",,,2970,(100g당990원),내일(일) 새벽도착 보장,592,149,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/377309492475412-1dd42dad-0f24-4de8-884a-396851e353e3.jpg
"국내산 GAP 청경채, 200g, 1개",20,2750,2200,"(100g당1,100원)",내일(일) 새벽도착 보장,23055,110,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6274320992488-0d343b98-eb28-46ab-b8ba-244c2440679b.jpg
"곰곰 청경채, 300g, 1개",,,2970,(100g당990원),,208,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/508174170897679-a8dcbff1-59dc-40bc-9b1d-5b16eb659562.jpg
"곰곰 청경채, 600g, 1봉",11,6000,5330,(100g당888원),,53,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1490810843296932-ce376044-2cc9-4844-9c5c-30a951d1c8e8.jpg
"국내산 청경채, 2kg, 1개",,,11960,(100g당598원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/efolddvx/2f4ad376af6f4e4cbe52531b0bec8d19.png
"국내산 청경채, 4kg, 1개",,,14890,(100g당372원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/efolddvx/2f4ad376af6f4e4cbe52531b0bec8d19.png
"국내산 청경채, 4kg, 1개",,,14890,(100g당372원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/efolddvx/2f4ad376af6f4e4cbe52531b0bec8d19.png
"청경채 국내산, 1kg, 1개",,,7260,(100g당726원),,79,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/861264383069234-f6339e1a-a0cb-42c9-9d20-7d4f01c50ff6.jpg
"곰곰 국내산 청경채, 1개, 4kg",33,29900,20000,(100g당500원),,55,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4178375662712363-5490a91c-ea43-49d3-979b-323c980361e5.jpg
"친환경 청경채, 1개, 150g",,,2700,"(100g당1,800원)",,172,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/12564431021578465-de2f9ca2-5160-404c-a213-91b3ea5ec7a7.jpg
"국내산 청경채, 1개, 300g",,,2970,(100g당990원),,43,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/377309492475412-1dd42dad-0f24-4de8-884a-396851e353e3.jpg
"곰곰 청경채, 300g, 1개",,,2970,(100g당990원),,187,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/508174170897679-a8dcbff1-59dc-40bc-9b1d-5b16eb659562.jpg
"국내산 청경채, 1kg, 1개",,,8870,(100g당887원),,198,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/604766380531350-63d13572-e227-4830-b65b-21fc647e4f38.jpg
"국내산 GAP 청경채, 300g, 1개",,,3300,"(100g당1,100원)",,229,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/84647305394305-f72d777e-21d0-46f3-86ac-a6d9bb0d2803.jpg
"국내산 GAP 청경채, 200g, 1개",20,2750,2200,"(100g당1,100원)",,311,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6274320992488-0d343b98-eb28-46ab-b8ba-244c2440679b.jpg
"청경채, 1팩, 150g",,,1650,"(100g당1,100원)",,110,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/772868379108268-d27cf929-adec-43b4-b2fb-004667e775b7.jpg
"곰곰 국내산 청경채, 1개, 2kg",26,18660,13800,(100g당690원),,129,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4178207906162682-d35d6ca0-1097-4129-ae51-fe478cfa2263.jpg
"친환경 청경채, 150g, 1개",,,2700,"(100g당1,800원)",,3469,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/12564431021578465-de2f9ca2-5160-404c-a213-91b3ea5ec7a7.jpg
