name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 슈레드 모짜렐라 치즈, 1kg, 1개",,,11860,(10g당119원),오늘(일)도착 보장,79458,593,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6337595723873993-f73775d5-9de9-435e-b29e-a8a783a25e5d.jpg
"곰곰 후레쉬 모짜렐라 보코치니, 1kg, 1개",3,21170,20480,(10g당205원),오늘(일)도착 보장,10668,1024,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/644637975983085-262cbaa2-82eb-4f20-aac9-37572e456bf1.jpg
"곰곰 데일리 체다치즈 슬라이스, 900g, 1개",2,12990,12640,(10g당140원),오늘(일)도착 보장,138875,632,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/574126426579444-000c376d-514f-49bc-a2de-9ed2bce7d94a.jpg
"소와나무 화이트 체다 슬라이스 치즈 100매입, 1.8kg, 1개",16,25000,20980,(10g당117원),오늘(일)도착 보장,19321,996,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/15/15/3/b9e09927-d8e0-412b-a735-bfff3ff909a1.jpg
"서울우유 슈레드 모짜렐라 치즈, 1kg, 1개",,,13360,(10g당134원),오늘(일)도착 보장,56673,668,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/57a8/44d35827ec9e76fb226f19d553e64d89d67baf853750ba44eb45770b9860.jpg
"드빈치 자연방목 체다치즈 30매, 510g, 1개",11,8880,7880,(10g당155원),오늘(일)도착 보장,22637,394,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3127534378724691-f2da66af-5c08-4204-9234-55ac12df2f97.jpg
"상하치즈 리코타 치즈, 1kg, 1개",,,13450,(10g당135원),오늘(일)도착 보장,15812,673,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/121888745736883-ec8c1756-0f16-4f7e-9f09-9063ededf716.jpg
"코다노 후레쉬 모짜렐라 보코치니 (냉동), 500g, 1개",39,18150,10900,(10g당218원),오늘(일)도착 보장,160,490,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2270586683784391-7e71ff78-3974-40aa-9291-01e4c46f3fb5.jpg
"벨지오이오조 부라타, 226g, 1개",4,18190,17290,(10g당765원),오늘(일)도착 보장,19910,865,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_0_max3k/4bbf/860c88696758f1ba938f5ff554ed7dc55eb53c4c801d109d47e18285dda0.jpg
"리치골드 모짜렐라 슈레드 치즈, 1kg, 1개",,,12600,(10g당126원),오늘(일)도착 보장,13023,630,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018940430305920-c8ad2a13-a6a9-401b-b91d-9d4c3ab8cea5.jpg
"곰곰 모짜렐라 피자치즈, 300g, 1개",,,6440,(10g당215원),오늘(일)도착 보장,11771,322,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/988626885643737-c19bb932-ca01-4be0-848e-ff8642acbf2a.jpg
"곰곰 트리플 슈레드 치즈, 800g, 1개",,,11990,(10g당150원),오늘(일)도착 보장,28924,600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4239520169057815-30d77041-e86c-4486-96a8-9c7ff83b3cd5.jpg
"곰곰 데일리 스트링치즈, 200g, 1개",,,5790,(10g당290원),오늘(일)도착 보장,4976,290,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3908512542657543-1dc9de01-0ca5-44f5-9cfd-6c086a5726f7.jpg
"벨지오 모짜렐라 로그슬라이스, 226g, 1개",7,14020,12900,(10g당571원),오늘(일)도착 보장,10610,645,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/11/27/17/7/8c8e9b21-6f4b-471e-9685-184e4bb75d40.jpg
"고소하게 늘어나는 모짜렐라 슈레드치즈, 1kg, 1개",,,11980,(10g당120원),오늘(일)도착 보장,3978,599,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/595790499870890-0c041445-ed62-4192-abde-bf46604911b7.jpg
"소와나무 파티쉐 슬라이스 치즈, 900g, 1개",2,14020,13640,(10g당152원),오늘(일)도착 보장,25003,682,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/21/17/5/8df4fe66-c1a6-4b9c-b371-901d13b085d5.jpg
"필라델피아 크림치즈, 190g, 1개",10,5480,4880,(10g당257원),오늘(일)도착 보장,67617,244,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/04/15/3/fddce505-008f-4a15-9d73-34c238169f97.jpg
"페이장브르통 브리치즈, 125g, 3개",1,15250,15000,(10g당400원),오늘(일)도착 보장,4699,750,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/11/11/12/0/55f18d68-1f7b-4c85-b895-322acda21c11.jpg
"갈바니 후레쉬 슬라이스 모짜렐라, 226g, 1개",,,10500,(10g당465원),오늘(일)도착 보장,3986,475,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2871883099314710-a0f55703-a380-488c-8008-a5477ae8aeb3.jpg
"소와나무 체다치즈 22매입, 396g, 1개",,,7500,(10g당189원),오늘(일)도착 보장,9775,375,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/357857988373360-759d337c-7c06-4f01-a210-94c12f8fb803.jpg
