name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"코다노 스위트 칠리소스, 2kg, 1개",3,8720,8400,(100g당420원),내일(일) 새벽도착 보장,1235,420,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/453797301832059-69fdd014-d144-4f5e-843f-da9366b08f55.jpg
"맘스맘 깐풍칠리소스, 2kg, 1개",,,16250,(100g당813원),내일(일) 새벽도착 보장,90,813,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/21520014153340-193a7deb-aded-4418-a2b5-1a3a7e54f341.jpg
"푸딩팩토리 비프칠리 소스, 1kg, 1개",,,16500,"(100g당1,650원)",내일(일) 새벽도착 보장,150,825,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4013160079174540-6cf803c4-0714-4ca0-bcc0-528e8f339712.jpg
"풀스키친 스위트 핫칠리소스, 2kg, 1팩",,,13500,(100g당675원),내일(일) 새벽도착 보장,129,675,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/09/07/16/2/5e24e864-2882-48d0-9b45-f4be3e5a40da.jpg
"모노키친 LF 핫스위트칠리소스, 1kg, 10봉",,,52000,(100g당520원),내일(일) 새벽도착 보장,2,2600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/18/18/4/f744cd83-48bd-4b3d-bc49-578be5e431ab.jpg
"엠케이홀딩스 미트 칠리소스 (냉동), 1kg, 1개",,,15900,"(100g당1,590원)",내일(일) 새벽도착 보장,1,795,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pro99s0s/a86a5397de6347629a02ee70a11ce33c.jpg
"비셰프 스위트 칠리소스, 2kg, 1개",2,9500,9250,(100g당463원),내일(일) 새벽도착 보장,7,463,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/02/08/13/1/049eff96-d04a-44ba-a2b4-94bf9b8fd163.jpg
"곰곰 사과 스위트 칠리소스, 270ml, 1개",,,2590,(100ml당959원),내일(일) 새벽도착 보장,1714,130,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4489744729378813-058fcbf5-7758-4306-b3e8-d47a00647654.jpg
"비비드키친 저칼로리 스위트칠리 소스, 1개, 280g",,,3580,"(100g당1,279원)",내일(일) 새벽도착 보장,15016,165,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1748967387766765-d4bb047d-492e-400a-bc10-8a56b24e67ce.jpg
"모노키친 LF 핫스위트칠리소스, 1kg, 10봉",,,52000,(100g당520원),,3,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/18/18/4/f744cd83-48bd-4b3d-bc49-578be5e431ab.jpg
"모노키친 중화칠리소스, 1kg, 12봉",,,64800,(100g당540원),,5,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/18/18/2/671371d9-4e79-4a91-882b-9d319911e478.jpg
"이츠웰 스위트 칠리 소스, 2kg, 1개",,,14500,(100g당725원),,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/vc21qa9f/67a043c7ccf44e9aa7d6d7c8a828e610.jpg
"이츠웰 스위트 칠리 소스, 2kg, 1개",,,14500,(100g당725원),,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/vc21qa9f/67a043c7ccf44e9aa7d6d7c8a828e610.jpg
"엠케이홀딩스 미트 칠리소스 (냉동), 1kg, 1개",,,15900,"(100g당1,590원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pro99s0s/a86a5397de6347629a02ee70a11ce33c.jpg
"에쓰푸드 미트 칠리 소스 (냉동), 1kg, 1개",,,14970,"(100g당1,497원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/03/18/7/33d748d5-545f-412c-9da4-7d37be00535d.jpg
"에쓰푸드 미트 칠리 소스 (냉동), 1kg, 1개",,,14970,"(100g당1,497원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/03/18/7/33d748d5-545f-412c-9da4-7d37be00535d.jpg
