name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"청정원 안심 콩나물, 350g, 1팩",,,1700,(100g당486원),오늘(일)도착 보장,93,85,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/bpxhrqov/fb431605c5cc42cda649a4e77dc7332b.jpg
"청정원 특등급 국산콩 무농약 전주콩나물, 400g, 1개",,,2480,(100g당620원),오늘(일)도착 보장,7,124,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/287038461017987-e2f83b98-c24e-451c-a6d9-ab3d2ef50a2a.jpg
"맑은물에 아삭한 콩나물, 3.5kg, 1박스",,,5900,(100g당169원),오늘(일)도착 보장,10656,265,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/21/17/8/025ff4e4-a039-497e-b391-c9065c066c7f.jpg
"풀무원 깨끗한 콩나물, 4kg, 1개",,,13900,(100g당348원),오늘(일)도착 보장,23,695,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3592287308846272-0da1770f-c375-4cbd-b769-74f486891b0e.jpg
"풀스키친 무농약 어린 콩나물, 1kg, 1개",,,9900,(100g당990원),오늘(일)도착 보장,24,495,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1828634476764746-ae91d9f6-1d5e-49cc-b99a-70a40f58c1c2.jpg
"풀무원 풀스키친 살아숨쉬는 안심 콩나물, 4kg, 1개",,,11900,(100g당298원),오늘(일)도착 보장,30,595,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1618777264874074-69eef191-82bb-437a-aa9b-3139518bbae9.jpg
"풀무원 소가 콩나물, 4kg, 1개",,,15400,(100g당385원),오늘(일)도착 보장,26,770,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3591436547165720-4f38c18c-c35f-4063-9ce9-12f2a1426727.jpg
"풀스키친 국내산 무농약 새오리알태 옛콩나물, 1kg, 1개",,,7500,(100g당750원),오늘(일)도착 보장,55,375,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mdulz2wh/d8dfd503511e43d2b194a031613d733d.jpg
"곰곰 아삭한 콩나물, 3.5kg, 1박스",,,5340,(100g당153원),오늘(일)도착 보장,520,267,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3063062811662804-e15febfc-ab55-42ac-88b4-e4e03c416617.jpg
"곰곰 곱슬이 콩나물, 3.5kg, 1박스",,,5340,(100g당153원),오늘(일)도착 보장,398,267,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1813407893794614-4a4bd78d-7c36-498f-97fc-38bea36188c4.jpg
"맑은물에 아삭한 콩나물, 2kg, 1개",,,4800,(100g당240원),오늘(일)도착 보장,62,240,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/58dkmfrp/7e7e564d70e34c5891311f51f1e1243b.jpg
"맑은물에 곱슬이 콩나물, 1박스, 2kg",,,4800,(100g당240원),오늘(일)도착 보장,7114,240,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3122730423695073-9ebea966-4295-4a4f-949f-299246ca6130.jpg
"무농약 인증 맑은물에 참좋은 국산콩나물, 500g, 1개",,,2600,(100g당520원),오늘(일)도착 보장,71185,117,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5722023923757277-278b4c96-f351-481f-95d5-bb83e29343c5.jpg
