name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"폰타나 밀라노 크림치즈 로제 파스타소스, 1.5kg, 1개",24,14170,10680,(100g당712원),내일(일) 새벽도착 보장,705,534,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9116281930029262-4d15509d-f1e0-46c0-bf63-724ab21fe5ac.jpg
"풀무원 풀스키친 크림 스파게티 소스, 1kg, 1개",,,13000,"(100g당1,300원)",내일(일) 새벽도착 보장,100,650,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/26/17/5/420bdff2-f541-404e-890a-509fbe5e1fcf.jpg
"네니아 화이트 크림 소스 (냉동), 1kg, 1개",,,21300,"(100g당2,130원)",내일(일) 새벽도착 보장,2,1065,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3633018567574471-d3826946-2d49-4e29-bbcb-a51c96d86614.jpg
"고래미 홍게살 크림 파스타 소스, 1kg, 1개",,,11550,"(100g당1,155원)",내일(일) 새벽도착 보장,505,578,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3029781481044189-f4efa6d9-8ee7-4e0f-bebf-7976dc5cd991.jpg
"에쓰푸드 베이컨 크림 소스 (냉동), 2kg, 1개",,,19650,(100g당983원),내일(일) 새벽도착 보장,90,983,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2087696237343506-c61dc45a-d0be-4b02-9140-7ee64de430b0.jpg
"엠보그 사우어 크림, 1L, 1개",,,10200,"(100ml당1,020원)",내일(일) 새벽도착 보장,124,510,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/26/18/6/f4c34e3a-64c6-4809-9c78-767f5fb7be8f.jpg
"바른선 로제 스파게티 소스, 2kg, 1개",,,18890,(100g당945원),내일(일) 새벽도착 보장,19,945,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15039047955354451-02651b83-c8aa-4e0f-8b48-36496f2fd1b2.jpg
"풀무원 아티장 머쉬룸크림 소스, 145g, 1개",,,2980,"(100g당2,055원)",내일(일) 새벽도착 보장,43,149,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fri0mxvl/80149eb8e0fa42709be9f1745567d9a6.jpg
"풀무원 아티장 까르보나라 소스, 145g, 1개",,,2980,"(100g당2,055원)",내일(일) 새벽도착 보장,55,149,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uqbee6yh/f6906af971db48c6814e88c6cbcaf7ad.jpg
"폰타나 투움바 그릴드 머쉬룸 크림 파스타소스, 1개, 430g",,,5980,"(100g당1,391원)",내일(일) 새벽도착 보장,2357,299,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1489193249986683-a2e8791f-b787-40c4-94d9-6b16ad22c77a.jpg
"청정원 크랩&생크림 비스크로제 스파게티소스, 600g, 1개",,,4410,(100g당735원),내일(일) 새벽도착 보장,784,220,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/33391980341324-e6e2c45d-8038-4468-af8f-a29a8ef52f8d.jpg
"폰타나 밀라노 크림치즈 로제 파스타소스, 610g, 1개",5,5080,4790,(100g당785원),내일(일) 새벽도착 보장,1345,240,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/294524855832589-f3f645aa-709f-41f3-ad57-4126633a9f5c.png
"청정원 알프레도 생크림 앤 치즈 파스타소스, 350g, 1개",35,6950,4500,"(100g당1,286원)",내일(일) 새벽도착 보장,411,225,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/631443256836644-a33ed828-5de9-4849-9340-f51b1469eb59.jpg
