name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 국내산 흙생강, 200g, 1개",4,3980,3810,"(100g당1,905원)",내일(일) 새벽도착 보장,19379,190,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/99342143505448-9718627e-b451-4596-bf64-5df61a03a298.jpg
"곰곰 깐생강, 300g, 1개",,,6990,"(100g당2,330원)",내일(일) 새벽도착 보장,9148,350,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/476070261757175-073afc80-00f7-44e3-9c22-4bb9c9ba3f9d.jpg
"국내산 깐생강, 1kg, 1봉",,,19000,"(100g당1,900원)",내일(일) 새벽도착 보장,1346,950,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5226369199275678-a42c2132-633b-47d9-93d2-dcda78458a4f.jpg
"국내산 흙생강, 1kg, 1개",37,16750,10490,"(100g당1,049원)",내일(일) 새벽도착 보장,10006,525,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187509298459646-4e804214-4fdf-42e1-acc8-bca986b75e58.jpg
"깐생강 국내산, 1KG, 1개",12,17900,15750,"(100g당1,575원)",,60,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3872314191268772-7e9ac268-555f-44e5-be12-3b5894f55b14.jpg
"친환경 생강, 200g, 1봉",,,4480,"(100g당2,240원)",,23,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6917065332248276-74f3f4e2-85dc-4d19-b012-dfbecaa29162.jpg
"국내산 흙생강, 1kg, 1개",37,16750,10490,"(100g당1,049원)",,67,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187509298459646-4e804214-4fdf-42e1-acc8-bca986b75e58.jpg
"국내산 깐생강, 1kg, 1봉",,,19000,"(100g당1,900원)",,42,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5226369199275678-a42c2132-633b-47d9-93d2-dcda78458a4f.jpg
"국내산 흙생강, 500g, 1개",,,9510,"(100g당1,902원)",,122,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/187672257979914-5bd77a47-be57-446d-a30b-5b1f8ea064ad.jpg
"곰곰 깐생강, 200g, 1개",,,5990,"(100g당2,995원)",,75,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2111233479517075-f3c351eb-5020-4e01-9929-b8633a8e0788.jpg
"국내산 깐 생강, 50g, 1개",,,1790,"(100g당3,580원)",,25,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1739975624070042-27e6e151-33cb-4cb7-8e43-fb5837b10fed.jpg
"국내산 흙생강, 100g, 1개",7,2140,1990,"(100g당1,990원)",,111,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5420672118387579-2df73390-d5f1-480c-8538-46a3620408f1.jpg
"곰곰 깐생강, 1kg, 1개",,,19000,"(100g당1,900원)",,117,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/474303929515849-6eea1896-5930-4c35-81a6-2a2507b25ccf.jpg
"곰곰 깐생강, 200g, 1개",,,5990,"(100g당2,995원)",,131,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2111233479517075-f3c351eb-5020-4e01-9929-b8633a8e0788.jpg
"곰곰 깐생강, 300g, 1개",,,6990,"(100g당2,330원)",,132,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/476070261757175-073afc80-00f7-44e3-9c22-4bb9c9ba3f9d.jpg
"국내산 깐생강, 300g, 1봉",,,6990,"(100g당2,330원)",,91,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3925212663103698-de50d536-6506-4199-b6f1-1b1e99b91903.jpg
"곰곰 국내산 흙생강, 200g, 1개",4,3980,3810,"(100g당1,905원)",,612,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/99342143505448-9718627e-b451-4596-bf64-5df61a03a298.jpg
