name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 오색 파프리카, 5입, 1개",,,14490,"(1개당2,898원)",오늘(일)도착 보장,2395,725,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2856260339262240-b7183d62-7c30-4736-80d9-f618c24d3443.jpg
"못생겨도 맛있는 파프리카, 4개입, 1개",,,5490,"(1개당1,373원)",오늘(일)도착 보장,14428,275,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2026766789755401-2e8054c0-e7c3-44b1-b289-236505ce873e.jpg
"국내산 미니 파프리카, 200g, 1개",5,4590,4320,"(100g당2,160원)",오늘(일)도착 보장,20823,216,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7606632878212399-e47fbaa0-7f40-4bb2-9713-d789a53e0d16.jpg
"파프리카 혼합, 3개입, 1개",11,5040,4470,"(1개당1,490원)",오늘(일)도착 보장,48092,224,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3544513543678563-79f4fd78-95da-4b41-9c17-b9996bf141b8.jpg
"노랑 파프리카, 1개입, 1개",11,1680,1490,"(1개당1,490원)",오늘(일)도착 보장,3880,75,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9227787257595053-77371283-a75b-4a70-8179-ebc070475ab9.jpg
"곰곰 국내산 파프리카 혼합, 4개입, 1개",10,6640,5960,"(1개당1,490원)",오늘(일)도착 보장,51740,298,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5876195954697834-9610b242-22e3-4495-8489-df46c80a9e03.jpg
"국내산 스위트파피, 400g, 1팩, 1개입",,,6490,"(1개당6,490원)",,22,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1490631696547287-7e6d75cc-3499-4429-8e87-16ca06ab575b.jpg
"곰곰 국내산 GAP 노랑 파프리카, 1입, 1개",,,2900,"(1개당2,900원)",,106,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/533247903600431-fabe6537-ea2a-4016-9e5c-919760839228.jpg
"국내산 오색 파프리카, 1개",,,14490,"(1개당2,898원)",,114,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2856260339262240-b7183d62-7c30-4736-80d9-f618c24d3443.jpg
"노랑 파프리카, 1개",11,1680,1490,"(1개당1,490원)",,210,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9227787257595053-77371283-a75b-4a70-8179-ebc070475ab9.jpg
"국내산 GAP 파프리카, 1개",,,10990,"(1개당2,748원)",,390,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/87295120934999-96cfb816-7362-45e7-a0bf-de412ac077b3.jpg
"곰곰 국내산 파프리카, 1개",11,6720,5960,"(1개당1,490원)",,418,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7996151472338421-b3750c12-4edf-4bcb-bebc-2309ead43983.jpg
"빨강 파프리카, 1개, 1개입",11,1680,1490,"(1개당1,490원)",,4317,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7363666511382622-9eff5653-3e3e-4cc4-a0ab-0cee0c2265a2.jpg
"파프리카 혼합(대), 1개",,,4190,"(1개당2,095원)",,177,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3922980953151515-09cbe595-f026-4f89-b75f-a0c6d1cfe4a2.jpg
"국내산 GAP 파프리카, 2개입, 1개",,,4990,"(1개당2,495원)",,29954,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/87274289498084-2f55fa68-5c58-4d77-8cb2-990030c22c33.jpg
"곰곰 국내산 파프리카, 4개입, 1개",11,6720,5960,"(1개당1,490원)",,72199,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7996151472338421-b3750c12-4edf-4bcb-bebc-2309ead43983.jpg
