name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"GAP 팽이버섯, 1.5kg, 1개",,,5800,(100g당387원),내일(일) 새벽도착 보장,42070,290,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1900259180490441-c7294f28-aa43-436f-b74b-4f8a84a35b36.jpg
"친환경 국내산 팽이버섯, 1.5kg, 1개",,,5700,(100g당380원),내일(일) 새벽도착 보장,203456,285,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/267787161467773-5fbba473-97db-4e97-ba89-3a692d661c78.jpg
"국내산 친환경 갈색 팽이버섯, 400g, 1개",,,2640,(100g당660원),내일(일) 새벽도착 보장,10247,132,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/527254877202935-baed7255-a3c5-4539-b1ae-fcc12aaf975a.jpg
"곰곰 GAP 팽이버섯, 750g, 1개",,,2900,(100g당387원),내일(일) 새벽도착 보장,13510,145,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7045013077730713-99c24a9b-f329-43b4-84a5-11460a602a00.png
"GAP 팽이버섯, 360g, 1개",,,1390,(100g당386원),내일(일) 새벽도착 보장,13805,70,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13948681114659463-fb9f1b32-0779-4ba5-90bb-e625a9d8a16c.jpg
"친환경 국내산 팽이버섯, 360g, 1개",,,1390,(100g당386원),내일(일) 새벽도착 보장,1305,70,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1034464532873962-0994c2a0-fb4c-4dd0-bb3c-f1ae8328ecfe.jpg
"GAP 팽이버섯, 1개, 1.5kg",,,5800,(100g당387원),,262,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1900259180490441-c7294f28-aa43-436f-b74b-4f8a84a35b36.jpg
"GAP 팽이버섯, 360g, 1개",,,1390,(100g당386원),,358,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13948681114659463-fb9f1b32-0779-4ba5-90bb-e625a9d8a16c.jpg
"GAP 팽이버섯, 1개, 450g",,,1680,(100g당373원),,695,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1900072820396364-6f3de38f-d593-4e90-b798-d6cafdcb7c6e.jpg
"팽이버섯 국내산, 10개, 150g",,,4900,(100g당327원),,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/262754201529939-5db97b9c-6df6-493a-a2b9-c575a3ca80d7.jpg
"무농약 청도 팽이버섯, 360g, 1봉",,,1290,(100g당358원),,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/579860506083520-53d7c9cf-b735-477d-9213-380dca59567a.jpg
"친환경 국내산 팽이버섯, 1개, 5.1kg",,,18330,(100g당359원),,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/763585421621663-be30734e-1f70-4da9-b726-20270b02bfb2.jpg
"갈색 팽이버섯, 250g, 1봉",,,1490,(100g당596원),,3,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13251071443152762-16607d87-ffa4-4b7d-b9e2-896530bf9a66.jpg
