name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"목우촌 주부9단 프랑크 소시지, 500g, 2개",9,13250,11960,(10g당120원),오늘(일)도착 보장,47635,598,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/15/18/7/a9a42f8e-02ca-4732-ab70-d92d48eaba62.jpg
"목우촌 주부9단 비엔나 소시지, 700g, 1개",12,10640,9300,(10g당133원),오늘(일)도착 보장,58694,465,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8405346566103215-7a0cdffd-bfcb-4096-8432-dbae894a870c.jpg
"목우촌 주부 9단 살코기햄, 600g, 1개",4,8390,7990,(10g당133원),오늘(일)도착 보장,15831,400,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/02/14/3/bb20eae1-7b54-40de-8964-7d480f812657.jpg
"곰곰 칼집 비엔나 소시지, 1kg, 1개",3,7650,7360,(10g당74원),오늘(일)도착 보장,32141,368,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4391240970849836-14f5f985-60d2-4f05-8d44-1ea61de489c4.jpg
"목우촌 신선한 샌드위치 햄, 120g, 2개",,,4800,(10g당200원),오늘(일)도착 보장,8585,240,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3281269234277659-f2391a1b-c7ee-422f-9445-2c680b14c4d1.jpg
"롯데햄 의성 마늘 비엔나 소시지, 160g, 3개",22,8900,6880,(10g당143원),오늘(일)도착 보장,7310,344,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/364797405128546-245a9250-ce7b-4853-a2bf-6aedaa6d2955.jpg
"쟌슨빌 오리지날 스모크 소시지, 360g, 1개",,,9500,(10g당264원),오늘(일)도착 보장,16648,475,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1226063010987562-da68b4bd-43f7-4438-86c5-b16f20577513.jpg
"곰곰 샌드위치 햄, 100g, 3팩",6,5990,5580,(10g당186원),오늘(일)도착 보장,58338,279,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15601368242152-f454f1e7-fd3f-42a3-8439-2b638cd4eb56.jpg
"청정원 리치부어스트, 1kg, 1개",29,23630,16600,(10g당166원),오늘(일)도착 보장,29901,830,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4797225072051947-41922e60-6e25-4edb-826d-b8d35026bff9.jpg
"롯데햄 맛있는 비엔나 소시지, 1kg, 1개",22,9980,7740,(10g당77원),오늘(일)도착 보장,8503,387,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/384265164440937-9f76905b-2380-463a-a511-c9d95417e5ae.jpg
