name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"샘표 양조간장701 1.7L + 맛간장 500ml, 2.2L, 1세트",26,18910,13880,,내일(일) 새벽도착 보장,1957,694,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_2_max3k/d033/d7b21027eb7863da87f41a764d95b4a5fbdd6c4354f51ae8684037a5cd8a.jpg
"청정원 햇살담은 우리콩 간장, 840ml, 1개",11,9980,8840,"(100ml당1,052원)",내일(일) 새벽도착 보장,648,442,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_0_max3k/67e3/4b03e1f8ae96538068ba924e1a70fa6b5105f2478717833190995069277f.jpg
"샘표 맑은 조선간장, 930ml, 1개",24,10530,8000,(100ml당860원),내일(일) 새벽도착 보장,3053,400,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/801024297985821-00a90d3a-03a4-4777-8710-8ad9887cb9c5.png
"청정원 햇살담은 두번달여 더 진한 진간장 골드, 1.7L, 1개",30,10270,7120,(100ml당419원),내일(일) 새벽도착 보장,1097,356,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1071458413880038-5f4c0928-20ac-42ba-b436-837b906fa48e.jpg
"담가 우리콩 진간장, 420ml, 1개",,,9300,"(100ml당2,214원)",내일(일) 새벽도착 보장,1017,440,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1210970243907849-20e40832-137e-4cdb-93d5-d01ff138d8d5.jpg
"신앙촌 양조 생명물간장, 1.8L, 1개",3,18000,17300,(100ml당961원),내일(일) 새벽도착 보장,1539,865,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1834318576897022-89793cf0-daf5-4352-a972-38bbf63ea689.jpg
"하남 비빔냉면 양념장, 500g, 1개",,,10900,"(100g당2,180원)",내일(일) 새벽도착 보장,587,545,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1213421543126139-68acbc61-445d-4e35-ba1d-9b26ec0ca5cf.jpg
"기꼬만 코이다시 4배 농축 혼쯔유, 1.8L, 1개",10,18400,16490,(100ml당916원),내일(일) 새벽도착 보장,1003,825,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_4_max3k/2838/bf7d8a756e45d4ccdef801a9650e9b8b78eeb2612a61916868a6f576dbf3.jpg
"샘표 양조간장 701, 860ml, 1개",25,10610,7890,(100ml당917원),내일(일) 새벽도착 보장,2083,395,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_6_max3k/65f6/7f4e0c8a44d5b4877479405e085a32234fc76c5449f357d6980af1b86520.jpg
"주비푸드 생와사비 간장소스, 170g, 4입",9,19200,17320,"(100g당2,547원)",내일(일) 새벽도착 보장,1407,866,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/11/18/17/0/0e183ab4-991e-4701-bc17-14c046460e5d.jpg
"담가 우리콩 전통간장, 900ml, 1개",,,9000,"(100ml당1,000원)",내일(일) 새벽도착 보장,36,405,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1309358378269063-7fe2a0de-d68b-4028-aaff-903ae0913097.jpg
