name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 수미감자, 5kg, 1개",17,19360,15990,(100g당320원),내일(일) 새벽도착 보장,52,800,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3106091135795965-46ba8059-b267-4073-86ea-3de112970b84.jpg
"국내산 감자(햇), 3kg, 1개",59,16350,6600,(100g당220원),내일(일) 새벽도착 보장,1772,330,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/118372752016038-67c3e31f-8781-4abc-b7e5-1fdd95cb80f4.jpg
"곰곰 밀양 수미 감자, 2kg, 1개",27,9800,7090,(100g당355원),내일(일) 새벽도착 보장,20388,355,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1728271386015686-107eee19-a33f-4011-93dd-44fabc3fa09f.jpg
"국내산 감자, 5kg, 1개",39,16500,9980,(100g당200원),내일(일) 새벽도착 보장,110,499,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3753397004372255-07e4bfd7-f251-4476-aa91-4341c89c5c33.jpg
"친환경 인증 감자와 고구마, 2kg, 1개",,,14980,(100g당749원),내일(일) 새벽도착 보장,5,749,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/27815713496811-f134e327-93e4-4ffa-b28d-1be5f213f099.jpg
"곰곰 친환경 감자+당근+양파, 1.2kg, 1개",6,6490,6090,(100g당508원),내일(일) 새벽도착 보장,14694,305,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1945593758493514-adde468b-13b7-466c-b646-e26c307f7542.jpg
"곰곰 감자, 5kg, 1개",31,19000,12990,(100g당260원),내일(일) 새벽도착 보장,14262,650,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1124051338995339-a6fdc568-8703-4180-b7f9-e8c113a218b8.jpg
"국내산 친환경 감자, 2kg, 1개",24,9490,7120,(100g당356원),내일(일) 새벽도착 보장,4780,356,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/63933324573262-1674e56d-a3d3-48b8-aea8-d6fac8b7de5a.jpg
"강원도 감자, 3kg, 1개",22,12900,9990,(100g당333원),내일(일) 새벽도착 보장,244,500,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3753350147914166-4101d20d-7f16-4899-8419-da78e9288565.jpg
"국내산 친환경 깐감자, 500g, 1개",33,7480,4990,(100g당998원),내일(일) 새벽도착 보장,3143,250,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/99689203810670-c12549d4-a69e-4dce-a295-5475cc4cb754.jpg
"국내산 감자(특), 1kg, 1개",30,6790,4690,(100g당469원),내일(일) 새벽도착 보장,12610,235,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1129432733020-df6dc293-4698-4779-925b-bc7560c2b0cc.jpg
"밀양 감자(햇), 5kg, 1개",37,23990,14990,(100g당300원),내일(일) 새벽도착 보장,6692,750,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/27891000960263-2c225b50-6a2d-4696-ba33-1c9595c6914c.jpg
"곰곰 국내산 깐감자, 800g, 1개",,,4990,(100g당624원),내일(일) 새벽도착 보장,7126,250,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4446142216197857-2d30c056-61c5-469e-bc9d-197783cc3579.jpg
