name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 맛있는 꿀고구마(햇), 1.5kg, 1개",,,10390,(100g당693원),내일(일) 새벽도착 보장,136411,520,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/699379267485090-81f87b36-5c56-4e35-99ac-6e0257442de1.jpg
"곰곰 한입밤고구마, 500g, 1개",,,2990,(100g당598원),내일(일) 새벽도착 보장,22667,150,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/91186387801236-5622aed2-5cd4-413b-b3dd-5e334aeb89ea.jpg
"해남 화산농협 꿀고구마, 1.5kg, 1박스",,,10990,(100g당733원),내일(일) 새벽도착 보장,63226,550,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/162423388119389-9f36de11-c752-4aae-9c07-e1f7fb027029.jpg
"해들녘 무농약 고창황토 고구마, 1.5kg(특상), 1개",,,9750,(100g당650원),내일(일) 새벽도착 보장,21121,488,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/05/14/4/91178cf0-3e20-40b3-a9cd-ada5673eed62.jpg
"곰곰 농협 해남 화산 꿀맛 한입 고구마, 1.5kg, 1개",,,6990,(100g당466원),내일(일) 새벽도착 보장,5152,350,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/92669830213950-09684e36-f094-4671-89e5-95a58b933208.jpg
"곰곰 맛있는 꿀고구마 한입사이즈, 1.5kg, 1개",14,7600,6490,(100g당433원),내일(일) 새벽도착 보장,112,325,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/27713912842154-36cfbaae-a223-4b68-8271-7477bef0039f.jpg
"맛젤 꿀밤고구마, 1.5kg(한입), 1봉",,,6990,(100g당466원),내일(일) 새벽도착 보장,19977,350,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/554904389506679-9c76d5f6-9491-4666-bd0d-f8972d4dbf3f.jpg
"한입 호박고구마, 500g, 1개",,,3390,(100g당678원),내일(일) 새벽도착 보장,4495,170,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/b104/cac9bd617fa8c8233b3f4378a2c1cb7299f7dae5a7fb1ee8c3f4964d5226.jpg
"못생겨도 맛있는 꿀고구마, 1.5kg, 1개",24,8720,6590,(100g당439원),내일(일) 새벽도착 보장,4226,330,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7105336166683826-1e0726fd-b7d5-41e6-b87d-0298cf45d592.jpg
"해남 꿀고구마, 5kg(130g~300g), 1박스",29,22000,15490,(100g당310원),내일(일) 새벽도착 보장,1624,775,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1951512192193100-0a909957-1f40-4d8c-b797-4132357b5a64.jpg
"곰곰 맛있는 밤고구마(햇), 1박스, 1.5kg",22,8990,6980,(100g당465원),내일(일) 새벽도착 보장,10210,349,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2691618379657646-adee3084-5c12-4a44-8d06-a3f421688f48.jpg
"국내산 꿀고구마, 1.4kg, 1봉",,,7990,(100g당571원),내일(일) 새벽도착 보장,1473,400,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/443440890293298-5cf956b7-9f2f-4936-9dbe-3cb82a2bfc53.jpg
"곰곰 국내산 호박고구마, 1.5kg, 1개",,,10990,(100g당733원),내일(일) 새벽도착 보장,49373,550,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15225716903534-47f3e504-4a3c-4000-ac4f-941bf131b58b.jpg
"곰곰 국내산 꿀고구마, 3kg, 1개",,,16290,(100g당543원),내일(일) 새벽도착 보장,18558,815,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6757775414368155-d4a466a6-bc08-4cee-8bd3-a2ebc4fb52fa.jpg
"곰곰 한입 꿀고구마, 800g, 1개",13,4590,3990,(100g당499원),내일(일) 새벽도착 보장,297,200,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/101060758167578-85f99b72-490b-48cc-b2ce-4c3708825614.jpg
"맛있는 꿀고구마, 1kg, 1봉",1,6590,6490,(100g당649원),내일(일) 새벽도착 보장,574,325,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3866544762081-73eeb51d-0d34-4e6b-a8f0-a65038b00245.jpg
"곰곰 고창 꿀고구마, 900g, 1개",,,6690,(100g당743원),내일(일) 새벽도착 보장,219,335,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/430651035042056-5e1e6b0a-73e9-4872-9b46-3aae6ead77a7.jpg
"화덕에 구운 냉동 통고구마 (냉동), 1kg, 1개",,,14730,(10g당147원),내일(일) 새벽도착 보장,8733,736,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_5_max3k/8c26/12a68a729e81a93e27ebb803cbba891770aaa080de24bfabfc0e61cf6a4b.jpg
"곰곰 한입 꿀고구마, 900g, 1봉",,,4690,(100g당521원),내일(일) 새벽도착 보장,781,221,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/44954726882503-e3a9792d-f6de-423d-bc60-0656d000cb3f.jpg
