name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"곰곰 노르웨이 간고등어살, 1kg, 1개",23,16190,12450,"(100g당1,245원)",내일(일) 새벽도착 보장,88219,623,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/86996202668112-d05af764-0d5a-4afa-8db1-9e833298b85e.jpg
"제주어부 제주 간고등어 (냉동), 5팩, 120g",,,13900,"(100g당2,317원)",내일(일) 새벽도착 보장,1257,695,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/l6bnowwp/c39d93f40278468280c2d5d08f20b1e2.jpg
"청어당 안동 간고등어 (냉동), 100g, 10개",4,12190,11690,"(100g당1,169원)",내일(일) 새벽도착 보장,13564,585,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1849903174423332-93cebbc7-d90c-4fd3-b96f-e81e49096735.jpg
"부산 13번 중매인 생물고등어, 1kg(중, 4~5미), 1개",37,26200,16490,"(100g당1,649원)",모레(월) 새벽도착 보장,2287,675,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/127951852827643-7ce40701-ab83-4a34-89b9-de70153bdc0e.jpg
"삼선구운고등어 (냉동), 120g, 3팩",,,12350,"(100g당3,431원)",내일(일) 새벽도착 보장,16082,618,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1253889649491757-66fd0e1a-205d-4b64-b72c-3d1e35d9ee13.jpg
"제주 손질 고등어 (냉동), 150g, 4개",12,14510,12760,"(100g당2,127원)",내일(일) 새벽도착 보장,14117,638,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749649598233626-a8e4d390-ad46-46e3-b71c-ba86d1889319.jpg
"비비수산 제주 손질 은갈치 3마리 (냉동), 520g(중), 1팩",35,18220,11750,"(100g당2,260원)",내일(일) 새벽도착 보장,4233,578,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1855329380095302-7a7cd027-c345-40ea-8d54-001887320b54.jpg
"통통 노르웨이 고등어살 (냉동), 1kg, 1팩",18,16190,13150,"(100g당1,315원)",내일(일) 새벽도착 보장,19548,658,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/875644509377189-1631a366-f8e5-46d1-acef-78e8cc803b49.jpg
"해슬로 모로코 손질 갈치 (냉동), 1개, 1kg(대)",,,11990,"(100g당1,199원)",내일(일) 새벽도착 보장,4329,595,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/30/13/6/f8a16481-0957-419b-b77f-a932e0db655b.jpg
"사랑해어 노르웨이 고등어 필렛 (냉동), 170g 이상(특대), 2개",29,9900,6980,"(100g당2,053원)",내일(일) 새벽도착 보장,3136,349,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1744637175502733-fa0bbad3-18f5-4616-9dc7-4aad52259645.jpg
"부산 13번 중매인 생물 조림용 고등어 중 (3미), 900g(3미), 1개",35,23380,14990,"(100g당1,666원)",모레(월) 새벽도착 보장,4610,625,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/01/28/11/1/3e76d8d0-64e2-4f18-8831-3710543ddc2d.jpg
