name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"국내산 꽈리고추, 1kg, 1개",,,16410,"(100g당1,641원)",오늘(일)도착 보장,34743,820,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/984369074401487-85dd51d8-9028-4190-a1d4-e34cefcad789.jpg
"국내산 오이맛 고추, 1kg, 1개",,,12250,"(100g당1,225원)",오늘(일)도착 보장,64102,613,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/984754875758193-29f90fcc-c435-449a-ab45-28b23aa13b35.jpg
"국내산 청양고추, 2kg, 1박스",,,19750,(100g당988원),오늘(일)도착 보장,7,988,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/827993947099698-ad945d5a-faca-4114-9c89-808fc2baf4fb.jpg
"나무새 다진 홍고추 (냉동), 600g, 1개",,,12900,"(100g당2,150원)",오늘(일)도착 보장,477,645,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3776594276828317-b6c8c141-463f-429d-84f6-91364e82c5cf.jpg
"우리땅 유기농 인증 간편 청양고추 (냉동), 120g, 1통",,,3690,"(100g당3,075원)",오늘(일)도착 보장,855,185,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/12/14/6/2ffbd187-5fd2-4d15-89f8-8a0a3bdd2b77.jpg
"농우 간편뚝딱 꽈리고추 (냉동), 1kg, 2개",,,12900,(100g당645원),오늘(일)도착 보장,76,645,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/18/11/3/55e817e9-ac41-4548-9a56-f48a9ca1be3c.jpg
"나무새 다진청양고추 (냉동), 400g, 1개",,,9500,"(100g당2,375원)",오늘(일)도착 보장,131,475,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1684490144885300-052fe4c2-aa74-41ad-9e21-5acc5c16a93a.jpg
"대구농산 국산 고추씨, 1kg, 1개",,,9980,(100g당998원),오늘(일)도착 보장,2657,499,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/25/9/9/7a6fe613-dfa3-4a34-b2f0-01514623ccff.jpg
"곰곰 국내산 친환경 청양고추, 300g, 1개",13,5700,4950,"(100g당1,650원)",오늘(일)도착 보장,14827,248,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/353917217844483-394a14e4-0423-4bc5-b006-dcd2173dfb4c.jpg
"국내산 유기농 오이고추, 300g, 1개",8,5480,5000,"(100g당1,667원)",오늘(일)도착 보장,1529,250,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1253574794897714-7fac7527-e394-487a-9c77-e93bd2d5aea0.jpg
