name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"목우촌 국내산 소고기 갈비살 구이용 (냉장), 300g, 1팩",18,35990,29250,"(100g당9,750원)",내일(일) 새벽도착 보장,4814,1463,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/996120834784370-ee75c04c-e292-4958-8ced-eacfc67972c9.jpg
"횡성명품한우 갈비살 1+등급 (냉장), 200g, 1개",12,38900,33990,"(100g당16,995원)",내일(일) 새벽도착 보장,1426,1700,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/05/18/1/3a4f8a80-ad4c-4349-b50f-39cf29c66f96.jpg
"전통참한우 1+등급 갈비살 구이용 (냉장), 200g, 1개",20,36900,29400,"(100g당14,700원)",내일(일) 새벽도착 보장,439,1470,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6415464070014360-6f2437a4-7fcd-447d-9d91-2bae423323c7.jpg
"백년미소 국내산 소고기 꽃갈비살 2등급 구이용 (냉장), 300g, 1개",26,49990,36990,"(100g당12,330원)",내일(일) 새벽도착 보장,99,1850,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/19/0/636ca3de-418a-42bd-aef0-8aa45973f427.jpg
"횡성명품한우 꽃갈비살 1+등급 (냉장), 200g, 1개",15,51990,43800,"(100g당21,900원)",내일(일) 새벽도착 보장,1718,2190,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/05/18/6/7f5c34c4-2f80-4ac4-80ae-ebcb802b9ccc.jpg
"이로우 무항생제 인증 국내산 소고기 갈비살 2등급 구이용 (냉장), 200g, 1개",,,19500,"(100g당9,750원)",내일(일) 새벽도착 보장,1,975,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ptn2e2fu/15d2a7c6ad1e457fa748d587ddb2470f.jpg
"설로인 한우 꽃갈비살 1등급 (냉장), 200g, 1개",,,56420,"(100g당28,210원)",내일(일) 새벽도착 보장,145,2821,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5290135232703485-bc0da81d-c67b-4111-8cbb-4f06f23c744d.jpg
"횡성한우 1++등급 갈비살 구이용 (냉장), 200g, 1개",,,37950,"(100g당18,975원)",내일(일) 새벽도착 보장,334,1748,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/02/11/6/50cc6aab-1213-4a9e-a32a-0901397e50cc.jpg
"우미학 한우 갈비살 1++등급 (7) 구이용 200g + 깍두기볶음밥용 깍두기장 150g 세트 (냉장), 1세트",35,54990,35700,,내일(일) 새벽도착 보장,33,1785,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/18/15/6/e1835932-8bec-468b-b3dd-6f8ec4b9e8d8.jpg
"목우촌 한우 정직한목장 갈비살 구이용 1등급 (냉장), 200g, 1개",19,47300,37900,"(100g당18,950원)",내일(일) 새벽도착 보장,1,1895,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mmolwgs0/1904b83bad2f449a9c36a24ff3679a12.jpg
"농협안심한우 갈비살 1+등급 구이용 (냉장), 200g, 1개",23,45900,34900,"(100g당17,450원)",내일(일) 새벽도착 보장,24,1745,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4186680672635507-71842c88-2f53-4b45-b6f0-4396f150bee5.jpg
"근본육 한우 갈비살 1+등급 구이용 (냉장), 200g, 1개",11,28990,25780,"(100g당12,890원)",내일(일) 새벽도착 보장,45,1289,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/04/11/2/7c58e690-b457-4f40-ad72-b80cfa09173c.jpg
"농협안심한우 갈비살 1등급 구이용 (냉장), 200g, 1개",24,44900,33900,"(100g당16,950원)",내일(일) 새벽도착 보장,38,1695,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4191029585988451-c1285dea-b87b-4fb9-9f17-e17f83173176.jpg
"근본육 한우 1등급 갈비살 구이용 (냉장), 200g, 1팩",12,26990,23590,"(100g당11,795원)",내일(일) 새벽도착 보장,112,1180,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/04/16/7/eeb54f01-3b25-45c4-a196-59f5f41114a7.jpg
"좋은소식 숙성한우 갈비살 구이용 (냉장), 1개, 200g",,,22460,"(100g당11,230원)",내일(일) 새벽도착 보장,4,1123,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1751241799963371-6f1aa985-48d1-41f1-bbd6-02a321c62dad.jpg
"좋은소식 한우 갈비살 1등급 구이용 (냉장), 200g, 1개",14,32990,28310,"(100g당14,155원)",내일(일) 새벽도착 보장,52,1415,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/23/15/9/75c7fe77-19f2-4f32-9b1c-592472c325d1.jpg
"보리육촌 국내산 소고기 참갈비살 2등급 구이용 (냉장), 1개, 250g",6,25990,24370,"(100g당9,748원)",내일(일) 새벽도착 보장,88,1219,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2096558625118095-85bb2d45-fde9-4896-8ef4-1460e9ed1ee5.jpg
"설로인 한우 갈비살 1등급 (냉장), 200g, 1팩",,,45240,"(100g당22,620원)",내일(일) 새벽도착 보장,95,2262,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4637779059961000-18f7b593-bfd2-4c7c-9bb9-f386a3f160b1.jpg
"백년미소 국내산 소고기 갈비살 2등급 구이용 (냉장), 300g, 1개",27,42990,30990,"(100g당10,330원)",내일(일) 새벽도착 보장,46,1550,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3043139454995108-1c61da19-9a53-49ac-959a-389214ef0f23.jpg
"참연한우 어린암소 갈비살 1등급 구이용 (냉장), 200g, 1개",,,31200,"(100g당15,600원)",내일(일) 새벽도착 보장,7,1560,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cuecgtvp/ce3ea56c754c457e9417110e7016767f.jpg
"보리육촌 국내산 소고기 진갈비살 2등급 구이용 (냉장), 1개, 250g",22,34990,27250,"(100g당10,900원)",내일(일) 새벽도착 보장,53,1363,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1138191791246135-c91c8616-506e-44f4-b87c-ed6602cc8b34.jpg
"보리육촌 국내산 소고기 진갈비살 2등급 스테이크용 (냉장), 250g, 1개",20,29990,23990,"(100g당9,596원)",내일(일) 새벽도착 보장,7,1200,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/05/14/2/460f582e-60f9-487a-9117-fb3a60f136ef.jpg
