name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"전통참한우 2등급 국거리용 (냉장), 600g, 1개",5,19990,18990,"(100g당3,165원)",내일(일) 새벽도착 보장,10459,945,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hptk1m9v/d13f64d009484899aa07cf491bff8bc7.jpg
"농협안심한우 정육 세절 1등급 국거리용 (냉장), 300g, 1팩",42,22900,13140,"(100g당4,380원)",내일(일) 새벽도착 보장,15495,652,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3734312040478778-4ffc3946-3f87-4c14-94a7-6ec6c9cf73d8.jpg
"목우촌 국내산 소고기 세절 국거리용 (냉장), 300g, 1개",45,19990,10990,"(100g당3,663원)",내일(일) 새벽도착 보장,3285,550,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2342257803551620-47bcd0e5-a9d4-48aa-a538-3c01b78117b3.jpg
"육교시 한우 1등급 국거리용 덩어리 (냉장), 300g, 1개",10,14640,13140,"(100g당4,380원)",내일(일) 새벽도착 보장,251,657,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/27/16/1/f90d6b40-fdfa-4bd3-863b-15d445602d2a.jpg
"수원축산농협 한우 미절단 1+등급 국거리용 (냉장), 300g, 1팩",2,14040,13740,"(100g당4,580원)",내일(일) 새벽도착 보장,110,687,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4250007547771024-bfc5ac50-5fea-4e85-b962-8a05962a4359.jpg
"설로인 한우 1++등급 (7) 국거리용 (냉장), 300g, 1개",,,14980,"(100g당4,993원)",내일(일) 새벽도착 보장,4699,744,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/363650832997000-d4e42d36-b642-4204-8a01-be1678863a7c.jpg
"횡성한우 1++ 국거리용 (냉장), 300g, 1개",22,28900,22390,"(100g당7,463원)",내일(일) 새벽도착 보장,9294,1000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/465860985086525-8b66b617-892e-40a7-9398-3ecf21285f53.jpg
"건화 1+ 한우 국거리용 세절 (냉장), 300g, 1개",59,29900,12190,"(100g당4,063원)",내일(일) 새벽도착 보장,9539,600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/08/11/7/d0c20b24-0ec9-4b47-97c0-1b7683ac79af.jpg
"THE 신선한 한우 1등급 국거리용 (냉장), 300g, 1개",25,13190,9870,"(100g당3,290원)",내일(일) 새벽도착 보장,258,494,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/565091989002499-d0ff9ecc-10f9-427c-a6ff-b8a807a8c8f3.jpg
"목우촌 한우 정직한목장 1++등급(7이상) 국거리용 세절 (냉장), 300g, 1개",19,24700,19800,"(100g당6,600원)",내일(일) 새벽도착 보장,1,990,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8183329768990338-ba6d9ede-c00b-46de-9625-2c87c4b1880c.jpg
"설성목장 무항생제 인증 한우 1++등급 세절 국거리용 (냉장), 300g, 1개",27,29900,21790,"(100g당7,263원)",내일(일) 새벽도착 보장,2159,990,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/292884942827983-78dcea67-64d3-4637-bb3f-3a7c8bfc60a6.jpg
"곰곰 한우 1등급 국거리용 (냉장), 300g, 1개",53,25590,11900,"(100g당3,967원)",내일(일) 새벽도착 보장,1616,595,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/929488978533736-2f7ceef1-e092-4ee7-89dc-96ac09638fde.jpg
"남도화우 한우 암소 2등급 국거리용 (냉장), 300g, 1개",,,15990,"(100g당5,330원)",내일(일) 새벽도착 보장,36,800,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/16/13/3/4408a5b5-114d-446e-8864-e066dc811b5f.jpg
"화담우 한우 1+등급 국거리용 (냉장), 300g, 1팩",34,18170,11900,"(100g당3,967원)",내일(일) 새벽도착 보장,76,570,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/gu5kbll3/f746da5611cd44a68672640e7fbcf547.jpg
