name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"목우촌 국내산 소고기 부채살 구이용 (냉장), 300g, 1개",27,22990,16650,"(100g당5,550원)",내일(일) 새벽도착 보장,15793,833,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/922988457962039-d3d3982f-a8cd-4203-ad15-f4a3776ae22b.jpg
"횡성한우 1등급 부채살 구이용 (냉장), 200g, 1팩",32,39990,26990,"(100g당13,495원)",내일(일) 새벽도착 보장,235,1350,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/984654565091917-3aeceea1-a309-4434-982b-30db160a988c.jpg
"건화 1+ 한우 부채살 (냉장), 300g, 1개",,,39010,"(100g당13,003원)",내일(일) 새벽도착 보장,139,1950,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/08/11/9/8b6a021c-a58a-4e47-8e2a-e91c49b60fc0.jpg
"육감하누 1등급 부채살 구이 (냉장), 200g, 1개",34,30640,19990,"(100g당9,995원)",내일(일) 새벽도착 보장,6,1000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cqabot2o/a001676477d9488abd81d7967cfd93aa.jpg
"목우촌 한우 정직한목장 부채살 구이용 1등급 (냉장), 200g, 1개",19,29500,23650,"(100g당11,825원)",내일(일) 새벽도착 보장,5,1183,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/99qsfmvw/cc5c9acaefc54deda0a4d0286c57c618.jpg
"THE 신선한 호주산 소고기 부채살 (냉장), 300g, 1개",23,11590,8870,"(100g당2,957원)",내일(일) 새벽도착 보장,85,444,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1138068191489954-84d3786c-b33e-46c5-b9c3-5f86a96f99af.jpg
"보리육촌 국내산 소고기 부채살 2등급 구이용 (냉장), 250g, 1팩",36,21990,13870,"(100g당5,548원)",내일(일) 새벽도착 보장,97,694,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/svfjjh43/de38c3e93c9e44bdb45f826a27b84d63.jpg
"농협안심한우 부채살 1등급 구이용 (냉장), 200g, 1팩",33,38900,25900,"(100g당12,950원)",내일(일) 새벽도착 보장,204,1295,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4870873972591121-365cef5b-82e4-4413-8df1-0462b9d9d1bc.jpg
"횡성한우 1+등급 부채살 구이용 (냉장), 200g, 1개",21,42990,33800,"(100g당16,900원)",내일(일) 새벽도착 보장,375,1690,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2958667150024132-11d21d0c-176a-4177-9990-1be8509d4d91.jpg
"농협안심한우 부채살 1+등급 구이용 (냉장), 200g, 1개",37,39900,25000,"(100g당12,500원)",내일(일) 새벽도착 보장,162,1250,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5490612104806151-7d665f47-0444-4510-8ef6-1e476612b8a7.jpg
"푸드어셈블 클라우드 스테이크, 1개, 546g",,,19900,"(100g당3,645원)",내일(일) 새벽도착 보장,106,995,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1064060410266927-25d8f400-384a-4555-9abe-23963093e3ff.jpg
"설성목장 무항생제 인증 한우 부채살 1등급 구이용 (냉장), 200g, 1개",25,38990,28990,"(100g당14,495원)",내일(일) 새벽도착 보장,212,1450,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/804944724293377-0190f918-0e7f-4cfa-a949-bccf268c7ca5.jpg
"다맛나go 국내산 소고기 부채살 2등급 구이용 (냉장), 300g, 1개",,,20850,"(100g당6,950원)",내일(일) 새벽도착 보장,14,1043,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/yakwprlx/df65f51ebb9d42129260a10efe48f6b9.jpg
"전통참한우 1+등급 부채살 구이용 (냉장), 200g, 1개",16,34900,28990,"(100g당14,495원)",내일(일) 새벽도착 보장,269,1450,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6415601625632805-82d9f9ea-8f43-43d2-a2ae-151e2ad0fd50.jpg
"횡성한우 1++등급 (7이상) 부채살 구이용 (냉장), 200g, 1개",,,36800,"(100g당18,400원)",내일(일) 새벽도착 보장,257,1665,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/02/11/1/e5395ee2-8fe0-46ec-a2c0-96844c0f7418.jpg
"생생한우 1등급 부채살 구이용 (냉장), 200g, 1개",,,29990,"(100g당14,995원)",내일(일) 새벽도착 보장,110,1500,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/21/19/5/f85a6f9e-d1c1-4394-a669-14b7f5f72010.jpg
"동원 금천 국내산 소고기 부채살 구이용 (냉장), 300g, 1개",30,29990,20990,"(100g당6,997원)",내일(일) 새벽도착 보장,182,1050,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/08/09/17/2/505cee15-ed3e-4d36-8a40-05ac4ff92cc5.jpg
"목우촌 정직한목장 한우 부채살 1+등급 구이용 (냉장), 200g, 1팩",19,41100,32900,"(100g당16,450원)",내일(일) 새벽도착 보장,1,1645,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2437942784167567-b54fc93a-da73-47fa-93b2-86ea268e40b6.jpg
"육교시 한우 부채살 1등급 구이용 (냉장), 150g, 1개",23,29990,22990,"(100g당15,327원)",내일(일) 새벽도착 보장,2,1150,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/15/10/6/02e2a31e-0991-4ac3-bcc1-9271d826ecd1.jpg
"녹색한우 무항생제인증 1++등급 BMS7이상 부채살 구이용 (냉장), 180g, 1개",,,29280,"(100g당16,267원)",내일(일) 새벽도착 보장,61,1464,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/15/15/3/c7c5a75d-0fa9-4779-8f54-2f1fb59746a7.jpg
"우미학 한우 부채살 1++등급(7이상) 구이용 200g + 깍두기볶음밥용 깍두기장 150g 세트 (냉장), 1세트",39,59990,36000,,내일(일) 새벽도착 보장,31,1800,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/16/14/9/b3e37f29-8b5f-4b1a-9cc1-eb3afe780793.jpg
"동원 금천한우 부채살 1등급 구이용 (냉장), 200g, 1개",33,33990,22600,"(100g당11,300원)",내일(일) 새벽도착 보장,34,1130,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/57842505444381-a8c044e6-7525-4a40-bd29-ec636670d190.jpg
"참연한우 어린암소 부채살 1등급 구이용 (냉장), 200g, 1개",,,23000,"(100g당11,500원)",내일(일) 새벽도착 보장,2,1150,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qtzm33ng/195f92f24f814b398ae826d3145234b4.jpg
"곰곰 부채살 (냉장), 200g, 1개",,,10290,"(100g당5,145원)",내일(일) 새벽도착 보장,295,515,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/624868671200651-8b49825c-05e4-4767-9454-e7b691fedcb1.jpg
"미국산 척아이롤 부채 반반팩 (냉장), 360g, 1개",,,13200,"(100g당3,667원)",내일(일) 새벽도착 보장,,660,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/z9ywngmm/3c8996e0667e47618e45408917d40102.jpg
"목우촌 정직한목장 한우 부채살 1+등급 구이용 (냉장), 200g, 1팩",,,32900,"(100g당16,450원)",,5,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2437942784167567-b54fc93a-da73-47fa-93b2-86ea268e40b6.jpg
"목우촌 한우 정직한목장 부채살 구이용 1등급 (냉장), 200g, 1개",,,23650,"(100g당11,825원)",,14,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/99qsfmvw/cc5c9acaefc54deda0a4d0286c57c618.jpg
"미국산 척아이롤 부채 반반팩 (냉장), 360g, 1개",,,13200,"(100g당3,667원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/z9ywngmm/3c8996e0667e47618e45408917d40102.jpg
"서경한우 암소 부채살 1등급 (냉장), 200g, 1개",,,23850,"(100g당11,925원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/07/25/16/2/05295dfc-0079-4902-8df5-d91b42c972ec.jpg
"서경한우 암소 부채살 1등급 (냉장), 200g, 1개",,,22270,"(100g당11,135원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/07/25/16/2/05295dfc-0079-4902-8df5-d91b42c972ec.jpg
"대정한우 부채살 2등급 구이용 (냉장), 200g, 1개",,,17200,"(100g당8,600원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jenl0kg8/bcf902e3aa88479b8eae7746f73634d2.jpg
"대정한우 부채살 1등급 구이용 (냉장), 200g, 1개",,,23800,"(100g당11,900원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jjktip5j/fe8e7a2bf5da450aac39af82c1c45d2f.jpg
"실속한우 조은장터 부채살 1등급 구이용 (냉장), 200g, 1개",,,23010,"(100g당11,505원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uzhc8uol/da4e754cf0c047a4913411c05ba151bb.jpg
"실속한우 조은장터 부채살 1등급 구이용 (냉장), 200g, 1개",,,23010,"(100g당11,505원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uzhc8uol/da4e754cf0c047a4913411c05ba151bb.jpg
"대정한우 부채살 1등급 구이용 (냉장), 200g, 1개",,,23800,"(100g당11,900원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jjktip5j/fe8e7a2bf5da450aac39af82c1c45d2f.jpg
"대정한우 부채살 2등급 구이용 (냉장), 200g, 1개",,,17200,"(100g당8,600원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jenl0kg8/bcf902e3aa88479b8eae7746f73634d2.jpg
"초원농원 한우 1등급 부채살 구이용 (냉장), 200g, 1개",,,21440,"(100g당10,720원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/yti0w8g5/61c0f5a7049f4359b468a219398abfdf.jpg
"초원농원 한우 1등급 부채살 구이용 (냉장), 200g, 1개",,,21440,"(100g당10,720원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/yti0w8g5/61c0f5a7049f4359b468a219398abfdf.jpg
"건화 한우 부채살 1등급 구이용 (냉장), 200g, 1개",,,33320,"(100g당16,660원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/tvp97rhm/a4148c25bfb54714ae572c175257b7fd.jpg
"건화 한우 부채살 1등급 구이용 (냉장), 200g, 1개",,,33320,"(100g당16,660원)",,,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/tvp97rhm/a4148c25bfb54714ae572c175257b7fd.jpg
"전통참한우 부채살 1등급 구이용 (냉장), 1500g, 1개",,,94200,"(100g당6,280원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zgmnufjq/9cbc29d15753477ab9b5c9a1069ca8d2.jpg
"전통참한우 부채살 1등급 구이용 (냉장), 1800g, 1개",,,113040,"(100g당6,280원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mctctqbo/9397b4e4a27346bbb75a11be9b67d69b.jpg
"전통참한우 부채살 1등급 구이용 (냉장), 1700g, 1개",,,106760,"(100g당6,280원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jcxnly0a/1536f2f7953442198dfa97cae8c8537f.jpg
"전통참한우 부채살 1등급 구이용 (냉장), 1600g, 1개",,,100480,"(100g당6,280원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uq1dalws/a6b7802e71754b65b39b32769a9a4473.jpg
"전통참한우 부채살 1등급 구이용 (냉장), 1900g, 1개",,,119320,"(100g당6,280원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/eryny2da/6c39acfc770c40f4a589af22b1aec9d0.jpg
"전통참한우 부채살 1등급 구이용 (냉장), 2000g, 1개",,,125600,"(100g당6,280원)",,,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/9g2rneza/fa6d822233544c40b1c151faf67e430f.jpg
"전통참한우 부채살 1등급 구이용 (냉장), 1800g, 1개",,,113040,"(100g당6,280원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mctctqbo/9397b4e4a27346bbb75a11be9b67d69b.jpg
"육감하누 1등급 부채살 구이 (냉장), 200g, 1개",34,30640,19990,"(100g당9,995원)",,8,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cqabot2o/a001676477d9488abd81d7967cfd93aa.jpg
"동원 금천한우 부채살 1등급 구이용 (냉장), 200g, 1개",,,22600,"(100g당11,300원)",,32,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/57842505444381-a8c044e6-7525-4a40-bd29-ec636670d190.jpg
"녹색한우 무항생제인증 1++등급 BMS7이상 부채살 구이용 (냉장), 180g, 1개",,,29280,"(100g당16,267원)",,58,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/15/15/3/c7c5a75d-0fa9-4779-8f54-2f1fb59746a7.jpg
"농협안심한우 부채살 1+등급 구이용 (냉장), 200g, 1팩",10,27900,25000,"(100g당12,500원)",,33,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5490612104806151-7d665f47-0444-4510-8ef6-1e476612b8a7.jpg
"농협안심한우 부채살 1등급 구이용 (냉장), 200g, 1팩",,,25900,"(100g당12,950원)",,29,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4870873972591121-365cef5b-82e4-4413-8df1-0462b9d9d1bc.jpg
"백년미소 국내산 소고기 부채살 2등급 구이용 (냉장), 300g, 1개",29,26990,18990,"(100g당6,330원)",,33,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/19/0/d5b5cac9-6813-4fcc-94c2-30d45b34f616.jpg
"건화 1+ 한우 부채살 (냉장), 300g, 1개",,,39010,"(100g당13,003원)",,86,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/08/11/9/8b6a021c-a58a-4e47-8e2a-e91c49b60fc0.jpg
"동원 금천 국내산 소고기 부채살 구이용 (냉장), 300g, 1개",,,20990,"(100g당6,997원)",,50,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/08/09/17/2/505cee15-ed3e-4d36-8a40-05ac4ff92cc5.jpg
"설성목장 무항생제 인증 한우 부채살 1등급 구이용 (냉장), 200g, 1개",,,28990,"(100g당14,495원)",,24,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/804944724293377-0190f918-0e7f-4cfa-a949-bccf268c7ca5.jpg
"횡성한우 1+등급 부채살 구이용 (냉장), 200g, 1팩",,,33800,"(100g당16,900원)",,71,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2438485203468398-e54ddcd1-c4fb-41b2-b6c6-801b9cbc931c.jpg
"보리육촌 국내산 소고기 부채살 2등급 구이용 (냉장), 250g, 1팩",9,15250,13870,"(100g당5,548원)",,8,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/svfjjh43/de38c3e93c9e44bdb45f826a27b84d63.jpg
"참연한우 어린암소 부채살 1등급 구이용 (냉장), 200g, 1개",,,23000,"(100g당11,500원)",,22,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qtzm33ng/195f92f24f814b398ae826d3145234b4.jpg
"본앤브레드 한우 1++(9)등급 부채살 로스 구이용 (냉장), 150g, 1개",,,34900,"(100g당23,267원)",,14,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/32002984006059-c37f5e4a-9276-408f-ab0d-0bd5960efa3c.jpg
