name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"목우촌 국내산 소고기 안심 스테이크용 (냉장), 300g, 1개",46,49990,26900,"(100g당8,967원)",내일(일) 새벽도착 보장,1248,1345,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/17/15/8/20f881c7-cde2-4875-9333-1336c5991a64.jpg
"목우촌 국내산 소고기 안심 (냉장), 300g, 1개",,,27990,"(100g당9,330원)",내일(일) 새벽도착 보장,6835,1400,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2451551721622664-fe9a124c-4a84-4eae-bf94-43abee8ca653.jpg
"화담우 한우 안심 1+등급 구이용 (냉장), 200g, 1개",34,39800,25980,"(100g당12,990원)",내일(일) 새벽도착 보장,13,1299,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/x53fwuer/25815976e1164ace80129dc70f639d37.jpg
"육감하누 1등급 안심 스테이크 (냉장), 200g, 1개",27,35900,26000,"(100g당13,000원)",내일(일) 새벽도착 보장,5,1300,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/l8f8ie2c/795fe20050fb4b489b903f48845092eb.jpg
"그린마운틴 송아지 안심 스테이크용 (냉장), 200g, 1개",,,20400,"(100g당10,200원)",내일(일) 새벽도착 보장,54,1020,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/04/14/11/1/fe5c289a-1347-406d-9c77-9fb544d2dec0.jpg
"목우촌 한우 정직한목장 안심 1+등급 구이용 (냉장), 200g, 1개",19,48600,38900,"(100g당19,450원)",내일(일) 새벽도착 보장,3,1945,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2119448196219260-53835a7a-24f8-4033-abbe-48e84f4b368c.jpg
"농협안심한우 안심 1+등급 구이용 (냉장), 200g, 1팩",21,39900,31500,"(100g당15,750원)",내일(일) 새벽도착 보장,387,1575,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/d879/251da0489b15e469180a1f46689cf8f253575cc01d2c1d1bd0c3125c8424.jpg
"대정한우 안심 2등급 구이용 (냉장), 200g, 1개",,,22900,"(100g당11,450원)",내일(일) 새벽도착 보장,,1145,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/gjxgu01f/ca761c6836ca47acba2956b78aae149f.jpg
"설로인 한우 안심 샤토브리앙 1++등급(8) (냉장), 150g, 1개",,,53380,"(100g당35,587원)",내일(일) 새벽도착 보장,684,2669,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5292648966115099-294fcd43-6590-4652-b656-55d9c457ff3a.jpg
"농협안심한우 안심 1등급 구이용 (냉장), 200g, 1팩",22,38900,30250,"(100g당15,125원)",내일(일) 새벽도착 보장,602,1513,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf40k_batch_0_max3k/ec98/18354dd1c8996921630767e842293bb68354cd2a0cd6af32cc809270ed75.jpg
"횡성한우 안심 1등급 스테이크용 (냉장), 250g, 1팩",,,45990,"(100g당18,396원)",내일(일) 새벽도착 보장,707,2300,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1208286855392579-ed8107d5-07d8-441f-912c-070d7d5a0448.jpg
"보리육촌 국내산 소고기 안심 2등급 스테이크용 (냉장), 250g, 1개",22,26990,21000,"(100g당8,400원)",내일(일) 새벽도착 보장,74,1050,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/05/12/4/2141c6ad-1360-421d-9007-3e43a8a5ac92.jpg
"그린마운틴 송아지 안심 구이용 (냉장), 200g, 1개",,,20400,"(100g당10,200원)",내일(일) 새벽도착 보장,17,1020,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/04/14/11/6/f3620427-9884-4d9e-983d-ed6bca799269.jpg
"설로인 무항생제 인증 베이비로인 한우 안심 슬라이스 1등급 (냉장), 150g, 1개",,,35380,"(100g당23,587원)",내일(일) 새벽도착 보장,641,1769,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/399722552230475-8bf1ac61-7806-4338-b5ee-f7fdcd067801.jpg
"참연한우 어린암소 안심 1등급 구이용 (냉장), 200g, 1개",,,30800,"(100g당15,400원)",내일(일) 새벽도착 보장,20,1540,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/lydgvcjs/88e80a504d954d15bbdd24772d833fed.jpg
"이로우 국내산 무항생제 소고기 안심 스테이크용 (냉장), 200g, 1개",,,22930,"(100g당11,465원)",내일(일) 새벽도착 보장,590,1146,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/25/18/1/2428904f-bb51-48c3-a85c-3dc0792a8541.jpg
"횡성한우 2등급 안심 구이용 (냉장), 200g, 1개",,,22950,"(100g당11,475원)",내일(일) 새벽도착 보장,230,1148,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/15/12/1/79b5700e-8785-4cd3-8d58-2eaf5c40cae0.jpg
"육감하누 안심 1+등급 스테이크용 (냉장), 200g, 1개",29,39700,27800,"(100g당13,900원)",내일(일) 새벽도착 보장,11,1390,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1253157620967500-bb6c200f-ceb9-4914-bd8f-ffee2e0070a5.jpg
"설화우 1등급 한우 안심 스테이크용 (냉장), 200g, 1개",29,49900,34990,"(100g당17,495원)",내일(일) 새벽도착 보장,201,1550,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/110747653467826-45e49703-eaae-4c45-9cac-53a2e8c350ae.jpg
"곰곰 안심 (냉장), 200g, 1개",5,18490,17420,"(100g당8,710원)",내일(일) 새벽도착 보장,771,871,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/182628117805377-2de8f161-6da3-42f3-99f8-17a8ecd3c135.jpg
"설성목장 무항생제 인증 한우 1+등급 안심 (냉장), 200g, 1개",,,38750,"(100g당19,375원)",내일(일) 새벽도착 보장,327,1938,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/294626985051293-95859aa8-64f0-47c1-9463-76ea5c04edde.jpg
"횡성한우 안심 1++등급 스테이크용 (냉장), 200g, 1개",,,44900,"(100g당22,450원)",내일(일) 새벽도착 보장,276,1995,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/865812393124487-0548a187-284c-4e8c-88ee-b9b5b42cd31c.jpg
"팜스토리 국내산 소고기 안심 구이 (냉장), 300g, 1개",27,36990,26990,"(100g당8,997원)",내일(일) 새벽도착 보장,200,1350,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/12/9/b57f0533-1db7-48c8-85d5-ba3f36f5ef40.jpg
"설성목장 무항생제 인증 한우 1++등급 안심 스테이크용 (냉장), 200g, 1개",46,59990,32000,"(100g당16,000원)",내일(일) 새벽도착 보장,123,1600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/292848269567780-1b5839f1-1242-41d5-b23a-c0066c65d012.jpg
"수원축산농협 한우 안심 1등급 스테이크용 (냉장), 300g, 1개",,,37000,"(100g당12,333원)",내일(일) 새벽도착 보장,129,1850,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4249900222398073-2257b48b-2237-4c72-afee-5207dc0905ea.jpg
"더미트 한우 안심 샤토브리앙 1+등급 스테이크용 (냉장), 200g, 1개",,,44000,"(100g당22,000원)",내일(일) 새벽도착 보장,1,2200,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/912516604502682-42315368-da05-4a66-93ca-2ce2ee1baeae.jpg
"육교시 한우 1등급 안심 스테이크용 (냉장), 200g, 1개",,,33490,"(100g당16,745원)",내일(일) 새벽도착 보장,24,1675,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/27/17/0/4b7019d3-570a-4897-a4ca-fee3bc2489ae.jpg
"목우촌 한우 정직한목장 안심 1++등급(7이상) 구이용 (냉장), 200g, 1개",19,59800,47900,"(100g당23,950원)",내일(일) 새벽도착 보장,1,2395,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2097535068456599-ca1a54e2-f1b0-4f35-9adc-f872db6f2293.jpg
"전통참한우 1+등급 안심 스테이크용 (냉장), 200g, 1개",,,38990,"(100g당19,495원)",내일(일) 새벽도착 보장,68,1950,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2935115126431160-a14931a8-f9eb-45bb-bf2d-31780cd3b47f.jpg
"설로인 한우 안심 미니샤토 1++등급(7) (냉장), 150g, 1개",,,41990,"(100g당27,993원)",내일(일) 새벽도착 보장,56,2100,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5129226548089887-49be87ab-ffc6-44fb-a8e4-1d72ee6d3f9d.jpg
"안성한우 무항생제 인증 안심 1++등급 (7) 구이용 (냉장), 200g, 1개",15,54900,46490,"(100g당23,245원)",내일(일) 새벽도착 보장,98,2325,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/29/18/4/02ea0cb5-3d76-4bef-be7e-cd6073942ae6.jpg
"농협안심한우 1++등급(7) 안심 구이용 (냉장), 200g, 1개",,,39990,"(100g당19,995원)",내일(일) 새벽도착 보장,37,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/07/16/3/a2da403a-2a26-4a24-bedd-bd777a49fe7c.jpg
"설성목장 무항생제 한우 1등급 안심 스테이크용 (냉장), 200g, 1개",20,49990,39990,"(100g당19,995원)",내일(일) 새벽도착 보장,226,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3109052164986621-c4be0830-8e8e-4656-a501-08b19709dfdf.jpg
"합천황토한우 1+등급 큐브안심 스테이크용 (냉장), 200g, 1개",,,34250,"(100g당17,125원)",내일(일) 새벽도착 보장,13,1713,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9176223064760369-1a5bf5d4-7c68-42f9-be68-c45570f748e4.jpg
"본앤브레드 한우 1++(9)등급 안심 로스 구이용 (냉장), 100g, 1개",,,25720,"(100g당25,720원)",내일(일) 새벽도착 보장,28,1286,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8935501074969088-8d2b4f76-4a47-413a-9d4f-ebf6798b16a0.jpg
"설로인 한우 안심 샤토브리앙 1등급 (냉장), 150g, 1팩",,,44990,"(100g당29,993원)",내일(일) 새벽도착 보장,246,2250,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5290934005750872-53a9f00b-ea25-4a27-bae6-8d818c9a7a31.jpg
"전통참한우 웻에이징 안심 2등급 스테이크용 (냉장), 200g, 1개",28,34990,24900,"(100g당12,450원)",모레(월) 새벽도착 보장,129,1245,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/10/19/16/5/ec46dbea-2894-4add-ad24-1202eb5c27b1.jpg
"생생한우 1등급 안심 구이용 (냉장), 200g, 1개",,,28990,"(100g당14,495원)",내일(일) 새벽도착 보장,125,1450,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/21/19/7/5dc7a01e-39a5-4125-bcef-bb32c48c377f.jpg
"좋은소식 한우 안심 1등급 구이용 (냉장), 200g, 1개",21,45990,35900,"(100g당17,950원)",내일(일) 새벽도착 보장,16,1795,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2618454292034321-049945af-9129-4a75-aa8f-9e85ba0a1802.jpg
"녹색한우 무항생제 안심 1+등급 구이용 (냉장), 250g, 1개",2,46900,45900,"(100g당18,360원)",내일(일) 새벽도착 보장,178,2295,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2367722610770001-9c28e2eb-0db8-434b-a0d1-2bfc16dac8ea.jpg
