name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"전통참한우 1등급 불고기용 (냉장), 300g, 1개",56,23900,10490,"(100g당3,497원)",내일(일) 새벽도착 보장,13638,520,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/35496273825927-20681f25-8b67-4f00-ad2c-78e7414a631f.jpg
"육교시 한우 1등급 불고기용 (냉장), 300g, 1개",58,24900,10360,"(100g당3,453원)",내일(일) 새벽도착 보장,646,518,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/27/16/6/7b3d8f6b-e2cd-4488-918e-db62fa815cc7.jpg
"목우촌 국내산 소고기 불고기용 (냉장), 300g, 1개",50,19990,9980,"(100g당3,327원)",내일(일) 새벽도착 보장,3680,494,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749593718687322-bba0b0b9-c51b-4deb-aff2-5de3b3eca94b.jpg
"목우촌 국내산 소고기 샤브샤브 (냉동), 300g, 1개",50,20990,10400,"(100g당3,467원)",내일(일) 새벽도착 보장,4472,520,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/989160884642827-e80b55b5-0a26-4791-80e2-f01660fbfe6a.jpg
"합천황토한우 1+등급 소고기 샤브샤브용 (냉장), 300g, 1개",33,29990,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,447,850,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9177528664414353-880616d9-fe88-4b46-831f-eb50953e4d3a.jpg
"남도화우 암소한우 1++등급 불고기용 (냉장), 300g, 1개",54,25990,11880,"(100g당3,960원)",내일(일) 새벽도착 보장,588,594,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/17/2/5/80198546-109d-4772-9373-80752f8bc2f2.jpg
"화담우 한우 앞다리살 1등급 다짐육 (냉장), 300g, 1개",33,20990,13900,"(100g당4,633원)",내일(일) 새벽도착 보장,4746,690,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/76571882314599-b06c33fd-055c-41f7-9f4c-20953f02cac2.jpg
"이로우 국내산 무항생제 소고기 불고기용 (냉장), 300g, 1팩",23,21900,16800,"(100g당5,600원)",내일(일) 새벽도착 보장,1565,840,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/878125072919233-45db8810-b442-4732-9e38-61c6b46ef673.jpg
"전통참한우 1+등급 샤브샤브용 (냉장), 300g, 1개",24,24990,18990,"(100g당6,330원)",내일(일) 새벽도착 보장,345,950,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6417049943765216-f5a461a1-66c2-43a4-b9e2-bad35a3fc506.jpg
"횡성한우 1++ 불고기용 (냉장), 300g, 1개",24,28990,21990,"(100g당7,330원)",내일(일) 새벽도착 보장,2258,1000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/384087993337025-cd28e685-bcff-4e34-be71-e3dfd372b2c6.jpg
"안성한우 무항생제 인증 1++등급 (7) 정육 샤브샤브용 (냉동), 300g, 1개",19,19900,15990,"(100g당5,330원)",내일(일) 새벽도착 보장,32,800,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2938709763822831-02123cc6-7aa9-4b1a-a5e3-4dae18298b50.jpg
"목우촌 프로포크 한돈팩 앞다리살 불고기용 (냉장), 1kg, 1팩",7,17220,15900,"(100g당1,590원)",내일(일) 새벽도착 보장,354,795,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1790114400423972-bce9ae60-ac0b-4012-995c-33821d84527a.jpg
"곰곰 한우 1+등급 불고기용 (냉장), 300g, 1개",58,25990,10800,"(100g당3,600원)",내일(일) 새벽도착 보장,460,540,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4875837793225202-55ed5abb-fa8d-42c6-8112-62d2584eb775.jpg
"건화 1+ 한우 불고기, 300g, 1개",33,28990,19200,"(100g당6,400원)",내일(일) 새벽도착 보장,6206,885,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/08/11/2/4520b441-b42b-4095-9c40-6df2d43c8769.jpg
"화담우 한우 앞다리살 1등급 불고기용 (냉장), 300g, 1개",23,25990,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,130,1000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/936756012198597-c047d08a-6bb7-4070-8ded-c0d0c2ee25d5.jpg
"설성목장 무항생제 인증 한우 앞다리 샤브샤브용 (냉동), 300g, 1개",30,24990,17490,"(100g당5,830원)",내일(일) 새벽도착 보장,2337,800,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4872183986663230-cf668f72-c29a-4472-858d-82a9d9b3c4cd.jpg
"건화 한우 1++등급(9) 불고기용 (냉장), 300g, 1개",20,29990,23990,"(100g당7,997원)",내일(일) 새벽도착 보장,498,1200,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/14686414131830-8415b28f-363b-4aea-b25a-c12ab9493c77.jpg
"곰곰 한우 1++등급 불고기용 (냉장), 300g, 1개",29,16800,11880,"(100g당3,960원)",내일(일) 새벽도착 보장,490,594,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5411189157424885-d83584ce-0866-40da-b0a1-dc833bde2426.jpg
"남도화우 한우 암소 2등급 불고기용 (냉장), 300g, 1개",2,15950,15600,"(100g당5,200원)",내일(일) 새벽도착 보장,9,780,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/02/16/13/9/2cb93007-47ac-46e6-ba69-eace44acc422.jpg
"곰곰 한우 1등급 불고기용 (냉장), 300g, 1개",58,24990,10470,"(100g당3,490원)",내일(일) 새벽도착 보장,183,524,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1169229844848818-8370dbea-125a-427d-9a44-79745abaabb4.jpg
"합천황토한우 1+등급 정육 불고기용 (냉장), 300g, 1개",26,29990,21990,"(100g당7,330원)",내일(일) 새벽도착 보장,49,1100,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/120825527353755-dcc1fd05-0351-405c-bbe3-78859b1508cf.jpg
"녹색한우 무항생제인증 1++등급 BMS7이상 불고기용 (냉장), 250g, 1개",39,27990,16990,"(100g당6,796원)",내일(일) 새벽도착 보장,94,850,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/15/14/9/3e04c39d-94e6-4042-9673-3e16e472cdca.jpg
"횡성한우 1등급 불고기용 (냉장), 300g, 1개",5,21220,19990,"(100g당6,663원)",내일(일) 새벽도착 보장,2115,925,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/993534715045377-a0a71da0-84f6-4ac1-9ef2-62fedafd8bf9.jpg
"목우촌 국내산 소고기 불고기용 (냉장), 300g, 1개",,,9980,"(100g당3,327원)",,113,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1749593718687322-bba0b0b9-c51b-4deb-aff2-5de3b3eca94b.jpg
"안성한우 무항생제 인증 1++등급 (7) 정육 샤브샤브용 (냉동), 300g, 1개",,,15990,"(100g당5,330원)",,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2938709763822831-02123cc6-7aa9-4b1a-a5e3-4dae18298b50.jpg
