name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"목우촌 국내산 소고기 양지 세절 국거리용 (냉장), 300g, 1개",35,22990,14850,"(100g당4,950원)",내일(일) 새벽도착 보장,64332,743,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/875099283479121-b1fad6b3-4214-44e2-95d3-21974ac60f8d.jpg
"녹색한우 무항생제 양지 덩어리 1+등급 (냉장), 250g, 1개",36,26990,17200,"(100g당6,880원)",내일(일) 새벽도착 보장,3150,860,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2365838138026503-439d73ee-4e16-4709-83f8-e43420afd5fa.jpg
"팜스토리 국내산 소고기 양지 국거리 세절 (냉장), 300g, 1개",45,23990,12990,"(100g당4,330원)",내일(일) 새벽도착 보장,1743,645,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/12/7/e21d7114-4589-4bb7-8bf5-fbf4cc6b529d.jpg
"보리육촌 국내산 소고기 양지 덩어리 국거리용 (냉장), 1개, 250g",32,16990,11500,"(100g당4,600원)",내일(일) 새벽도착 보장,333,575,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2095445082080178-46e6c5c2-203d-4fea-bd44-a553629e252e.jpg
"목우촌 국내산 소고기 양지 미절단 국거리용 (냉장), 300g, 1개",6,16990,15970,"(100g당5,323원)",내일(일) 새벽도착 보장,3367,799,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/825062989527614-9b836da7-7cb5-4007-a7f6-c943c50529fe.jpg
"설성목장 무항생제 인증 한우 1+등급 양지 국거리용 (냉장), 200g, 1개",36,22900,14440,"(100g당7,220원)",내일(일) 새벽도착 보장,497,722,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/292100834760934-f935e636-9ee8-436d-9395-2e12c0dbeb0c.jpg
"전통참한우 1+등급 양지 세절 국거리용 (냉장), 300g, 1개",30,29900,20640,"(100g당6,880원)",내일(일) 새벽도착 보장,764,957,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2934207775000080-bc0a9180-a0b4-4f6c-9cf1-0402f22f0f23.jpg
"횡성한우 1등급 양지 국거리용 (냉장), 300g, 1개",,,23990,"(100g당7,997원)",내일(일) 새벽도착 보장,6214,1200,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1073659477559733-f5fcb351-7768-4a00-a573-159bf59087c1.jpg
"설성목장 무항생제 인증 한우 1+등급 양지 세절 국거리용 (냉장), 200g, 1개",39,23900,14440,"(100g당7,220원)",내일(일) 새벽도착 보장,415,722,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/294677116882957-5f09d9b4-6486-4eb2-8d60-686b82a5ff30.jpg
"생생한우 1등급 양지 덩어리 국거리용 (냉장), 300g, 1개",36,29900,18840,"(100g당6,280원)",내일(일) 새벽도착 보장,863,942,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1679591395346093-d79c6d7a-f71b-47b6-ab1d-37755484b614.jpg
"횡성한우 1++등급 양지 절단 국거리용 (냉장), 200g, 1개",5,21500,20420,"(100g당10,210원)",내일(일) 새벽도착 보장,1133,1021,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1091634420380359-11fdcd0d-39f7-416b-9faa-1f1f9d37154a.jpg
"건화 1+ 한우 양지 국거리용 덩어리 (냉장), 300g, 1개",48,39900,20640,"(100g당6,880원)",내일(일) 새벽도착 보장,598,1032,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/08/11/3/69f019f0-73c7-4550-ac40-552ff70abeea.jpg
"농협안심한우 양지 덩어리 1+등급 국거리 수육 장조림용 (냉장), 300g, 1팩",30,29900,20640,"(100g당6,880원)",내일(일) 새벽도착 보장,374,1032,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4869859619282268-ce731c7b-5c20-4556-8721-396c5dc3d253.jpg
"설성목장 무항생제 인증 한우 1등급 양지 세절 국거리용 (냉장), 200g, 1팩",19,16330,13180,"(100g당6,590원)",내일(일) 새벽도착 보장,195,659,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3108990331817892-69d415ff-f451-4bcf-9b9f-25f093fa58ff.jpg
"횡성한우 양지 1+ 등급 국거리용 (냉장), 300g, 1팩",,,29850,"(100g당9,950원)",내일(일) 새벽도착 보장,1797,1493,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/100816049917732-eefc046a-de28-4bf5-be5b-e6c63f29c370.jpg
"보리육촌 국내산 소고기 양지 세절 국거리용 (냉장), 1개, 250g",32,16990,11500,"(100g당4,600원)",내일(일) 새벽도착 보장,495,575,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1139973718322194-8a740db0-e561-4f34-b0ac-cc447032f66e.jpg
"이로우 국내산 무항생제 소고기 양지 덩어리 국거리용 (냉장), 300g, 1팩",27,23900,17400,"(100g당5,800원)",내일(일) 새벽도착 보장,830,870,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2798939126339728-d478a125-dafe-4d24-a4be-31811afb2bf4.jpg
"팜스토리 국내산 소고기 양지 덩어리 국거리용 (냉장), 300g, 1개",39,23990,14500,"(100g당4,833원)",내일(일) 새벽도착 보장,353,725,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/14/8/fd5d447e-e565-4cfb-b3aa-8e78813ef31b.jpg
"농협안심한우 양지 세절 1+등급 국거리용 (냉장), 300g, 1팩",30,29900,20640,"(100g당6,880원)",내일(일) 새벽도착 보장,72,1032,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4186830611893530-93221369-a65a-4b53-9202-5fb48c164eb0.jpg
"화담우 한우 양지 1+등급 국거리용 (냉장), 300g, 1개",25,21520,16100,"(100g당5,367원)",내일(일) 새벽도착 보장,2,805,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/kzevb9ie/9bea922f8cbc495b8a25a79ef3a6c7a1.jpg
"목우촌 한우 정직한목장 양지 세절 국거리용 1등급 (냉장), 300g, 1개",20,29200,23080,"(100g당7,693원)",내일(일) 새벽도착 보장,51,1154,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/nokgi55l/65398a3082b648549003138f5d95a394.jpg
"녹색한우 무항생제인증 1++등급 BMS7이상 양지 국거리용 세절 (냉장), 250g, 1개",42,32990,19110,"(100g당7,644원)",내일(일) 새벽도착 보장,85,955,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/15/14/8/eca033c8-cc3e-4935-964e-d28d489e849a.jpg
"좋은소식 한우 양지덩어리 1등급 국거리 수육용 (냉장), 300g, 1개",41,30990,17990,"(100g당5,997원)",내일(일) 새벽도착 보장,65,895,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/23/15/8/799b53d8-0af7-43b7-9a7d-b786bc57ca89.jpg
"안성한우 무항생제 인증 소고기 1++등급 (7) 국거리용 (냉장), 300g, 1개",26,29900,22000,"(100g당7,333원)",내일(일) 새벽도착 보장,286,1100,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/29/18/5/9660e855-b930-48f4-8397-1b892d91efee.jpg
"수원축산농협 한우 양지 세절 1+등급 국거리용 (냉장), 200g, 1개",44,25900,14440,"(100g당7,220원)",내일(일) 새벽도착 보장,532,722,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4249830171026169-262ac78a-bf99-4f5f-b585-8d1b5db616bc.jpg
"농협안심한우 양지 세절 2등급 국거리용 (냉장), 300g, 1팩",29,26900,18900,"(100g당6,300원)",내일(일) 새벽도착 보장,148,945,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5494018892355207-c6cfdfeb-6bd0-4a87-a151-73561aa84db2.jpg
"녹색한우 무항생제 인증 양지 1+ 국거리용 세절 (냉장), 250g, 1개",,,20190,"(100g당8,076원)",내일(일) 새벽도착 보장,53,1010,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1412252386831836-dd883b55-775b-4681-a9cd-a11b87110eb5.jpg
"국내산 동원홈푸드 금천 육우 양지 2등급 국거리용 (냉장), 500g, 1개",,,19990,"(100g당3,998원)",내일(일) 새벽도착 보장,156,900,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pgq9ctj4/b01180d247884c73a34b30666c7fb4f3.jpg
"설성한우 양지 세절 1등급 국거리용 (냉장), 300g, 1개",7,20340,18840,"(100g당6,280원)",내일(일) 새벽도착 보장,1,942,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uxy0vrdb/55a775b8972a4b44a9d510f2c40d3c11.jpg
"우미학 한우 양지국거리 1++등급 (7) 국거리용 200g + 미역국용 기장숙성미역 100g 세트 (냉장), 1세트",21,31990,24990,,내일(일) 새벽도착 보장,56,1250,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/18/15/2/9d52cdcf-c28b-40e8-8c2c-2690dfe165ec.jpg
"농협안심한우 양지 덩어리 1등급 국거리 수육 장조림용 (냉장), 300g, 1팩",31,28900,19900,"(100g당6,633원)",내일(일) 새벽도착 보장,261,995,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5492666501716813-0dbff8d1-8982-4cd1-99c9-11bdba4e8058.jpg
"우미학 한우 양지 국거리 1등급 국거리용 (냉장), 300g, 1개",39,29900,17990,"(100g당5,997원)",내일(일) 새벽도착 보장,106,900,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1475229737812446-de86d481-7bf2-4874-9e3b-75d805eee7f2.jpg
"생생한우 1등급 양지 세절 국거리용 (냉장), 300g, 1개",36,29900,18840,"(100g당6,280원)",내일(일) 새벽도착 보장,342,942,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1760548979338269-7f56793b-1092-4f99-b492-492d2fceaa8b.jpg
"설로인 한우 1++등급 (7) 양지 국거리 (냉장), 300g, 1개",38,39990,24580,"(100g당8,193원)",내일(일) 새벽도착 보장,83,1229,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/17/16/4/78a1ebbc-0b3d-4e46-ab89-79394b1ae826.jpg
"농협안심한우 양지 덩어리 2등급 국거리 수육 장조림용 (냉장), 300g, 1팩",37,26900,16800,"(100g당5,600원)",내일(일) 새벽도착 보장,248,840,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4189698113325675-672d2166-d6bc-4b44-bae6-789eb8551c89.jpg
"육감하누 양지 1+등급 국거리용 (냉장), 300g, 1개",,,21520,"(100g당7,173원)",내일(일) 새벽도착 보장,3,1076,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ckbtzlxe/6da7c9e364e342e39dc1f48962db7159.jpg
"녹색한우 무항생제인증 1등급 양지 국거리용 세절 (냉장), 1개, 250g",19,19450,15700,"(100g당6,280원)",내일(일) 새벽도착 보장,60,785,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2371893107801091-5c283b4a-ea34-4533-80f1-fc8100fff5d9.jpg
"육교시 한우 1등급 양지 국거리용 덩어리 (냉장), 300g, 1개",46,34990,18840,"(100g당6,280원)",내일(일) 새벽도착 보장,91,942,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/27/16/6/45b8f9c1-0ec4-4c3f-89c8-add4226de8f6.jpg
"우미학 한우 양지 1++등급(7) 세절 국거리용 200g + 깍두기볶음밥용 깍두기장 150g 세트 (냉장), 1세트",23,29990,22900,,내일(일) 새벽도착 보장,35,1145,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/06/17/10/2/35c5b48d-6de4-4dc4-bab3-c8e82d02c483.jpg
"목우촌 한우 정직한목장 양지 덩어리 국거리 수육 장조림용 1등급 (냉장), 300g, 1개",19,29200,23400,"(100g당7,800원)",내일(일) 새벽도착 보장,6,1170,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ieszis5w/ddadfaf878cb4fc5b61b31f4cf8898db.jpg
"본앤브레드 한우 1++(9)등급 양지 덩어리 국거리 (냉장), 200g, 1개",,,22900,"(100g당11,450원)",내일(일) 새벽도착 보장,41,1145,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7477240605008280-0edb6fca-21e7-4345-b0af-790f6668f282.jpg
"목우촌 정직한목장 한우 양지 덩어리 국거리 수육 장조림용 1+등급 (냉장), 300g, 1팩",19,31100,24900,"(100g당8,300원)",내일(일) 새벽도착 보장,8,1245,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2436542248532409-87663c10-b032-4465-bd84-215c888d93dd.jpg
"육교시 한우 양지 1등급 국거리용 세절 (냉장), 150g, 1개",45,18990,10360,"(100g당6,907원)",내일(일) 새벽도착 보장,34,518,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/15/10/2/cc14f126-12cd-43a6-a295-276cf5dc49ac.jpg
"더숙성한우 양지 3등급 국거리용 (냉동), 300g, 1개",,,16990,"(100g당5,663원)",내일(일) 새벽도착 보장,6,850,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/26/15/3/e599d7f0-c534-440c-a48b-9dfc474c2f77.jpg
"남도화우 1++ 양지 국거리용 세절 (냉장), 200g, 1개",28,22570,16050,"(100g당8,025원)",내일(일) 새벽도착 보장,64,803,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/11/15/18/0/779ed65d-e5e6-4497-aab6-57d85c50a519.jpg
"다맛나go 국내산 소고기 양지 세절 2등급 국거리용 (냉장), 300g, 1개",16,17850,14850,"(100g당4,950원)",내일(일) 새벽도착 보장,9,743,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/7yipczkc/19ab86d3c5d84643a3cc2a0707ee4dc2.jpg
"목우촌 정직한목장 한우 양지 세절 국거리용 1+등급 (냉장), 300g, 1팩",19,29700,23800,"(100g당7,933원)",내일(일) 새벽도착 보장,3,1190,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8500810254197961-f7fdb4ef-f48e-4f38-998f-62c755dd1a6f.jpg
"참연한우 어린암소 양지 덩어리 1등급 국거리용 (냉장), 300g, 1개",,,21500,"(100g당7,167원)",내일(일) 새벽도착 보장,9,1075,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/6fd8xook/257954c76f5a42a3b5d5f319036eb4b8.jpg
"합천황토한우 1+등급 양지세절 국거리용 (냉장), 300g, 1개",10,22140,19770,"(100g당6,590원)",내일(일) 새벽도착 보장,34,914,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9178224780041060-dcc1237c-6888-474e-916a-f6125f5e2c93.jpg
"동원 금천한우 양지 1등급 국거리용 (냉장), 300g, 1개",23,29990,22990,"(100g당7,663원)",내일(일) 새벽도착 보장,44,1150,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/57469638236320-43935a9a-a388-4511-a831-3f4042387d26.jpg
"육감하누 1등급 양지 국거리 (냉장), 300g, 1개",21,23850,18840,"(100g당6,280원)",내일(일) 새벽도착 보장,8,942,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/bpbrxkyi/1c6a3312ffef4c86a1aca131f8b293e0.jpg
"전통참한우 양지 2등급 국거리용 세절 (냉장), 300g, 1개",23,24900,18990,"(100g당6,330원)",내일(일) 새벽도착 보장,193,950,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4304107046660116-a147e1a8-28ef-415d-acc6-65fb4ef5c451.jpg
"좋은소식 한우 숙성 2등급 양지 세절 국거리 (냉장), 300g, 1팩",20,27380,21900,"(100g당7,300원)",내일(일) 새벽도착 보장,4,1095,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7055658589461620-c7d8b439-9574-4622-a73d-5baff27d9863.jpg
"본고기 암소한우 1등급 양지국거리용 (냉장), 300g, 1팩",8,20640,18840,"(100g당6,280원)",내일(일) 새벽도착 보장,160,942,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3212573274572197-14400227-5945-49a9-bff3-ce23c9602df8.jpg
"좋은소식 한우 썰은 양지 1등급 국거리용 (냉장), 300g, 1개",41,30990,17990,"(100g당5,997원)",내일(일) 새벽도착 보장,41,895,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/23/15/9/a137f8f8-e394-433f-bf0b-a7f4f9715f65.jpg
"합천황토한우 1+등급 양지 국거리용 덩어리 (냉장), 300g, 1개",3,21340,20640,"(100g당6,880원)",내일(일) 새벽도착 보장,79,1032,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/120191070456865-f5e2eabd-c9bb-4d1d-9c3c-e0b45a6a475a.jpg
"본고기 암소한우 1등급 양지세절국거리용 (냉장), 300g, 1개",8,20640,18840,"(100g당6,280원)",내일(일) 새벽도착 보장,149,942,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3212759318583495-76d1cefd-d7e9-47db-b680-4f46385b6619.jpg
"참연한우 어린암소 양지 세절 1등급 국거리용 (냉장), 300g, 1개",,,21500,"(100g당7,167원)",내일(일) 새벽도착 보장,5,1075,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ap22h01f/3a79860296ef4c178a473d87ec01ccba.jpg
"백년미소 국내산 소고기 양지 2등급 국거리용 (냉장), 300g, 1개",36,24990,15990,"(100g당5,330원)",내일(일) 새벽도착 보장,156,800,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/03/11/19/1/05307541-b89b-41ba-9aab-9675d6114815.jpg
"설로인 한우 1등급 양지 국거리 (냉장), 300g, 1개",,,21980,"(100g당7,327원)",내일(일) 새벽도착 보장,21,1099,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5129480639113416-a1b13f72-8fbb-451b-876f-aa0e14622f61.jpg
