name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"목우촌 국내산 소고기 특수부위 모둠 (냉장), 400g, 1개",,,37990,"(100g당9,498원)",내일(일) 새벽도착 보장,1352,1900,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4179931447867760-9529d5b4-b900-4ff4-a701-b34c16551afd.jpg
"안성한우 무항생제 인증 1++등급(7) 모듬구이 구이용 (냉장), 200g, 1개",19,39900,31990,"(100g당15,995원)",내일(일) 새벽도착 보장,79,1600,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/29/14/6/6b6e7b50-05c7-4826-8f5f-90b6249501be.jpg
"목우촌 국내산 소고기 안창살 (냉장), 200g, 1개",,,25990,"(100g당12,995원)",내일(일) 새벽도착 보장,1441,1300,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2329668690263982-f4c62a06-caaa-43e1-8d9a-eb7167c00fda.jpg
"우미학 한우 차돌박이 1등급 (냉장), 200g, 1개",,,18990,"(100g당9,495원)",내일(일) 새벽도착 보장,30,950,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/959884151263219-b904b0cb-987e-4f1e-afa1-4fed068d2f24.jpg
"설로인 한우 살치살 1++등급(8) 구이용 (냉장), 200g, 1개",,,46000,"(100g당23,000원)",내일(일) 새벽도착 보장,955,2300,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5126137206601664-60760a2a-8ca3-4af5-bc7d-99fc73541a41.jpg
"목우촌 국내산 소고기 차돌박이 3등급 구이용 (냉동), 300g, 1개",,,21730,"(100g당7,243원)",내일(일) 새벽도착 보장,11901,1086,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/10/13/0/89f17d24-2493-4e0b-bbb5-452e5fe415b7.jpg
"농협안심한우 살치살 1+등급 구이용 (냉장), 200g, 1개",28,49900,35900,"(100g당17,950원)",내일(일) 새벽도착 보장,209,1795,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4188978463118448-8f6b065c-7799-4cf6-9d4b-eddd5748119c.jpg
"횡성한우 제비추리 앞치마 업진안살 1+ 등급 구이용모둠 (냉장), 200g, 1팩",33,44990,29900,"(100g당14,950원)",내일(일) 새벽도착 보장,1816,1495,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3198745831340621-1a1923fd-d933-4145-a81b-7d26aacaa5f5.jpg
"농협안심한우 차돌박이 1+등급 구이용 (냉동), 1팩, 250g",25,29900,22330,"(100g당8,932원)",내일(일) 새벽도착 보장,59,1116,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9256989815767461-bae51c19-80c7-4173-bb71-1e8d560764be.jpg
"전통참한우 1+등급 살치살 구이용 (냉장), 200g, 1개",12,43900,38600,"(100g당19,300원)",내일(일) 새벽도착 보장,263,1930,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6415517846987449-f2a68af2-e71a-46fa-8836-f62d22d89e34.jpg
"목우촌 국내산 소고기 치마 (냉장), 200g, 1개",3,18900,18200,"(100g당9,100원)",내일(일) 새벽도착 보장,5177,910,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/100995150773569-c07d0312-5d1e-4fb5-ad90-4c900e55c812.jpg
"농협안심한우 차돌박이 1등급 구이용 250g (냉동), 1팩",30,29900,20900,"(100g당8,360원)",내일(일) 새벽도착 보장,776,1045,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9259792425831286-98e0a6ef-a13a-44f2-a2e4-b44b635ab4c6.jpg
"생생한우 1등급 치마살 구이용 (냉장), 200g, 1개",,,29900,"(100g당14,950원)",내일(일) 새벽도착 보장,517,1495,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/21/19/8/7de1b706-2374-4893-8275-1cf33c96c021.jpg
"전통참한우 살치살 1등급 구이용 (냉장), 200g, 1개",,,35990,"(100g당17,995원)",내일(일) 새벽도착 보장,198,1800,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6417278304898946-4d1a42e3-a50c-4788-9e90-27f054582996.jpg
"곰곰 1+등급 차돌박이 (냉동), 250g, 1팩",28,23890,16990,"(100g당6,796원)",내일(일) 새벽도착 보장,662,850,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/545459366731754-e39da7af-9dab-484e-9568-2038dee78961.jpg
"생생한우 1등급 업진살 구이용 (냉장), 200g, 1개",,,25950,"(100g당12,975원)",내일(일) 새벽도착 보장,167,1298,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2327794632251811-9583e96e-3392-4d63-8341-df2cd7bce16f.jpg
"횡성한우 1+등급 특수부위 구이용 (냉장), 200g, 1팩",,,32200,"(100g당16,100원)",내일(일) 새벽도착 보장,224,1610,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/814383050591715-5252e94f-bdad-4bea-b468-d57757b14361.jpg
"횡성한우 1++등급 치마살 구이용 (냉장), 200g, 1개",5,45600,43320,"(100g당21,660원)",내일(일) 새벽도착 보장,970,1991,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3657849862247288-17ed40d1-2d45-4343-8b9d-83031540945b.jpg
"목우촌 한우 정직한목장 제비추리 구이용 1등급 (냉장), 200g, 1개",19,30800,24700,"(100g당12,350원)",내일(일) 새벽도착 보장,6,1235,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ku9s0tgr/68393a08372c4ae692f466a5cd1e4d65.jpg
"농협안심한우 살치살 1등급 구이용 (냉장), 200g, 1개",23,45900,34900,"(100g당17,450원)",내일(일) 새벽도착 보장,52,1745,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4870501243133439-46e04cf1-96c5-42c7-bea4-8eca2039bb12.jpg
"안성한우 무항생제 인증 소고기 1++등급 (7) 불고기용 (냉장), 300g, 1개",26,29900,22000,"(100g당7,333원)",내일(일) 새벽도착 보장,148,1100,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/07/29/18/5/7575f3df-efb2-4c5c-97bd-45b2eef88d16.jpg
"농협안심한우 업진살 1등급 구이용 (냉장), 200g, 1개",33,38900,25900,"(100g당12,950원)",내일(일) 새벽도착 보장,42,1295,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4188178945923178-ffa22e76-4cfb-42c8-b531-e15fd0853663.jpg
"우미학 한우 살치살 1++등급(7이상) 구이용 200g + 깍두기볶음밥용 깍두기장 150g 세트 (냉장), 1세트",6,59990,56000,,내일(일) 새벽도착 보장,90,2800,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4938478443160559-d1e6331f-65db-42ac-87c4-c6015742d346.jpg
"화담우 한우 특수부위 토시살 150g + 제비추리 150g 세트 1+등급 구이용 (냉장), 1세트",,,39990,,내일(일) 새벽도착 보장,30,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/14/17/6/d2e7bcfc-e334-4141-8735-401f28064e28.jpg
"횡성명품한우 업진살 1등급 (냉장), 200g, 1개",25,38990,28940,"(100g당14,470원)",내일(일) 새벽도착 보장,314,1447,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1679092673089190-ffc6e964-457c-4711-879d-2df16e0cc91f.jpg
"곰곰 차돌박이 (냉동), 150g, 1개",6,9990,9350,"(100g당6,233원)",내일(일) 새벽도착 보장,798,468,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3295565543267280-d1462a2c-92ef-4d4c-82fe-e5bfaa23edf7.jpg
"실속한우 조은장터 우삼겹 2등급 구이용 (냉동), 1개, 300g",,,10920,"(100g당3,640원)",내일(일) 새벽도착 보장,1,546,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/yrz5ru4g/3b17d98f2ae944028f8ba0d7f6f77907.jpg
"전통참한우 1+등급 치마살 구이용 (냉장), 200g, 1개",13,39900,34400,"(100g당17,200원)",내일(일) 새벽도착 보장,266,1720,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2934081952938612-1e8031b5-7013-4f3c-af06-2ef021cbe8e8.jpg
"전통참한우 차돌박이 1등급 구이용 (냉동), 1개, 150g",,,18450,"(100g당12,300원)",내일(일) 새벽도착 보장,63,923,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3864389197367370-1097142a-532a-4f6a-91af-a929ab222eb3.jpg
"보리육촌 국내산 소고기 차돌박이 구이용 (냉동), 200g, 1개",26,16990,12460,"(100g당6,230원)",내일(일) 새벽도착 보장,14,623,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/09/15/8/5e3364ac-5c6a-433b-a253-fdf095605527.jpg
"참연한우 어린암소 특수부위 1등급 구이용 (냉장), 200g, 1개",,,34600,"(100g당17,300원)",내일(일) 새벽도착 보장,2,1730,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xggghduk/306f3254fc014c1bbe94a4ab790234a9.jpg
"보리육촌 국내산 소고기 특수부위 모듬 2등급 구이용 (냉장), 250g, 1개",20,29990,23990,"(100g당9,596원)",내일(일) 새벽도착 보장,17,1200,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/05/12/9/8d26604d-57e9-4202-b158-5e4a1fd3ef9c.jpg
"보리육촌 국내산 토마호크 소고기 등심 (냉동), 550g, 1개",10,39900,35800,"(100g당6,509원)",내일(일) 새벽도착 보장,3,1790,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/uoqvvd56/222bce97ea5542628b3937535c92bf11.jpg
"전통참한우 1등급 세절 국거리용 (냉장), 300g, 1개",47,24900,13140,"(100g당4,380원)",내일(일) 새벽도착 보장,2870,657,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/443866710545736-5dd270f3-aa52-48aa-a497-ecb80d7513ba.jpg
"설성목장 무항생제 인증 한우 1++등급 라운드 스테이크, 200g, 1개",16,15500,12900,"(100g당6,450원)",내일(일) 새벽도착 보장,626,595,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/16215739959027692-2377909f-6284-4856-a892-ed95343e865a.jpg
"전통참한우 1+등급 업진살 구이용 (냉장), 200g, 1개",1,29900,29400,"(100g당14,700원)",내일(일) 새벽도착 보장,208,1470,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4303791247296567-f83c15c1-ef48-4ea2-81f6-e1c4b477886f.jpg
"본앤브레드 한우 1++(9)등급 목심 대패 구이용 (냉동), 200g, 1개",,,18000,"(100g당9,000원)",내일(일) 새벽도착 보장,132,900,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3415487435167799-5feb2946-7a5d-46eb-98c5-a96e10d4d93b.jpg
"전통참한우 차돌박이 1등급 구이용 (냉장), 300g, 1개",,,28900,"(100g당9,633원)",내일(일) 새벽도착 보장,63,1445,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6417006628146357-d0172d27-7b29-498e-8bbd-b55fc1c6ee25.jpg
"화담우 한우 스지 탕 육수용 (냉동), 800g, 1개",21,29900,23500,"(100g당2,938원)",내일(일) 새벽도착 보장,425,1175,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/19/15/8/d8fd25e9-a811-45d0-8f5c-5a00d1c55718.jpg
"목우촌 정직한목장 한우 제비추리 1+등급 구이용 (냉장), 200g, 1개",19,32300,25900,"(100g당12,950원)",내일(일) 새벽도착 보장,3,1295,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/j63rpw1u/67e3060634244e68b2aa6b690f5a954f.jpg
"그레이트서던 호주산 안창살 구이용 (냉장), 300g, 1팩",,,18900,"(100g당6,300원)",내일(일) 새벽도착 보장,322,945,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8495487837697418-e4f0c03d-4bee-4b9c-a579-ee27481cfb7f.jpg
"더미트 한우 안창살 1+등급 구이용 (냉장), 200g, 1개",5,59000,56050,"(100g당28,025원)",내일(일) 새벽도착 보장,1,2803,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/914980175577995-01a2c92c-19d8-421e-80c8-d0fb2b6cdb9d.jpg
"보리육촌 국내산 소고기 토시살 2등급 구이용 (냉장), 250g, 1개",17,28990,23990,"(100g당9,596원)",내일(일) 새벽도착 보장,7,1200,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/05/12/4/02d65295-b6a1-4cd4-80a2-ab564750d611.jpg
"설루션 한우 오레가노 버터 시즈닝 찹 스테이크 (냉장), 1개, 150g",19,19900,15990,"(100g당10,660원)",내일(일) 새벽도착 보장,32,800,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/04/18/9/0ac393cc-e78a-470d-ae7e-f52482d62261.jpg
"보리육촌 국내산 소고기 우삼겹 2등급 구이용 (냉동), 250g, 1개",25,19990,14990,"(100g당5,996원)",내일(일) 새벽도착 보장,14,750,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/03/09/15/3/6d706dad-5f77-44cd-9cb3-fee404ae7b64.jpg
