name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"종가 맛김치 PET, 1.2kg, 1개",29,16900,11900,(100g당992원),오늘(일)도착 보장,26195,595,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3496335535249606-133fff27-3153-4dc7-8d96-9eff38591c29.jpg
"곰곰 배추 김치, 10kg, 1개",,,24090,(100g당241원),오늘(일)도착 보장,52681,1205,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/09/10/5302356560/2fe2913e-d71c-4c5d-9d99-3b4b47424acd.jpg
"김수미 엄마생각 포기김치, 2kg, 1개",25,21400,15900,(100g당795원),오늘(일)도착 보장,13818,795,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/13/15/9/a09cfb14-6703-42d1-af39-d64f32d691eb.jpg
"팽현숙 최양락의 맛있는 옛날 총각김치, 1.5kg, 1개",21,15040,11830,(100g당789원),오늘(일)도착 보장,4696,591,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5655124451137916-ef814184-1aba-49cd-8b4b-9daeed77ed1f.jpg
"곰곰 국내산 썰은 배추 김치, 1kg, 1개",3,9990,9610,(100g당961원),오늘(일)도착 보장,44675,480,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/658750707780296-06e74b3b-4630-4c5e-bcd1-63c2d91c1716.jpg
"종가 맛김치, 1.7kg, 1개",13,19500,16900,(100g당994원),오늘(일)도착 보장,37023,845,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/536510779327548-be1a6036-8d2a-4ce6-b2e6-b962aa27fd4b.jpg
"모산김치 갓담근 배추 겉절이 김치, 1.5kg, 1개",16,12000,10000,(100g당667원),내일(월) 새벽도착 보장,8677,500,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/5k5fhllo/37dea2eed4cc449d93ff7f7a83ec2f9e.jpg
"곰곰 국내산 포기 김치, 4kg, 1개",31,31990,21990,(100g당550원),오늘(일)도착 보장,24946,1100,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1674454778833416-f55e7c34-81d5-4c83-bc5c-9ee900d863cf.jpg
"종가 포기김치, 4kg, 1개",6,40800,38180,(100g당955원),오늘(일)도착 보장,57772,1909,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1671519185885850-40b33d61-b7d9-4454-b964-a86fee75efbc.jpg
"모산김치 갓담근 배추포기김치, 5kg, 1개",5,33900,31900,(100g당638원),내일(월) 새벽도착 보장,6268,1595,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2004918367441378-1cd00a6a-7062-4ed6-8fd7-4a79672f8cdf.jpg
