name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url
"살맛나요 살아있는 상태 그대로 얼린 낙지 (냉동), (6미)850g, 1팩",16,16500,13800,"(100g당1,624원)",내일(일) 새벽도착 보장,21342,690,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_5_max3k/d8d7/af0f275a5c944c61135ede788ade78a109d7a138e6bd2d2c1be8ee2563f5.jpg
"비비수산 살아있을때 얼린 신선한 낙지 (냉동), 1개, 850g(6미)",23,16900,12900,"(100g당1,518원)",내일(일) 새벽도착 보장,5316,638,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_1_max3k/d8fb/1a8a105865ab05def359482c5dc532934a73bbd3a0f083e3c3659159d607.jpg
"올프레시 살아 있을 때 얼린 낙지 6미 (냉동), 1개, 850g",,,12400,"(100g당1,459원)",내일(일) 새벽도착 보장,,590,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/07/29/11/1/231232cd-9f7d-427f-ac0e-c0ef96a5fc39.png
"서풍 국산 통낙지 (냉동), 300g, 1개",,,19900,"(100g당6,633원)",내일(일) 새벽도착 보장,486,995,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/08/4295974229/65b689d3-d094-4c1d-b9b9-95c66b2cf43b.jpg
"고고새우 탱글탱글 손질 절단낙지 (냉동), 450g(M), 1개",,,10400,"(100g당2,311원)",내일(일) 새벽도착 보장,163,520,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/w2qbcqet/7f1c3723341346caaa670b38da59be5e.jpg
"곰곰 통째로 얼린 냉동 낙지 (냉동), 850g, 1개",18,16000,13110,"(100g당1,542원)",내일(일) 새벽도착 보장,1943,655,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/0820_amir_esrgan_inf80k_batch_3_max3k/9078/40ebf6c04da23bdace6ad45f8eade63703dd6f68fb54a89bd7fde841f1bb.jpg
"신선씨푸드 절단낙지 500g*2, 500g, 2개입",,,19780,"(100g당1,978원)",내일(일) 새벽도착 보장,761,989,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/28/19/6/c767e853-2937-4b85-9212-f796d209641a.jpg
"살아있을때 깔끔하게 손질된 통낙지 (냉동), 200g(2미), 2개",,,10900,"(100g당2,725원)",내일(일) 새벽도착 보장,105,525,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/lvptojj2/89304b3168c84540a25f35390177f7a5.jpg
"절단 낙지 (냉동), 900g(대), 1개",,,18600,"(100g당2,067원)",내일(일) 새벽도착 보장,522,930,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/13/15/4/08cc0ac9-e848-4110-8acf-b6bfb52b86f0.jpg
"아라찬 제철 낙지 2입 (냉동), 350g, 1개",,,18900,"(100g당5,400원)",내일(일) 새벽도착 보장,137,945,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/25/14/5/0de7e622-a60e-4fbf-9aeb-3065ab7ff15a.jpg
"서풍 국산 기절낙지 (냉동), 400g, 1개",,,19600,"(100g당4,900원)",내일(일) 새벽도착 보장,559,980,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/04/01/17/6/2c8d9864-8965-4ebb-affb-b2830f4b2fc0.jpg
